"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",1658,208,119,4,85,NA,NA,NA,NA
"2","2020-08-01",1679,211,119,4,88,3,21,0,0.142857142857143
