"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-31,"Adair",2945,603,461,17,13,4,125,0.204753820033956
"Adams",2020-12-31,"Adams",1277,262,187,2,2,0,73,0.205168363351605
"Allamakee",2020-12-31,"Allamakee",4933,1177,889,24,20,4,264,0.238597202513683
"Appanoose",2020-12-31,"Appanoose",4801,967,828,35,35,0,104,0.201416371589252
"Audubon",2020-12-31,"Audubon",2052,369,307,7,7,0,55,0.179824561403509
"Benton",2020-12-31,"Benton",10318,1976,1751,37,33,4,188,0.191509982554759
"Black Hawk",2020-12-31,"Black Hawk",57247,12746,11240,218,205,13,1288,0.222649221793282
"Boone",2020-12-31,"Boone",10855,1889,1474,15,13,2,400,0.174021188392446
"Bremer",2020-12-31,"Bremer",9479,2259,2045,44,40,4,170,0.238316278088406
"Buchanan",2020-12-31,"Buchanan",7630,1439,1226,16,15,1,197,0.188597640891219
"Buena Vista",2020-12-31,"Buena Vista",12839,3698,3172,25,22,3,501,0.288028662668432
"Butler",2020-12-31,"Butler",5609,1267,1084,21,19,2,162,0.225886967373863
"Calhoun",2020-12-31,"Calhoun",4568,1173,1091,9,9,0,73,0.256786339754816
"Carroll",2020-12-31,"Carroll",9550,2359,2027,27,21,6,305,0.247015706806283
"Cass",2020-12-31,"Cass",5136,1038,829,38,36,2,171,0.202102803738318
"Cedar",2020-12-31,"Cedar",7317,1387,1140,18,17,1,229,0.189558562252289
"Cerro Gordo",2020-12-31,"Cerro Gordo",19778,4319,3717,61,51,10,541,0.218373950854485
"Cherokee",2020-12-31,"Cherokee",4891,1229,971,20,18,2,238,0.251277857288898
"Chickasaw",2020-12-31,"Chickasaw",4338,1034,917,11,10,1,106,0.238358690640848
"Clarke",2020-12-31,"Clarke",3776,681,508,6,6,0,167,0.180349576271186
"Clay",2020-12-31,"Clay",6871,1537,1259,12,9,3,266,0.223693785475186
"Clayton",2020-12-31,"Clayton",5648,1373,1161,42,37,5,170,0.243094900849858
"Clinton",2020-12-31,"Clinton",17798,4127,3490,54,48,6,583,0.231879986515339
"Crawford",2020-12-31,"Crawford",7363,2112,1827,22,19,3,263,0.286839603422518
"Dallas",2020-12-31,"Dallas",43340,7871,6645,66,56,10,1160,0.181610521458237
"Davis",2020-12-31,"Davis",2590,637,524,18,17,1,95,0.245945945945946
"Decatur",2020-12-31,"Decatur",2760,425,345,3,3,0,77,0.153985507246377
"Delaware",2020-12-31,"Delaware",6566,1626,1469,29,28,1,128,0.247639354249162
"Des Moines",2020-12-31,"Des Moines",17279,3521,3037,34,31,3,450,0.203773366514266
"Dickinson",2020-12-31,"Dickinson",8668,1704,1455,17,15,2,232,0.196585140747577
"Dubuque",2020-12-31,"Dubuque",47844,10583,9448,135,127,8,1000,0.221198060362846
"Emmet",2020-12-31,"Emmet",4138,1006,816,24,23,1,166,0.243112614789754
"Fayette",2020-12-31,"Fayette",7331,1396,1108,17,16,1,271,0.190424225890056
"Floyd",2020-12-31,"Floyd",6326,1277,1113,33,25,8,131,0.201865317736326
"Franklin",2020-12-31,"Franklin",4154,896,755,17,16,1,124,0.215695714973519
"Fremont",2020-12-31,"Fremont",2203,466,394,5,3,2,67,0.211529732183386
"Greene",2020-12-31,"Greene",3488,645,543,7,7,0,95,0.184919724770642
"Grundy",2020-12-31,"Grundy",4648,1083,889,16,13,3,178,0.233003442340792
"Guthrie",2020-12-31,"Guthrie",4634,945,787,22,17,5,136,0.20392749244713
"Hamilton",2020-12-31,"Hamilton",6171,1471,1205,23,23,0,243,0.238373035164479
"Hancock",2020-12-31,"Hancock",4844,1172,918,24,19,5,230,0.241948802642444
"Hardin",2020-12-31,"Hardin",6826,1449,1236,25,23,2,188,0.212276589510694
"Harrison",2020-12-31,"Harrison",5381,1430,1122,52,49,3,256,0.265749860620702
"Henry",2020-12-31,"Henry",9154,2474,2103,26,26,0,345,0.270264365304785
"Howard",2020-12-31,"Howard",3534,712,570,16,12,4,126,0.201471420486701
"Humboldt",2020-12-31,"Humboldt",3940,977,819,18,15,3,140,0.247969543147208
"Ida",2020-12-31,"Ida",2644,693,541,26,25,1,126,0.262102874432678
"Iowa",2020-12-31,"Iowa",6593,1133,995,21,20,1,117,0.171848930684059
"Jackson",2020-12-31,"Jackson",7284,1768,1565,29,28,1,174,0.242723778143877
"Jasper",2020-12-31,"Jasper",14440,2847,2303,53,51,2,491,0.197160664819945
"Jefferson",2020-12-31,"Jefferson",6085,1017,766,20,19,1,231,0.167132292522597
"Johnson",2020-12-31,"Johnson",64908,11088,9811,47,43,4,1230,0.170826400443705
"Jones",2020-12-31,"Jones",8184,2581,2385,47,46,1,149,0.315371456500489
"Keokuk",2020-12-31,"Keokuk",3325,788,665,23,23,0,100,0.236992481203008
"Kossuth",2020-12-31,"Kossuth",6359,1550,1227,29,28,1,294,0.24374901714106
"Lee",2020-12-31,"Lee",12922,2846,2311,24,20,4,511,0.220244544188206
"Linn",2020-12-31,"Linn",95246,16555,14736,243,227,16,1576,0.173813073514898
"Louisa",2020-12-31,"Louisa",4481,1065,893,24,20,4,148,0.237670162910065
"Lucas",2020-12-31,"Lucas",3051,570,342,7,7,0,221,0.186823992133727
"Lyon",2020-12-31,"Lyon",3774,1255,1063,25,23,2,167,0.332538420773715
"Madison",2020-12-31,"Madison",5922,963,755,8,7,1,200,0.162613981762918
"Mahaska",2020-12-31,"Mahaska",8429,1732,1313,33,30,3,386,0.205481077233361
"Marion",2020-12-31,"Marion",12454,2701,2124,47,41,6,530,0.216878111450136
"Marshall",2020-12-31,"Marshall",16861,4006,3588,55,52,3,363,0.237589704050768
"Mills",2020-12-31,"Mills",6555,1271,1118,14,13,1,139,0.193897787948131
