"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-08,"Adair",3248,721,646,25,19,6,50,0.22198275862069
"Adams",2021-02-08,"Adams",1431,313,287,3,3,0,23,0.218728162124389
"Allamakee",2021-02-08,"Allamakee",5420,1351,1206,39,33,6,106,0.249261992619926
"Appanoose",2021-02-08,"Appanoose",5382,1162,1024,45,43,2,93,0.215904868078781
"Audubon",2021-02-08,"Audubon",2333,445,390,9,8,1,46,0.190741534504929
"Benton",2021-02-08,"Benton",11270,2224,2003,52,42,10,169,0.197338065661047
"Black Hawk",2021-02-08,"Black Hawk",64042,14556,13255,265,250,15,1036,0.227288342025546
"Boone",2021-02-08,"Boone",12253,2323,2082,25,23,2,216,0.189586223781931
"Bremer",2021-02-08,"Bremer",10980,2575,2361,52,46,6,162,0.234517304189435
"Buchanan",2021-02-08,"Buchanan",8470,1689,1528,26,24,2,135,0.199409681227863
"Buena Vista",2021-02-08,"Buena Vista",13732,4024,3828,36,33,3,160,0.293038159044567
"Butler",2021-02-08,"Butler",6339,1551,1403,29,26,3,119,0.244675816374823
"Calhoun",2021-02-08,"Calhoun",4856,1258,1201,9,9,0,48,0.259060955518946
"Carroll",2021-02-08,"Carroll",10400,2609,2456,45,38,7,108,0.250865384615385
"Cass",2021-02-08,"Cass",5706,1207,1060,46,44,2,101,0.211531720995443
"Cedar",2021-02-08,"Cedar",8103,1609,1438,20,19,1,151,0.198568431445144
"Cerro Gordo",2021-02-08,"Cerro Gordo",21749,4877,4478,76,64,12,323,0.224240194951492
"Cherokee",2021-02-08,"Cherokee",5400,1416,1314,35,29,6,67,0.262222222222222
"Chickasaw",2021-02-08,"Chickasaw",4830,1157,1095,12,11,1,50,0.239544513457557
"Clarke",2021-02-08,"Clarke",4347,883,734,18,18,0,131,0.203128594432942
"Clay",2021-02-08,"Clay",7525,1780,1604,25,20,5,151,0.236544850498339
"Clayton",2021-02-08,"Clayton",6278,1568,1451,52,44,8,65,0.249761070404587
"Clinton",2021-02-08,"Clinton",19861,4788,4332,76,69,7,380,0.241075474548109
"Crawford",2021-02-08,"Crawford",8038,2423,2220,34,30,4,169,0.30144314506096
"Dallas",2021-02-08,"Dallas",48122,9568,8500,84,73,11,984,0.198827978886996
"Davis",2021-02-08,"Davis",2940,730,663,23,22,1,44,0.248299319727891
"Decatur",2021-02-08,"Decatur",3198,526,470,7,7,0,49,0.16447779862414
"Delaware",2021-02-08,"Delaware",7149,1818,1652,37,33,4,129,0.254301300881242
"Des Moines",2021-02-08,"Des Moines",19105,4094,3682,54,47,7,358,0.214289453022769
"Dickinson",2021-02-08,"Dickinson",9377,1930,1783,37,31,6,110,0.205822757811667
"Dubuque",2021-02-08,"Dubuque",52032,11974,10952,185,174,11,837,0.230127613776138
"Emmet",2021-02-08,"Emmet",4570,1125,1037,37,36,1,51,0.24617067833698
"Fayette",2021-02-08,"Fayette",8312,1723,1514,27,24,3,182,0.207290664100096
"Floyd",2021-02-08,"Floyd",6915,1447,1321,38,30,8,88,0.209255242227043
"Franklin",2021-02-08,"Franklin",4652,1076,962,19,18,1,95,0.231298366294067
"Fremont",2021-02-08,"Fremont",2417,538,486,9,7,2,43,0.222589987587919
"Greene",2021-02-08,"Greene",3728,715,662,8,8,0,45,0.191791845493562
"Grundy",2021-02-08,"Grundy",5249,1261,1163,30,25,5,68,0.240236235473424
"Guthrie",2021-02-08,"Guthrie",5045,1065,984,27,22,5,54,0.211100099108028
"Hamilton",2021-02-08,"Hamilton",6731,1676,1522,38,37,1,116,0.248997177239637
"Hancock",2021-02-08,"Hancock",5329,1354,1238,26,21,5,90,0.254081441170951
"Hardin",2021-02-08,"Hardin",7487,1632,1493,33,30,3,106,0.217977828235608
"Harrison",2021-02-08,"Harrison",5930,1635,1447,67,63,4,121,0.275716694772344
"Henry",2021-02-08,"Henry",9925,2732,2544,33,33,0,155,0.275264483627204
"Howard",2021-02-08,"Howard",4025,942,780,20,16,4,142,0.234037267080745
"Humboldt",2021-02-08,"Humboldt",4315,1099,1002,22,19,3,75,0.254692931633835
"Ida",2021-02-08,"Ida",2934,795,691,31,30,1,73,0.270961145194274
"Iowa",2021-02-08,"Iowa",7303,1339,1188,23,21,2,128,0.183349308503355
"Jackson",2021-02-08,"Jackson",8114,2026,1836,37,34,3,153,0.249691890559527
"Jasper",2021-02-08,"Jasper",16016,3464,3024,64,60,4,376,0.216283716283716
"Jefferson",2021-02-08,"Jefferson",6949,1251,1146,31,27,4,74,0.180025903007627
"Johnson",2021-02-08,"Johnson",71376,12675,11638,65,61,4,972,0.177580699394755
"Jones",2021-02-08,"Jones",8986,2812,2631,53,50,3,128,0.312931226352103
"Keokuk",2021-02-08,"Keokuk",3678,881,807,28,28,0,46,0.239532354540511
"Kossuth",2021-02-08,"Kossuth",7080,1899,1630,52,46,6,217,0.268220338983051
"Lee",2021-02-08,"Lee",14354,3425,3033,46,34,12,346,0.238609446844085
"Linn",2021-02-08,"Linn",104891,18878,17081,300,273,27,1497,0.179977309778723
"Louisa",2021-02-08,"Louisa",4906,1187,1088,40,33,7,59,0.241948634325316
"Lucas",2021-02-08,"Lucas",3403,685,624,17,14,3,44,0.20129297678519
"Lyon",2021-02-08,"Lyon",4181,1412,1296,37,33,4,79,0.337718249222674
"Madison",2021-02-08,"Madison",6822,1337,1112,13,10,3,212,0.195983582527118
"Mahaska",2021-02-08,"Mahaska",9377,2075,1822,43,39,4,210,0.221286125626533
"Marion",2021-02-08,"Marion",13986,3248,2903,63,55,8,282,0.232232232232232
"Marshall",2021-02-08,"Marshall",18971,4474,4144,68,63,5,262,0.235833640820199
"Mills",2021-02-08,"Mills",7073,1429,1324,20,17,3,85,0.20203591121165
"Mitchell",2021-02-08,"Mitchell",4994,1182,1089,39,38,1,54,0.23668402082499
"Monona",2021-02-08,"Monona",3400,736,606,21,20,1,109,0.216470588235294
"Monroe",2021-02-08,"Monroe",3027,857,763,26,21,5,68,0.283118599273208
"Montgomery",2021-02-08,"Montgomery",4022,938,787,34,32,2,117,0.233217304823471
"Muscatine",2021-02-08,"Muscatine",19251,4046,3683,85,76,9,278,0.210170900212976
"O'Brien",2021-02-08,"O'Brien",6044,1754,1613,58,54,4,83,0.290205162144275
"Osceola",2021-02-08,"Osceola",2200,655,617,12,10,2,26,0.297727272727273
"Page",2021-02-08,"Page",5496,1543,1416,17,16,1,110,0.280749636098981
"Palo Alto",2021-02-08,"Palo Alto",4047,958,872,18,17,1,68,0.23671855695577
"Pending Investigation",2021-02-08,"Pending Investigation",8923,1090,797,0,0,0,293,0.122156225484702
"Plymouth",2021-02-08,"Plymouth",12124,3589,3382,74,67,7,133,0.296024414384692
"Pocahontas",2021-02-08,"Pocahontas",3190,799,751,17,17,0,31,0.250470219435737
"Polk",2021-02-08,"Polk",244269,49075,43742,513,457,56,4820,0.200905559035326
"Pottawattamie",2021-02-08,"Pottawattamie",43097,9466,8649,134,120,14,683,0.219644058751189
"Poweshiek",2021-02-08,"Poweshiek",7993,1435,1270,28,26,2,137,0.179532090579257
"Ringgold",2021-02-08,"Ringgold",2160,482,411,16,15,1,55,0.223148148148148
"Sac",2021-02-08,"Sac",4833,1149,1068,17,17,0,64,0.237740533829919
"Scott",2021-02-08,"Scott",77441,16501,14929,189,178,11,1383,0.213078343513126
"Shelby",2021-02-08,"Shelby",4796,1110,964,32,29,3,114,0.231442869057548
"Sioux",2021-02-08,"Sioux",14396,4664,4433,66,63,3,165,0.323978883023062
"Story",2021-02-08,"Story",50186,9166,8419,43,38,5,704,0.182640577053362
"Tama",2021-02-08,"Tama",7703,1963,1779,63,61,2,121,0.254835778268207
"Taylor",2021-02-08,"Taylor",2318,624,578,11,9,2,35,0.269197584124245
"Union",2021-02-08,"Union",6014,1157,1047,30,25,5,80,0.192384436315264
"Van Buren",2021-02-08,"Van Buren",2439,525,468,16,13,3,41,0.215252152521525
"Wapello",2021-02-08,"Wapello",15583,3661,3218,103,101,2,340,0.234935506641853
"Warren",2021-02-08,"Warren",24937,4856,4149,66,62,4,641,0.194730721417973
"Washington",2021-02-08,"Washington",10666,2310,2052,40,38,2,218,0.21657603600225
"Wayne",2021-02-08,"Wayne",1990,431,392,21,17,4,18,0.216582914572864
