"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-07-20,"Adair",13035,1014,849,32,22,10,3882,884,3,2021-07-20
"Adams",2021-07-20,"Adams",6250,351,334,4,4,0,1706,342,4,2021-07-20
"Allamakee",2021-07-20,"Allamakee",23206,1605,1485,52,42,10,6713,1548,11,2021-07-20
"Appanoose",2021-07-20,"Appanoose",19426,1454,1227,49,44,5,6512,1275,-1,2021-07-20
"Audubon",2021-07-20,"Audubon",14086,547,512,11,10,1,2910,529,6,2021-07-20
"Benton",2021-07-20,"Benton",40816,2787,2528,55,44,11,13921,2620,37,2021-07-20
"Black Hawk",2021-07-20,"Black Hawk",233277,17955,15749,316,292,24,76003,16478,413,2021-07-20
"Boone",2021-07-20,"Boone",47059,2878,2654,34,31,3,14899,2692,4,2021-07-20
"Bremer",2021-07-20,"Bremer",43363,3044,2824,62,52,10,13212,2910,24,2021-07-20
"Buchanan",2021-07-20,"Buchanan",34306,2069,1902,34,27,7,10230,1951,15,2021-07-20
"Buena Vista",2021-07-20,"Buena Vista",47667,5000,4244,40,36,4,15666,4293,9,2021-07-20
"Butler",2021-07-20,"Butler",31555,1763,1621,35,31,4,7574,1670,14,2021-07-20
"Calhoun",2021-07-20,"Calhoun",19992,1453,1377,13,12,1,5677,1407,17,2021-07-20
"Carroll",2021-07-20,"Carroll",39394,3067,2802,52,43,9,12039,2856,2,2021-07-20
"Cass",2021-07-20,"Cass",21929,1474,1336,55,49,6,6772,1390,-1,2021-07-20
"Cedar",2021-07-20,"Cedar",34163,2013,1892,23,21,2,9892,1925,10,2021-07-20
"Cerro Gordo",2021-07-20,"Cerro Gordo",85119,6050,5447,97,80,17,27306,5596,52,2021-07-20
"Cherokee",2021-07-20,"Cherokee",22514,1713,1563,38,30,8,6390,1610,9,2021-07-20
"Chickasaw",2021-07-20,"Chickasaw",19018,1326,1234,17,14,3,5900,1253,2,2021-07-20
"Clarke",2021-07-20,"Clarke",14564,1085,989,24,22,2,5290,1021,8,2021-07-20
"Clay",2021-07-20,"Clay",33138,2282,2143,27,22,5,9029,2173,3,2021-07-20
"Clayton",2021-07-20,"Clayton",27662,1805,1665,57,48,9,7801,1718,-4,2021-07-20
"Clinton",2021-07-20,"Clinton",70298,6102,5530,93,79,14,25265,5626,3,2021-07-20
"Crawford",2021-07-20,"Crawford",30222,2947,2647,41,35,6,9342,2697,9,2021-07-20
"Dallas",2021-07-20,"Dallas",138335,12723,11240,99,85,14,58670,11381,42,2021-07-20
"Davis",2021-07-20,"Davis",12187,933,831,25,23,2,3818,860,4,2021-07-20
"Decatur",2021-07-20,"Decatur",11255,658,627,9,9,0,3838,645,9,2021-07-20
"Delaware",2021-07-20,"Delaware",31489,2161,2063,43,38,5,8693,2112,6,2021-07-20
"Des Moines",2021-07-20,"Des Moines",62486,5081,4615,73,61,12,23038,4726,38,2021-07-20
"Dickinson",2021-07-20,"Dickinson",29473,2701,2459,45,39,6,11141,2505,1,2021-07-20
"Dubuque",2021-07-20,"Dubuque",206866,14880,13289,213,195,18,61328,13568,66,2021-07-20
"Emmet",2021-07-20,"Emmet",18316,1446,1320,41,39,2,5559,1367,6,2021-07-20
"Fayette",2021-07-20,"Fayette",38958,1966,1817,43,38,5,10042,1879,19,2021-07-20
"Floyd",2021-07-20,"Floyd",28066,1826,1594,42,32,10,8437,1646,10,2021-07-20
"Franklin",2021-07-20,"Franklin",21907,1365,1218,23,21,2,5947,1258,17,2021-07-20
"Fremont",2021-07-20,"Fremont",8146,681,637,10,8,2,2875,647,0,2021-07-20
"Greene",2021-07-20,"Greene",15918,839,775,11,10,1,4433,789,3,2021-07-20
"Grundy",2021-07-20,"Grundy",20579,1467,1347,33,27,6,6184,1387,7,2021-07-20
"Guthrie",2021-07-20,"Guthrie",20149,1323,1207,32,26,6,6226,1242,3,2021-07-20
"Hamilton",2021-07-20,"Hamilton",24848,2027,1777,51,46,5,8161,1836,8,2021-07-20
"Hancock",2021-07-20,"Hancock",23571,1607,1465,34,27,7,6594,1516,17,2021-07-20
"Hardin",2021-07-20,"Hardin",38236,2029,1839,44,34,10,9209,1893,10,2021-07-20
"Harrison",2021-07-20,"Harrison",22591,1947,1737,73,69,4,6849,1812,2,2021-07-20
"Henry",2021-07-20,"Henry",39989,3164,2951,37,36,1,11882,3004,16,2021-07-20
"Howard",2021-07-20,"Howard",18054,1102,1026,22,18,4,4964,1052,4,2021-07-20
"Humboldt",2021-07-20,"Humboldt",16606,1274,1180,26,23,3,5069,1223,17,2021-07-20
"Ida",2021-07-20,"Ida",13343,1033,880,35,32,3,3593,923,8,2021-07-20
"Iowa",2021-07-20,"Iowa",31778,1546,1455,24,22,2,8751,1479,0,2021-07-20
"Jackson",2021-07-20,"Jackson",28177,2390,2216,42,39,3,9927,2256,-2,2021-07-20
"Jasper",2021-07-20,"Jasper",57210,4856,4419,73,67,6,20087,4505,13,2021-07-20
"Jefferson",2021-07-20,"Jefferson",23063,1461,1307,35,29,6,8575,1340,-2,2021-07-20
"Johnson",2021-07-20,"Johnson",229945,15571,14524,85,77,8,88113,14676,67,2021-07-20
"Jones",2021-07-20,"Jones",28894,3141,2950,57,51,6,10825,3009,2,2021-07-20
"Keokuk",2021-07-20,"Keokuk",16927,1055,948,32,31,1,4638,994,14,2021-07-20
"Kossuth",2021-07-20,"Kossuth",28333,2294,2109,66,57,9,8531,2171,-4,2021-07-20
"Lee",2021-07-20,"Lee",59926,4115,3771,58,45,13,17340,3872,43,2021-07-20
"Linn",2021-07-20,"Linn",318307,22784,20869,342,306,36,127865,21381,170,2021-07-20
"Louisa",2021-07-20,"Louisa",19063,1374,1251,49,42,7,5832,1302,2,2021-07-20
"Lucas",2021-07-20,"Lucas",10255,800,750,23,18,5,4182,771,-2,2021-07-20
"Lyon",2021-07-20,"Lyon",17784,1616,1558,41,37,4,5100,1607,8,2021-07-20
"Madison",2021-07-20,"Madison",22842,1803,1642,19,15,4,8533,1668,7,2021-07-20
"Mahaska",2021-07-20,"Mahaska",33731,2417,2235,51,46,5,11286,2309,23,2021-07-20
"Marion",2021-07-20,"Marion",45614,3853,3581,77,65,12,17431,3660,2,2021-07-20
"Marshall",2021-07-20,"Marshall",88882,5274,4795,76,68,8,23131,4906,35,2021-07-20
"Mills",2021-07-20,"Mills",22548,1805,1602,24,21,3,8057,1637,11,2021-07-20
"Mitchell",2021-07-20,"Mitchell",19455,1377,1230,43,40,3,5818,1268,-5,2021-07-20
"Monona",2021-07-20,"Monona",19381,911,817,31,29,2,4026,850,2,2021-07-20
"Monroe",2021-07-20,"Monroe",10544,1027,941,32,24,8,3841,980,7,2021-07-20
"Montgomery",2021-07-20,"Montgomery",15274,1131,1014,38,36,2,4556,1053,1,2021-07-20
"Muscatine",2021-07-20,"Muscatine",61188,5245,4779,106,97,9,23399,4902,17,2021-07-20
"O'Brien",2021-07-20,"O'Brien",27753,2164,1950,61,56,5,7050,2006,-5,2021-07-20
"Osceola",2021-07-20,"Osceola",9815,816,776,17,14,3,2709,790,-3,2021-07-20
"Page",2021-07-20,"Page",23194,2015,1929,22,20,2,6694,1950,-1,2021-07-20
"Palo Alto",2021-07-20,"Palo Alto",20157,1205,1116,24,23,1,4795,1145,5,2021-07-20
"Plymouth",2021-07-20,"Plymouth",40926,4358,3953,82,74,8,14070,4045,10,2021-07-20
"Pocahontas",2021-07-20,"Pocahontas",14556,910,844,22,22,0,3673,865,-1,2021-07-20
