"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1520","69","47","1","21","0.0453947368421053",2020-09-24
"Adams","Adams","616","33","26","0","7","0.0535714285714286",2020-09-24
"Allamakee","Allamakee","2820","254","172","6","76","0.0900709219858156",2020-09-24
"Appanoose","Appanoose","2493","129","109","3","17","0.0517448856799037",2020-09-24
"Audubon","Audubon","1066","76","36","1","39","0.0712945590994371",2020-09-24
"Benton","Benton","5091","302","187","1","114","0.05932036927912",2020-09-24
"Black Hawk","Black Hawk","33975","4423","3600","88","735","0.13018395879323",2020-09-24
"Boone","Boone","6075","494","327","8","159","0.0813168724279835",2020-09-24
"Bremer","Bremer","5082","476","284","7","185","0.09366391184573",2020-09-24
"Buchanan","Buchanan","4291","262","171","1","90","0.061058028431601",2020-09-24
"Buena Vista","Buena Vista","9127","1964","1810","12","142","0.2151857127205",2020-09-24
"Butler","Butler","3219","265","239","2","24","0.0823237030133582",2020-09-24
"Calhoun","Calhoun","2494","179","128","2","49","0.0717722534081796",2020-09-24
"Carroll","Carroll","5506","651","344","5","302","0.118234653105703",2020-09-24
"Cass","Cass","2514","150","119","2","29","0.0596658711217184",2020-09-24
"Cedar","Cedar","3729","235","147","1","87","0.0630195762939126",2020-09-24
"Cerro Gordo","Cerro Gordo","11078","1017","750","21","246","0.0918035746524643",2020-09-24
"Cherokee","Cherokee","2587","227","135","2","90","0.0877464244298415",2020-09-24
"Chickasaw","Chickasaw","2524","240","196","0","44","0.0950871632329636",2020-09-24
"Clarke","Clarke","2220","264","224","3","37","0.118918918918919",2020-09-24
"Clay","Clay","3615","309","232","4","73","0.0854771784232365",2020-09-24
"Clayton","Clayton","3144","237","215","3","19","0.075381679389313",2020-09-24
"Clinton","Clinton","9437","1093","778","20","295","0.115820705732754",2020-09-24
"Crawford","Crawford","4982","1049","811","5","233","0.210558008831794",2020-09-24
"Dallas","Dallas","24997","2742","2182","38","522","0.109693163179582",2020-09-24
"Davis","Davis","1236","122","78","4","40","0.098705501618123",2020-09-24
"Decatur","Decatur","1454","66","40","0","26","0.0453920220082531",2020-09-24
"Delaware","Delaware","3749","371","294","3","74","0.0989597225926914",2020-09-24
"Des Moines","Des Moines","8553","754","527","7","220","0.0881562025020461",2020-09-24
"Dickinson","Dickinson","5055","503","409","6","88","0.0995054401582591",2020-09-24
"Dubuque","Dubuque","28647","3017","1943","41","1033","0.105316438021433",2020-09-24
"Emmet","Emmet","2112","255","209","10","36","0.120738636363636",2020-09-24
"Fayette","Fayette","3945","206","134","2","70","0.0522179974651458",2020-09-24
"Floyd","Floyd","3775","311","259","3","49","0.0823841059602649",2020-09-24
"Franklin","Franklin","2484","346","292","18","36","0.139291465378422",2020-09-24
"Fremont","Fremont","1115","105","57","0","48","0.0941704035874439",2020-09-24
"Greene","Greene","1913","99","52","0","47","0.0517511761630946",2020-09-24
"Grundy","Grundy","2716","219","120","3","96","0.0806332842415317",2020-09-24
"Guthrie","Guthrie","2598","240","163","6","71","0.092378752886836",2020-09-24
"Hamilton","Hamilton","3560","323","261","3","59","0.0907303370786517",2020-09-24
"Hancock","Hancock","2504","177","155","2","20","0.0706869009584665",2020-09-24
"Hardin","Hardin","3652","293","217","1","75","0.0802300109529025",2020-09-24
"Harrison","Harrison","2583","196","155","2","39","0.0758807588075881",2020-09-24
"Henry","Henry","4878","659","255","4","400","0.13509635096351",2020-09-24
"Howard","Howard","1979","185","120","6","59","0.0934815563415867",2020-09-24
"Humboldt","Humboldt","2182","183","107","3","73","0.0838680109990834",2020-09-24
"Ida","Ida","1442","111","39","0","72","0.0769764216366158",2020-09-24
"Iowa","Iowa","3781","198","109","1","88","0.0523670986511505",2020-09-24
"Jackson","Jackson","3763","318","195","3","120","0.0845070422535211",2020-09-24
"Jasper","Jasper","7578","806","522","32","252","0.106360517286883",2020-09-24
"Jefferson","Jefferson","2706","136","109","1","26","0.0502586844050259",2020-09-24
"Johnson","Johnson","38605","5077","3286","27","1764","0.131511462245823",2020-09-24
"Jones","Jones","3756","260","166","3","91","0.0692225772097977",2020-09-24
"Keokuk","Keokuk","1663","101","56","1","44","0.0607336139506915",2020-09-24
"Kossuth","Kossuth","3337","250","117","0","133","0.0749175906502847",2020-09-24
"Lee","Lee","6075","614","385","7","222","0.101069958847737",2020-09-24
"Linn","Linn","48907","3893","2998","109","786","0.0796000572515182",2020-09-24
"Louisa","Louisa","2467","427","378","15","34","0.173084718281313",2020-09-24
"Lucas","Lucas","1557","153","79","6","68","0.0982658959537572",2020-09-24
"Lyon","Lyon","1768","280","170","4","106","0.158371040723982",2020-09-24
"Madison","Madison","3375","209","163","2","44","0.0619259259259259",2020-09-24
"Mahaska","Mahaska","4707","380","282","19","79","0.0807308264287232",2020-09-24
"Marion","Marion","6666","749","602","5","142","0.112361236123612",2020-09-24
"Marshall","Marshall","10785","1768","1590","34","144","0.163931386184516",2020-09-24
"Mills","Mills","3530","174","124","1","49","0.0492917847025496",2020-09-24
"Mitchell","Mitchell","2708","186","93","0","93","0.068685376661743",2020-09-24
"Monona","Monona","1724","144","107","1","36","0.0835266821345708",2020-09-24
"Monroe","Monroe","1336","154","92","10","52","0.115269461077844",2020-09-24
"Montgomery","Montgomery","1839","90","82","5","3","0.0489396411092985",2020-09-24
"Muscatine","Muscatine","9169","1090","892","54","144","0.118878830843058",2020-09-24
"O'Brien","O'Brien","2905","335","188","9","138","0.115318416523236",2020-09-24
"Osceola","Osceola","920","148","100","0","48","0.160869565217391",2020-09-24
"Page","Page","2576","150","138","0","12","0.0582298136645963",2020-09-24
