"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","2125","227","77","1","149","0.106823529411765",2020-11-02
"Adams","Adams","869","87","51","1","35","0.100115074798619",2020-11-02
"Allamakee","Allamakee","3487","432","267","9","156","0.123888729566963",2020-11-02
"Appanoose","Appanoose","3326","289","161","3","125","0.0868911605532171",2020-11-02
"Audubon","Audubon","1518","193","105","1","87","0.127140974967062",2020-11-02
"Benton","Benton","7226","735","364","4","367","0.101716025463604",2020-11-02
"Black Hawk","Black Hawk","42768","6468","4567","103","1798","0.151234567901235",2020-11-02
"Boone","Boone","7805","797","560","9","228","0.10211402946829",2020-11-02
"Bremer","Bremer","6538","798","523","9","266","0.122055674518201",2020-11-02
"Buchanan","Buchanan","5578","558","317","5","236","0.100035855145213",2020-11-02
"Buena Vista","Buena Vista","10498","2357","2049","12","296","0.224518955991617",2020-11-02
"Butler","Butler","4053","438","351","3","84","0.108068097705403",2020-11-02
"Calhoun","Calhoun","3183","349","267","4","78","0.109644989004084",2020-11-02
"Carroll","Carroll","7336","1265","764","13","488","0.172437295528899",2020-11-02
"Cass","Cass","3769","498","308","4","186","0.132130538604404",2020-11-02
"Cedar","Cedar","5180","555","281","8","266","0.107142857142857",2020-11-02
"Cerro Gordo","Cerro Gordo","13943","1606","1104","27","475","0.115183246073298",2020-11-02
"Cherokee","Cherokee","3445","447","302","2","143","0.129753265602322",2020-11-02
"Chickasaw","Chickasaw","3071","394","353","1","40","0.128296971670466",2020-11-02
"Clarke","Clarke","2836","368","267","3","98","0.129760225669958",2020-11-02
"Clay","Clay","4817","596","374","4","218","0.123728461698152",2020-11-02
"Clayton","Clayton","4114","573","360","3","210","0.139280505590666",2020-11-02
"Clinton","Clinton","12394","1659","1190","29","440","0.133855091173148",2020-11-02
"Crawford","Crawford","6154","1416","1145","15","256","0.230094247643809",2020-11-02
"Dallas","Dallas","31418","3786","2895","49","842","0.120504169584315",2020-11-02
"Davis","Davis","1692","212","133","4","75","0.125295508274232",2020-11-02
"Decatur","Decatur","2006","177","74","0","103","0.0882352941176471",2020-11-02
"Delaware","Delaware","4919","885","543","15","327","0.179914616792031",2020-11-02
"Des Moines","Des Moines","12340","1647","896","11","740","0.133468395461912",2020-11-02
"Dickinson","Dickinson","6462","848","571","9","268","0.13122872175797",2020-11-02
"Dubuque","Dubuque","37178","5885","3740","61","2084","0.158292538598096",2020-11-02
"Emmet","Emmet","2921","474","317","21","136","0.162273194111606",2020-11-02
"Fayette","Fayette","5143","454","254","4","196","0.0882753256853976",2020-11-02
"Floyd","Floyd","4592","485","412","11","62","0.105618466898955",2020-11-02
"Franklin","Franklin","2962","414","351","18","45","0.139770425388251",2020-11-02
"Fremont","Fremont","1603","224","149","2","73","0.139737991266376",2020-11-02
"Greene","Greene","2575","209","139","0","70","0.0811650485436893",2020-11-02
"Grundy","Grundy","3373","375","240","6","129","0.111176993774088",2020-11-02
"Guthrie","Guthrie","3327","431","284","15","132","0.129546137661557",2020-11-02
"Hamilton","Hamilton","4451","504","446","5","53","0.113232981352505",2020-11-02
"Hancock","Hancock","3246","415","270","6","139","0.12784966112138",2020-11-02
"Hardin","Hardin","4825","554","321","7","226","0.114818652849741",2020-11-02
"Harrison","Harrison","3893","743","351","17","375","0.190855381453892",2020-11-02
