"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2710,87,53,2,32,NA,NA,NA,NA
"2","2020-08-01",2772,89,52,3,34,2,62,1,0.032258064516129
