"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1125","39","20","0","0.0346666666666667",2020-08-17
"Adams","Adams","444","17","16","0","0.0382882882882883",2020-08-17
"Allamakee","Allamakee","2187","163","139","4","0.0745313214449017",2020-08-17
"Appanoose","Appanoose","1664","58","44","3","0.0348557692307692",2020-08-17
"Audubon","Audubon","761","30","21","1","0.0394218134034166",2020-08-17
"Benton","Benton","3676","171","108","1","0.0465179542981502",2020-08-17
"Black Hawk","Black Hawk","26130","3309","2656","66","0.126636050516648",2020-08-17
"Boone","Boone","4366","294","190","3","0.0673385249656436",2020-08-17
"Bremer","Bremer","3831","244","133","7","0.0636909423127121",2020-08-17
"Buchanan","Buchanan","3149","151","73","1","0.0479517307081613",2020-08-17
"Buena Vista","Buena Vista","8086","1804","1746","12","0.223101657185258",2020-08-17
"Butler","Butler","2410","140","116","2","0.0580912863070539",2020-08-17
"Calhoun","Calhoun","1671","95","78","2","0.056852184320766",2020-08-17
"Carroll","Carroll","3622","223","166","2","0.0615681943677526",2020-08-17
"Cass","Cass","1845","94","65","2","0.0509485094850948",2020-08-17
"Cedar","Cedar","2630","137","102","1","0.0520912547528517",2020-08-17
"Cerro Gordo","Cerro Gordo","8569","687","451","19","0.0801727156027541",2020-08-17
"Cherokee","Cherokee","1823","114","101","1","0.0625342841470104",2020-08-17
"Chickasaw","Chickasaw","1749","68","53","0","0.0388793596340766",2020-08-17
"Clarke","Clarke","1629","212","150","3","0.130141190914672",2020-08-17
"Clay","Clay","2787","216","161","1","0.077502691065662",2020-08-17
"Clayton","Clayton","2397","120","93","3","0.0500625782227785",2020-08-17
"Clinton","Clinton","6526","520","185","4","0.0796812749003984",2020-08-17
"Crawford","Crawford","3836","754","687","3","0.196558915537018",2020-08-17
"Dallas","Dallas","18700","1992","1541","35","0.106524064171123",2020-08-17
"Davis","Davis","894","68","45","2","0.0760626398210291",2020-08-17
"Decatur","Decatur","641","29","23","0","0.0452418096723869",2020-08-17
"Delaware","Delaware","2617","137","106","1","0.0523500191058464",2020-08-17
"Des Moines","Des Moines","5055","263","113","2","0.0520276953511375",2020-08-17
"Dickinson","Dickinson","4097","391","337","4","0.0954356846473029",2020-08-17
"Dubuque","Dubuque","21960","1806","1209","31","0.0822404371584699",2020-08-17
"Emmet","Emmet","1633","199","142","4","0.121861604409063",2020-08-17
"Fayette","Fayette","2856","105","66","0","0.0367647058823529",2020-08-17
"Floyd","Floyd","2851","178","137","3","0.0624342336022448",2020-08-17
"Franklin","Franklin","1906","265","211","13","0.13903462749213",2020-08-17
"Fremont","Fremont","752","46","19","0","0.0611702127659574",2020-08-17
"Greene","Greene","1323","42","38","0","0.0317460317460317",2020-08-17
"Grundy","Grundy","1947","91","56","1","0.046738572162301",2020-08-17
"Guthrie","Guthrie","1907","147","110","5","0.0770844257996854",2020-08-17
"Hamilton","Hamilton","2721","262","249","1","0.0962881293642043",2020-08-17
"Hancock","Hancock","1928","127","116","2","0.0658713692946058",2020-08-17
"Hardin","Hardin","2752","195","126","0","0.0708575581395349",2020-08-17
"Harrison","Harrison","1720","117","94","1","0.0680232558139535",2020-08-17
"Henry","Henry","2911","166","98","4","0.0570250772930265",2020-08-17
"Howard","Howard","1364","66","42","0","0.0483870967741935",2020-08-17
"Humboldt","Humboldt","1399","133","90","1","0.0950679056468906",2020-08-17
"Ida","Ida","1023","34","25","0","0.0332355816226784",2020-08-17
"Iowa","Iowa","2835","100","66","1","0.0352733686067019",2020-08-17
"Jackson","Jackson","2850","171","100","1","0.06",2020-08-17
"Jasper","Jasper","5269","499","396","28","0.0947048775858797",2020-08-17
"Jefferson","Jefferson","2098","92","67","0","0.0438512869399428",2020-08-17
"Johnson","Johnson","26741","2197","1675","21","0.0821584832280019",2020-08-17
"Jones","Jones","2752","139","102","2","0.0505087209302326",2020-08-17
"Keokuk","Keokuk","1160","43","23","1","0.0370689655172414",2020-08-17
"Kossuth","Kossuth","2259","106","69","0","0.0469234174413457",2020-08-17
"Lee","Lee","3568","165","63","5","0.0462443946188341",2020-08-17
"Linn","Linn","36754","2559","2039","89","0.0696250748217881",2020-08-17
"Louisa","Louisa","1943","378","357","14","0.194544518785383",2020-08-17
"Lucas","Lucas","940","75","35","4","0.0797872340425532",2020-08-17
"Lyon","Lyon","1186","130","108","2","0.109612141652614",2020-08-17
"Madison","Madison","2493","135","82","2","0.0541516245487365",2020-08-17
"Mahaska","Mahaska","2249","146","117","17","0.0649177412183193",2020-08-17
"Marion","Marion","3882","209","156","0","0.0538382277176713",2020-08-17
"Marshall","Marshall","8910","1509","1188","27","0.169360269360269",2020-08-17
"Mills","Mills","2859","98","59","1","0.0342777194823365",2020-08-17
"Mitchell","Mitchell","2008","83","69","0","0.0413346613545817",2020-08-17
"Monona","Monona","1226","93","81","1","0.0758564437194127",2020-08-17
"Monroe","Monroe","887","78","54","8","0.0879368658399098",2020-08-17
"Montgomery","Montgomery","1449","64","51","4","0.044168391994479",2020-08-17
"Muscatine","Muscatine","7251","891","741","48","0.122879602813405",2020-08-17
"O'Brien","O'Brien","2079","150","111","5","0.0721500721500721",2020-08-17
"Osceola","Osceola","685","89","73","0","0.12992700729927",2020-08-17
"Page","Page","2097","101","85","0","0.0481640438721984",2020-08-17
"Palo Alto","Palo Alto","1565","103","63","0","0.065814696485623",2020-08-17
"Pending Investigation","Pending Investigation","6600","6","0","0","0.000909090909090909",2020-08-17
"Plymouth","Plymouth","4336","514","384","12","0.118542435424354",2020-08-17
"Pocahontas","Pocahontas","1260","122","108","2","0.0968253968253968",2020-08-17
"Polk","Polk","95161","10999","8387","211","0.115583064490705",2020-08-17
"Pottawattamie","Pottawattamie","16278","1427","1058","29","0.0876643322275464",2020-08-17
"Poweshiek","Poweshiek","2276","163","120","8","0.0716168717047452",2020-08-17
"Ringgold","Ringgold","748","24","20","1","0.0320855614973262",2020-08-17
"Sac","Sac","1807","90","74","0","0.0498063087991146",2020-08-17
"Scott","Scott","26946","1856","1350","15","0.0688784977362132",2020-08-17
"Shelby","Shelby","1740","194","176","1","0.111494252873563",2020-08-17
"Sioux","Sioux","4831","693","535","3","0.143448561374457",2020-08-17
"Story","Story","21352","1411","981","15","0.0660828025477707",2020-08-17
"Tama","Tama","3467","563","483","29","0.162388231900779",2020-08-17
"Taylor","Taylor","941","104","90","0","0.110520722635494",2020-08-17
"Union","Union","2315","88","54","2","0.0380129589632829",2020-08-17
"Van Buren","Van Buren","803","42","22","1","0.0523038605230386",2020-08-17
"Wapello","Wapello","6202","959","818","37","0.154627539503386",2020-08-17
"Warren","Warren","8855","603","421","2","0.0680971202710333",2020-08-17
"Washington","Washington","3317","309","276","10","0.0931564666867652",2020-08-17
"Wayne","Wayne","548","25","14","1","0.0456204379562044",2020-08-17
"Webster","Webster","7653","886","638","8","0.115771592839409",2020-08-17
"Winnebago","Winnebago","1982","119","62","0","0.0600403632694248",2020-08-17
"Winneshiek","Winneshiek","2580","109","81","1","0.0422480620155039",2020-08-17
"Woodbury","Woodbury","22707","3816","3440","54","0.168053904082442",2020-08-17
"Worth","Worth","1189","71","47","0","0.0597140454163162",2020-08-17
"Wright","Wright","3459","496","420","1","0.143394044521538",2020-08-17
"Total","Totals","561218","52611","40636","975",NA,2020-08-17
