"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1561","72","48","1","23","0.0461242793081358",2020-09-28
"Adams","Adams","646","33","27","0","6","0.0510835913312693",2020-09-28
"Allamakee","Allamakee","2892","264","175","6","83","0.0912863070539419",2020-09-28
"Appanoose","Appanoose","2603","139","116","3","20","0.0533999231655782",2020-09-28
"Audubon","Audubon","1136","82","37","1","44","0.0721830985915493",2020-09-28
"Benton","Benton","5337","325","205","1","119","0.0608956342514521",2020-09-28
"Black Hawk","Black Hawk","35018","4503","3734","90","679","0.128591010337541",2020-09-28
"Boone","Boone","6339","511","341","8","162","0.0806120839249093",2020-09-28
"Bremer","Bremer","5356","495","316","7","172","0.092419716206124",2020-09-28
"Buchanan","Buchanan","4437","285","174","1","110","0.0642325895875592",2020-09-28
"Buena Vista","Buena Vista","9292","1992","1812","12","168","0.214377959535084",2020-09-28
"Butler","Butler","3361","271","252","2","17","0.080630764653377",2020-09-28
"Calhoun","Calhoun","2593","185","162","3","20","0.0713459313536444",2020-09-28
"Carroll","Carroll","5697","675","392","5","278","0.118483412322275",2020-09-28
"Cass","Cass","2700","169","128","2","39","0.0625925925925926",2020-09-28
"Cedar","Cedar","3894","251","154","1","96","0.0644581407293272",2020-09-28
"Cerro Gordo","Cerro Gordo","11375","1058","825","21","212","0.093010989010989",2020-09-28
"Cherokee","Cherokee","2821","251","139","2","110","0.0889755405884438",2020-09-28
"Chickasaw","Chickasaw","2597","260","229","0","31","0.100115517905275",2020-09-28
"Clarke","Clarke","2333","266","237","3","26","0.114016288041149",2020-09-28
"Clay","Clay","3772","328","232","4","92","0.0869565217391304",2020-09-28
"Clayton","Clayton","3269","261","233","3","25","0.0798409299479963",2020-09-28
"Clinton","Clinton","9769","1124","835","21","268","0.115057836011874",2020-09-28
"Crawford","Crawford","5231","1092","825","5","262","0.208755496081055",2020-09-28
"Dallas","Dallas","25668","2798","2345","38","415","0.109007324294842",2020-09-28
"Davis","Davis","1300","127","82","4","41","0.0976923076923077",2020-09-28
"Decatur","Decatur","1548","67","44","0","23","0.04328165374677",2020-09-28
"Delaware","Delaware","3887","411","329","3","79","0.105737072292256",2020-09-28
"Des Moines","Des Moines","8815","797","573","8","216","0.090414066931367",2020-09-28
"Dickinson","Dickinson","5281","528","418","6","104","0.0999810641923878",2020-09-28
"Dubuque","Dubuque","29808","3286","2014","41","1231","0.110238862050456",2020-09-28
"Emmet","Emmet","2177","265","212","10","43","0.12172714745062",2020-09-28
"Fayette","Fayette","4113","227","138","2","87","0.0551908582543156",2020-09-28
"Floyd","Floyd","3878","352","292","3","57","0.0907684373388345",2020-09-28
"Franklin","Franklin","2545","350","311","18","21","0.137524557956778",2020-09-28
"Fremont","Fremont","1249","122","60","0","62","0.0976781425140112",2020-09-28
"Greene","Greene","2043","101","53","0","48","0.0494371023005384",2020-09-28
"Grundy","Grundy","2821","223","135","3","85","0.0790499822757887",2020-09-28
"Guthrie","Guthrie","2678","245","170","6","69","0.0914861837191934",2020-09-28
"Hamilton","Hamilton","3646","327","308","3","16","0.089687328579265",2020-09-28
"Hancock","Hancock","2577","188","169","2","17","0.072953046177726",2020-09-28
"Hardin","Hardin","3874","304","233","1","70","0.078471863706763",2020-09-28
"Harrison","Harrison","2818","244","159","3","82","0.0865862313697658",2020-09-28
"Henry","Henry","5122","747","292","4","451","0.145841468176494",2020-09-28
"Howard","Howard","2075","190","132","6","52","0.091566265060241",2020-09-28
"Humboldt","Humboldt","2261","190","165","3","22","0.0840336134453782",2020-09-28
"Ida","Ida","1518","122","44","1","77","0.080368906455863",2020-09-28
"Iowa","Iowa","3943","213","114","1","98","0.0540197818919604",2020-09-28
"Jackson","Jackson","3942","350","211","3","136","0.0887874175545408",2020-09-28
"Jasper","Jasper","7945","845","563","32","250","0.106356198867212",2020-09-28
"Jefferson","Jefferson","2859","139","117","1","21","0.0486183980412732",2020-09-28
"Johnson","Johnson","39488","5146","3943","27","1176","0.130318071312804",2020-09-28
"Jones","Jones","3910","277","172","3","102","0.070843989769821",2020-09-28
"Keokuk","Keokuk","1727","109","61","1","47","0.0631152287203243",2020-09-28
"Kossuth","Kossuth","3491","274","124","0","150","0.0784875393869951",2020-09-28
"Lee","Lee","6352","638","436","7","195","0.10044080604534",2020-09-28
"Linn","Linn","50753","4082","3099","112","871","0.080428743128485",2020-09-28
"Louisa","Louisa","2529","429","381","15","33","0.169632265717675",2020-09-28
"Lucas","Lucas","1636","156","92","6","58","0.0953545232273839",2020-09-28
"Lyon","Lyon","1911","333","178","4","151","0.17425431711146",2020-09-28
"Madison","Madison","3498","223","173","2","48","0.0637507146941109",2020-09-28
"Mahaska","Mahaska","4865","410","298","19","93","0.0842754367934224",2020-09-28
"Marion","Marion","6917","763","684","7","72","0.110307936966893",2020-09-28
"Marshall","Marshall","11236","1790","1619","34","137","0.159309362762549",2020-09-28
