"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1017","35","20","0","0.0344149459193707",2020-08-13
"Adams","Adams","436","17","16","0","0.0389908256880734",2020-08-13
"Allamakee","Allamakee","2123","158","136","4","0.0744229863400848",2020-08-13
"Appanoose","Appanoose","1563","52","40","3","0.0332693538067818",2020-08-13
"Audubon","Audubon","739","29","18","1","0.0392422192151556",2020-08-13
"Benton","Benton","3559","161","102","1","0.0452374262433268",2020-08-13
"Black Hawk","Black Hawk","25333","3189","2598","66","0.125883235305728",2020-08-13
"Boone","Boone","4216","267","181","3","0.0633301707779886",2020-08-13
"Bremer","Bremer","3711","231","123","7","0.0622473726758286",2020-08-13
"Buchanan","Buchanan","3046","130","67","1","0.0426789231779383",2020-08-13
"Buena Vista","Buena Vista","7977","1797","1740","12","0.225272658894321",2020-08-13
"Butler","Butler","2327","129","110","2","0.055436183927804",2020-08-13
"Calhoun","Calhoun","1611","86","78","2","0.053382991930478",2020-08-13
"Carroll","Carroll","3479","196","166","2","0.0563380281690141",2020-08-13
"Cass","Cass","1759","82","47","1","0.0466173962478681",2020-08-13
"Cedar","Cedar","2545","135","102","1","0.0530451866404715",2020-08-13
"Cerro Gordo","Cerro Gordo","8314","645","424","17","0.0775799855665143",2020-08-13
"Cherokee","Cherokee","1762","110","96","1","0.0624290578887628",2020-08-13
"Chickasaw","Chickasaw","1686","59","53","0","0.034994068801898",2020-08-13
"Clarke","Clarke","1568","206","147","3","0.131377551020408",2020-08-13
"Clay","Clay","2657","203","157","1","0.0764019570944674",2020-08-13
"Clayton","Clayton","2309","108","90","3","0.046773495019489",2020-08-13
"Clinton","Clinton","6178","426","167","4","0.0689543541599223",2020-08-13
"Crawford","Crawford","3727","736","684","3","0.197477864233968",2020-08-13
"Dallas","Dallas","17866","1917","1496","35","0.107298779805217",2020-08-13
"Davis","Davis","859","61","43","2","0.0710128055878929",2020-08-13
"Decatur","Decatur","627","26","22","0","0.0414673046251994",2020-08-13
"Delaware","Delaware","2512","123","90","1","0.0489649681528662",2020-08-13
"Des Moines","Des Moines","4736","203","109","2","0.0428631756756757",2020-08-13
"Dickinson","Dickinson","4002","385","318","4","0.0962018990504748",2020-08-13
"Dubuque","Dubuque","21234","1726","1129","31","0.0812847320335311",2020-08-13
"Emmet","Emmet","1602","193","135","4","0.120474406991261",2020-08-13
"Fayette","Fayette","2756","87","65","0","0.0315674891146589",2020-08-13
"Floyd","Floyd","2742","164","125","3","0.0598103574033552",2020-08-13
"Franklin","Franklin","1849","251","201","12","0.135749053542455",2020-08-13
"Fremont","Fremont","733","45","19","0","0.0613915416098226",2020-08-13
"Greene","Greene","1287","42","37","0","0.0326340326340326",2020-08-13
"Grundy","Grundy","1897","82","54","1","0.0432261465471798",2020-08-13
"Guthrie","Guthrie","1823","137","107","5","0.0751508502468459",2020-08-13
"Hamilton","Hamilton","2659","253","240","1","0.0951485520872508",2020-08-13
"Hancock","Hancock","1868","124","110","2","0.0663811563169165",2020-08-13
"Hardin","Hardin","2688","185","111","0","0.0688244047619048",2020-08-13
"Harrison","Harrison","1660","112","88","1","0.0674698795180723",2020-08-13
"Henry","Henry","2788","138","94","4","0.0494978479196557",2020-08-13
"Howard","Howard","1304","50","41","0","0.0383435582822086",2020-08-13
"Humboldt","Humboldt","1346","122","87","1","0.0906389301634472",2020-08-13
"Ida","Ida","924","32","25","0","0.0346320346320346",2020-08-13
"Iowa","Iowa","2755","98","65","1","0.0355716878402904",2020-08-13
"Jackson","Jackson","2767","160","91","1","0.0578243585110228",2020-08-13
"Jasper","Jasper","5048","484","386","27","0.0958795562599049",2020-08-13
"Jefferson","Jefferson","2006","87","64","0","0.043369890329013",2020-08-13
"Johnson","Johnson","25895","2129","1617","20","0.0822166441397953",2020-08-13
"Jones","Jones","2655","136","91","2","0.0512241054613936",2020-08-13
"Keokuk","Keokuk","1122","40","23","1","0.035650623885918",2020-08-13
"Kossuth","Kossuth","2106","96","63","0","0.0455840455840456",2020-08-13
"Lee","Lee","3217","125","56","4","0.038856077090457",2020-08-13
"Linn","Linn","35654","2454","1871","88","0.0688281819711673",2020-08-13
"Louisa","Louisa","1868","378","355","14","0.202355460385439",2020-08-13
"Lucas","Lucas","895","73","33","4","0.0815642458100559",2020-08-13
"Lyon","Lyon","1120","119","100","2","0.10625",2020-08-13
"Madison","Madison","2392","128","73","2","0.0535117056856187",2020-08-13
"Mahaska","Mahaska","2185","142","117","17","0.0649885583524027",2020-08-13
"Marion","Marion","3638","178","152","0","0.0489279824079164",2020-08-13
"Marshall","Marshall","8620","1455","1149","27","0.168793503480278",2020-08-13
"Mills","Mills","2806","93","57","1","0.0331432644333571",2020-08-13
"Mitchell","Mitchell","1955","80","67","0","0.040920716112532",2020-08-13
"Monona","Monona","1192","91","82","0","0.0763422818791946",2020-08-13
"Monroe","Monroe","865","75","53","8","0.0867052023121387",2020-08-13
"Montgomery","Montgomery","1405","61","41","4","0.0434163701067616",2020-08-13
"Muscatine","Muscatine","6972","857","738","48","0.122920252438325",2020-08-13
"O'Brien","O'Brien","1994","143","107","5","0.0717151454363089",2020-08-13
"Osceola","Osceola","659","85","71","0","0.128983308042489",2020-08-13
"Page","Page","2049","96","73","0","0.0468521229868228",2020-08-13
"Palo Alto","Palo Alto","1510","90","61","0","0.0596026490066225",2020-08-13
"Pending Investigation","Pending Investigation","6193","6","0","0","0.000968835782334894",2020-08-13
"Plymouth","Plymouth","4182","475","374","12","0.113582018173123",2020-08-13
"Pocahontas","Pocahontas","1226","120","107","2","0.0978792822185971",2020-08-13
"Polk","Polk","90825","10565","8091","208","0.116322598403523",2020-08-13
"Pottawattamie","Pottawattamie","15715","1352","1013","29","0.086032453070315",2020-08-13
"Poweshiek","Poweshiek","2180","159","112","8","0.0729357798165138",2020-08-13
"Ringgold","Ringgold","742","23","20","1","0.0309973045822102",2020-08-13
"Sac","Sac","1757","87","72","0","0.0495162208309619",2020-08-13
"Scott","Scott","25882","1760","1304","14","0.0680009272853721",2020-08-13
"Shelby","Shelby","1670","187","167","1","0.111976047904192",2020-08-13
"Sioux","Sioux","4395","652","528","3","0.14835039817975",2020-08-13
"Story","Story","18671","1183","923","15","0.0633602913609341",2020-08-13
"Tama","Tama","3327","557","478","29","0.167418094379321",2020-08-13
"Taylor","Taylor","916","100","90","0","0.109170305676856",2020-08-13
"Union","Union","2251","81","54","1","0.035984007107952",2020-08-13
"Van Buren","Van Buren","762","37","22","1","0.0485564304461942",2020-08-13
"Wapello","Wapello","6032","928","789","33","0.153846153846154",2020-08-13
"Warren","Warren","8370","586","396","1","0.0700119474313023",2020-08-13
"Washington","Washington","3215","305","274","10","0.0948678071539658",2020-08-13
"Wayne","Wayne","514","20","14","1","0.0389105058365759",2020-08-13
"Webster","Webster","7027","843","620","8","0.119965846022485",2020-08-13
"Winnebago","Winnebago","1684","90","56","0","0.0534441805225653",2020-08-13
"Winneshiek","Winneshiek","2443","99","77","1","0.040523945968072",2020-08-13
"Woodbury","Woodbury","22020","3760","3411","52","0.170753860127157",2020-08-13
"Worth","Worth","1152","68","37","0","0.0590277777777778",2020-08-13
"Wright","Wright","3344","481","418","1","0.14383971291866",2020-08-13
"Total","Totals","537249","50122","39211","954",NA,2020-08-13
