"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","1142","42","20","1","0.0367775831873905",2020-08-19
"Adams","Adams","448","17","16","0","0.0379464285714286",2020-08-19
"Allamakee","Allamakee","2216","164","140","4","0.0740072202166065",2020-08-19
"Appanoose","Appanoose","1697","59","44","3","0.0347672362993518",2020-08-19
"Audubon","Audubon","771","30","21","1","0.0389105058365759",2020-08-19
"Benton","Benton","3738","177","117","1","0.0473515248796148",2020-08-19
"Black Hawk","Black Hawk","26556","3362","2713","67","0.126600391625245",2020-08-19
"Boone","Boone","4442","296","204","3","0.0666366501575867",2020-08-19
"Bremer","Bremer","3894","248","146","7","0.0636877247046739",2020-08-19
"Buchanan","Buchanan","3207","152","83","1","0.0473963205487995",2020-08-19
"Buena Vista","Buena Vista","8127","1809","1752","12","0.222591362126246",2020-08-19
"Butler","Butler","2439","143","120","2","0.0586305863058631",2020-08-19
"Calhoun","Calhoun","1703","101","79","2","0.0593071051086318",2020-08-19
"Carroll","Carroll","3709","245","167","2","0.0660555405769749",2020-08-19
"Cass","Cass","1861","96","75","2","0.0515851692638366",2020-08-19
"Cedar","Cedar","2656","139","105","1","0.0523343373493976",2020-08-19
"Cerro Gordo","Cerro Gordo","8691","696","493","20","0.0800828443217121",2020-08-19
"Cherokee","Cherokee","1848","120","102","1","0.0649350649350649",2020-08-19
"Chickasaw","Chickasaw","1774","70","60","0","0.0394588500563698",2020-08-19
"Clarke","Clarke","1655","213","153","3","0.128700906344411",2020-08-19
"Clay","Clay","2822","219","162","1","0.0776045357902197",2020-08-19
"Clayton","Clayton","2456","127","95","3","0.0517100977198697",2020-08-19
"Clinton","Clinton","6644","549","199","4","0.0826309452137267",2020-08-19
"Crawford","Crawford","3878","760","689","3","0.195977307890665",2020-08-19
"Dallas","Dallas","18978","2012","1595","35","0.106017493940352",2020-08-19
"Davis","Davis","908","72","48","2","0.079295154185022",2020-08-19
"Decatur","Decatur","778","31","24","0","0.0398457583547558",2020-08-19
"Delaware","Delaware","2663","146","112","1","0.0548253849042433",2020-08-19
"Des Moines","Des Moines","5181","295","121","2","0.0569388149005983",2020-08-19
"Dickinson","Dickinson","4128","393","344","5","0.095203488372093",2020-08-19
"Dubuque","Dubuque","22275","1834","1280","33","0.082334455667789",2020-08-19
"Emmet","Emmet","1651","200","147","5","0.121138703815869",2020-08-19
"Fayette","Fayette","2911","108","68","0","0.0371006526966678",2020-08-19
"Floyd","Floyd","2910","185","150","3","0.063573883161512",2020-08-19
"Franklin","Franklin","1925","272","218","16","0.141298701298701",2020-08-19
"Fremont","Fremont","787","46","22","0","0.0584498094027954",2020-08-19
"Greene","Greene","1344","43","38","0","0.0319940476190476",2020-08-19
"Grundy","Grundy","1986","95","60","1","0.0478348439073515",2020-08-19
"Guthrie","Guthrie","1928","150","113","5","0.0778008298755187",2020-08-19
"Hamilton","Hamilton","2747","264","248","1","0.0961048416454314",2020-08-19
"Hancock","Hancock","1944","129","118","2","0.066358024691358",2020-08-19
"Hardin","Hardin","2764","194","134","1","0.0701881331403763",2020-08-19
"Harrison","Harrison","1756","123","100","1","0.0700455580865604",2020-08-19
"Henry","Henry","2968","174","99","4","0.0586253369272237",2020-08-19
"Howard","Howard","1381","68","45","0","0.0492396813902969",2020-08-19
"Humboldt","Humboldt","1424","134","101","2","0.0941011235955056",2020-08-19
"Ida","Ida","1027","34","26","0","0.0331061343719572",2020-08-19
"Iowa","Iowa","2862","100","70","1","0.0349406009783368",2020-08-19
"Jackson","Jackson","2882","174","110","1","0.0603747397640527",2020-08-19
"Jasper","Jasper","5356","507","401","29","0.0946601941747573",2020-08-19
"Jefferson","Jefferson","2132","95","68","0","0.0445590994371482",2020-08-19
"Johnson","Johnson","27252","2266","1715","22","0.0831498605606928",2020-08-19
"Jones","Jones","2789","140","105","2","0.0501972032986734",2020-08-19
"Keokuk","Keokuk","1179","45","25","1","0.0381679389312977",2020-08-19
"Kossuth","Kossuth","2286","107","75","0","0.0468066491688539",2020-08-19
"Lee","Lee","3666","179","68","5","0.0488270594653573",2020-08-19
"Linn","Linn","37286","2609","2145","89","0.0699726438877863",2020-08-19
"Louisa","Louisa","1963","379","358","14","0.193071828833418",2020-08-19
"Lucas","Lucas","964","78","35","4","0.0809128630705394",2020-08-19
"Lyon","Lyon","1203","131","114","2","0.108894430590191",2020-08-19
"Madison","Madison","2531","140","86","2","0.0553141050967997",2020-08-19
"Mahaska","Mahaska","2293","150","119","17","0.0654164849542085",2020-08-19
"Marion","Marion","3970","219","163","0","0.0551637279596977",2020-08-19
"Marshall","Marshall","9015","1523","1246","28","0.168940654464781",2020-08-19
"Mills","Mills","2891","103","63","1","0.0356278104462124",2020-08-19
"Mitchell","Mitchell","2031","85","71","0","0.0418513047759724",2020-08-19
"Monona","Monona","1247","93","84","1","0.07457898957498",2020-08-19
"Monroe","Monroe","911","82","56","8","0.0900109769484083",2020-08-19
