"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","960","28","17","0","0.0291666666666667",2020-08-08
"Adams","Adams","424","16","10","0","0.0377358490566038",2020-08-08
"Allamakee","Allamakee","2055","154","137","4","0.0749391727493917",2020-08-08
"Appanoose","Appanoose","1452","48","36","3","0.0330578512396694",2020-08-08
"Audubon","Audubon","711","28","15","1","0.0393811533052039",2020-08-08
"Benton","Benton","3426","152","101","1","0.0443666082895505",2020-08-08
"Black Hawk","Black Hawk","24476","3100","2485","66","0.126654682137604",2020-08-08
"Boone","Boone","3990","246","172","2","0.0616541353383459",2020-08-08
"Bremer","Bremer","3524","213","109","7","0.0604426787741203",2020-08-08
"Buchanan","Buchanan","2915","124","63","1","0.0425385934819897",2020-08-08
"Buena Vista","Buena Vista","7903","1791","1732","12","0.226622801467797",2020-08-08
"Butler","Butler","2248","119","104","2","0.0529359430604982",2020-08-08
"Calhoun","Calhoun","1556","83","73","2","0.0533419023136247",2020-08-08
"Carroll","Carroll","3347","185","163","1","0.0552733791455034",2020-08-08
"Cass","Cass","1566","61","40","1","0.0389527458492976",2020-08-08
"Cedar","Cedar","2459","129","95","1","0.0524603497356649",2020-08-08
"Cerro Gordo","Cerro Gordo","8009","599","348","17","0.0747908602821825",2020-08-08
"Cherokee","Cherokee","1695","105","91","1","0.0619469026548673",2020-08-08
"Chickasaw","Chickasaw","1640","54","49","0","0.0329268292682927",2020-08-08
"Clarke","Clarke","1513","197","138","3","0.130204890945142",2020-08-08
"Clay","Clay","2555","181","151","1","0.0708414872798434",2020-08-08
"Clayton","Clayton","2221","104","79","3","0.0468257541647906",2020-08-08
"Clinton","Clinton","5865","372","146","3","0.0634271099744246",2020-08-08
"Crawford","Crawford","3656","726","681","3","0.198577680525164",2020-08-08
"Dallas","Dallas","17130","1860","1419","35","0.108581436077058",2020-08-08
"Davis","Davis","807","54","42","1","0.0669144981412639",2020-08-08
"Decatur","Decatur","609","23","16","0","0.0377668308702791",2020-08-08
"Delaware","Delaware","2372","103","84","1","0.0434232715008432",2020-08-08
"Des Moines","Des Moines","4401","159","102","2","0.0361281526925699",2020-08-08
"Dickinson","Dickinson","3891","378","303","4","0.0971472629144179",2020-08-08
"Dubuque","Dubuque","20517","1656","991","31","0.0807135546132476",2020-08-08
"Emmet","Emmet","1537","190","121","4","0.123617436564737",2020-08-08
"Fayette","Fayette","2658","82","61","0","0.0308502633559067",2020-08-08
"Floyd","Floyd","2606","146","97","2","0.0560245587106677",2020-08-08
"Franklin","Franklin","1773","237","175","10","0.133671742808799",2020-08-08
"Fremont","Fremont","702","41","17","0","0.0584045584045584",2020-08-08
"Greene","Greene","1239","41","33","0","0.033091202582728",2020-08-08
"Grundy","Grundy","1824","78","50","1","0.0427631578947368",2020-08-08
"Guthrie","Guthrie","1756","131","97","5","0.0746013667425968",2020-08-08
"Hamilton","Hamilton","2587","245","225","1","0.0947042906841902",2020-08-08
"Hancock","Hancock","1806","121","102","2","0.0669988925802879",2020-08-08
"Hardin","Hardin","2589","177","101","0","0.0683661645422943",2020-08-08
"Harrison","Harrison","1599","105","82","0","0.0656660412757974",2020-08-08
"Henry","Henry","2667","119","89","3","0.0446194225721785",2020-08-08
"Howard","Howard","1274","49","37","0","0.0384615384615385",2020-08-08
"Humboldt","Humboldt","1288","106","76","1","0.0822981366459627",2020-08-08
"Ida","Ida","894","29","23","0","0.0324384787472036",2020-08-08
"Iowa","Iowa","2676","96","63","1","0.0358744394618834",2020-08-08
"Jackson","Jackson","2659","150","75","1","0.0564121850319669",2020-08-08
"Jasper","Jasper","4835","472","361","26","0.0976215098241986",2020-08-08
"Jefferson","Jefferson","1910","82","64","0","0.0429319371727749",2020-08-08
"Johnson","Johnson","24941","2055","1511","19","0.0823944509041338",2020-08-08
"Jones","Jones","2562","129","81","2","0.0503512880562061",2020-08-08
"Keokuk","Keokuk","1077","34","22","1","0.031569173630455",2020-08-08
"Kossuth","Kossuth","2024","84","50","0","0.041501976284585",2020-08-08
"Lee","Lee","3032","108","54","3","0.0356200527704486",2020-08-08
"Linn","Linn","33935","2319","1817","87","0.0683365257109179",2020-08-08
"Louisa","Louisa","1833","378","352","14","0.206219312602291",2020-08-08
"Lucas","Lucas","828","60","32","4","0.072463768115942",2020-08-08
"Lyon","Lyon","1069","111","93","2","0.103835360149673",2020-08-08
"Madison","Madison","2267","114","62","2","0.0502867225408028",2020-08-08
"Mahaska","Mahaska","2070","138","110","17","0.0666666666666667",2020-08-08
"Marion","Marion","3418","166","136","0","0.0485664131070802",2020-08-08
"Marshall","Marshall","8392","1435","1090","26","0.170996186844614",2020-08-08
"Mills","Mills","2742","87","52","0","0.0317286652078775",2020-08-08
"Mitchell","Mitchell","1878","78","67","0","0.0415335463258786",2020-08-08
"Monona","Monona","1164","91","79","0","0.0781786941580756",2020-08-08
"Monroe","Monroe","824","72","47","7","0.087378640776699",2020-08-08
"Montgomery","Montgomery","1344","59","35","4","0.0438988095238095",2020-08-08
"Muscatine","Muscatine","6764","845","733","48","0.124926079243051",2020-08-08
"O'Brien","O'Brien","1919","137","100","2","0.0713913496612819",2020-08-08
"Osceola","Osceola","636","82","71","0","0.128930817610063",2020-08-08
"Page","Page","1938","94","68","0","0.0485036119711042",2020-08-08
"Palo Alto","Palo Alto","1454","82","55","0","0.0563961485557084",2020-08-08
"Pending Investigation","Pending Investigation","5885","4","0","0","0.000679694137638063",2020-08-08
"Plymouth","Plymouth","4072","455","353","9","0.111738703339882",2020-08-08
"Pocahontas","Pocahontas","1194","115","106","2","0.0963149078726968",2020-08-08
"Polk","Polk","86840","10140","7520","207","0.116766467065868",2020-08-08
"Pottawattamie","Pottawattamie","15194","1297","941","26","0.0853626431486113",2020-08-08
"Poweshiek","Poweshiek","2085","157","110","8","0.0752997601918465",2020-08-08
"Ringgold","Ringgold","721","21","20","1","0.029126213592233",2020-08-08
"Sac","Sac","1708","83","69","0","0.0485948477751756",2020-08-08
"Scott","Scott","24819","1680","1159","14","0.0676900761513357",2020-08-08
"Shelby","Shelby","1620","180","150","1","0.111111111111111",2020-08-08
"Sioux","Sioux","4212","621","513","3","0.147435897435897",2020-08-08
"Story","Story","16274","1152","879","14","0.0707877596165663",2020-08-08
"Tama","Tama","3240","548","462","29","0.169135802469136",2020-08-08
"Taylor","Taylor","884","98","88","0","0.110859728506787",2020-08-08
"Union","Union","2149","76","39","1","0.0353652861796184",2020-08-08
"Van Buren","Van Buren","728","34","21","1","0.0467032967032967",2020-08-08
"Wapello","Wapello","5801","876","772","33","0.151008446819514",2020-08-08
"Warren","Warren","7958","551","345","1","0.0692385021362151",2020-08-08
"Washington","Washington","3123","294","271","10","0.0941402497598463",2020-08-08
"Wayne","Wayne","482","19","12","1","0.0394190871369295",2020-08-08
"Webster","Webster","6829","793","491","7","0.116122419095036",2020-08-08
"Winnebago","Winnebago","1565","79","50","0","0.0504792332268371",2020-08-08
"Winneshiek","Winneshiek","2302","95","60","1","0.0412684622067767",2020-08-08
"Woodbury","Woodbury","21507","3712","3325","51","0.172594969079834",2020-08-08
"Worth","Worth","1124","66","31","0","0.0587188612099644",2020-08-08
"Wright","Wright","3252","463","405","1","0.142373923739237",2020-08-08
"Total","Totals","514451","48112","36850","925",NA,2020-08-08
