"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3108,127,85,1,41,NA,NA,NA,NA
"2","2020-08-01",3164,130,88,1,41,3,56,0,0.0535714285714286
