"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1747","99","56","1","42","0.0566685746994848",2020-10-12
"Adams","Adams","743","55","30","0","25","0.0740242261103634",2020-10-12
"Allamakee","Allamakee","3126","296","219","8","69","0.0946896992962252",2020-10-12
"Appanoose","Appanoose","2894","183","134","3","46","0.0632342778161714",2020-10-12
"Audubon","Audubon","1321","116","44","1","71","0.0878122634367903",2020-10-12
"Benton","Benton","6067","414","256","1","157","0.0682380089006099",2020-10-12
"Black Hawk","Black Hawk","38008","4920","4112","96","712","0.129446432330036",2020-10-12
"Boone","Boone","6978","616","427","8","181","0.0882774433935225",2020-10-12
"Bremer","Bremer","5831","564","429","7","128","0.0967244040473332",2020-10-12
"Buchanan","Buchanan","4875","351","213","1","137","0.072",2020-10-12
"Buena Vista","Buena Vista","9878","2137","1891","12","234","0.216339339947358",2020-10-12
"Butler","Butler","3634","322","285","2","35","0.0886075949367089",2020-10-12
"Calhoun","Calhoun","2834","241","199","3","39","0.0850388143966126",2020-10-12
"Carroll","Carroll","6419","914","563","6","345","0.142389780339617",2020-10-12
"Cass","Cass","3165","235","191","2","42","0.0742496050552923",2020-10-12
"Cedar","Cedar","4335","303","207","3","93","0.0698961937716263",2020-10-12
"Cerro Gordo","Cerro Gordo","12340","1180","965","23","192","0.0956239870340357",2020-10-12
"Cherokee","Cherokee","3127","334","169","2","163","0.106811640550048",2020-10-12
"Chickasaw","Chickasaw","2803","309","285","1","23","0.110239029611131",2020-10-12
"Clarke","Clarke","2502","289","244","3","42","0.11550759392486",2020-10-12
"Clay","Clay","4231","435","261","4","170","0.102812573859608",2020-10-12
"Clayton","Clayton","3536","316","275","3","38","0.0893665158371041",2020-10-12
"Clinton","Clinton","10791","1276","986","25","265","0.118246687054027",2020-10-12
"Crawford","Crawford","5659","1226","916","11","299","0.216646050538964",2020-10-12
"Dallas","Dallas","27919","3112","2567","40","505","0.111465310362119",2020-10-12
"Davis","Davis","1453","145","107","4","34","0.0997935306262904",2020-10-12
"Decatur","Decatur","1704","102","55","0","47","0.0598591549295775",2020-10-12
"Delaware","Delaware","4319","576","458","6","112","0.133364204677009",2020-10-12
"Des Moines","Des Moines","10040","1012","686","9","317","0.100796812749004",2020-10-12
