"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1674","85","55","1","29","0.0507765830346475",2020-10-08
"Adams","Adams","706","49","30","0","19","0.0694050991501416",2020-10-08
"Allamakee","Allamakee","3044","281","209","8","64","0.0923127463863338",2020-10-08
"Appanoose","Appanoose","2796","165","132","3","30","0.0590128755364807",2020-10-08
"Audubon","Audubon","1295","111","41","1","69","0.0857142857142857",2020-10-08
"Benton","Benton","5846","378","237","1","140","0.0646595963051659",2020-10-08
"Black Hawk","Black Hawk","37054","4746","4050","95","601","0.128083337831273",2020-10-08
"Boone","Boone","6785","583","397","8","178","0.085924834193073",2020-10-08
"Bremer","Bremer","5671","534","413","7","114","0.0941632868982543",2020-10-08
"Buchanan","Buchanan","4749","329","207","1","121","0.06927774268267",2020-10-08
"Buena Vista","Buena Vista","9692","2102","1873","12","217","0.216879900949236",2020-10-08
"Butler","Butler","3541","304","267","2","35","0.0858514543914149",2020-10-08
"Calhoun","Calhoun","2787","233","189","3","41","0.0836024398995335",2020-10-08
"Carroll","Carroll","6179","823","523","5","295","0.133193073312834",2020-10-08
"Cass","Cass","2989","205","177","2","26","0.0685848109735698",2020-10-08
"Cedar","Cedar","4178","291","194","3","94","0.0696505505026328",2020-10-08
"Cerro Gordo","Cerro Gordo","12130","1158","919","23","216","0.0954657873042044",2020-10-08
"Cherokee","Cherokee","3056","318","156","2","160","0.104057591623037",2020-10-08
"Chickasaw","Chickasaw","2754","298","277","1","20","0.108206245461147",2020-10-08
"Clarke","Clarke","2441","278","241","3","34","0.113887750921753",2020-10-08
"Clay","Clay","4092","402","246","4","152","0.0982404692082111",2020-10-08
"Clayton","Clayton","3460","301","262","3","36","0.0869942196531792",2020-10-08
"Clinton","Clinton","10504","1235","957","23","255","0.117574257425743",2020-10-08
"Crawford","Crawford","5535","1184","876","7","301","0.213911472448058",2020-10-08
"Dallas","Dallas","27236","2992","2522","40","430","0.109854604200323",2020-10-08
"Davis","Davis","1410","138","101","4","33","0.0978723404255319",2020-10-08
"Decatur","Decatur","1674","90","53","0","37","0.0537634408602151",2020-10-08
"Delaware","Delaware","4192","538","444","4","90","0.128339694656489",2020-10-08
"Des Moines","Des Moines","9679","949","670","9","270","0.0980473189379068",2020-10-08
"Dickinson","Dickinson","5639","610","438","7","165","0.108175208370278",2020-10-08
"Dubuque","Dubuque","32022","3895","2376","47","1472","0.121635125850977",2020-10-08
"Emmet","Emmet","2356","315","224","11","80","0.133701188455009",2020-10-08
"Fayette","Fayette","4431","267","166","2","99","0.0602572782667569",2020-10-08
"Floyd","Floyd","4103","388","332","8","48","0.0945649524737997",2020-10-08
"Franklin","Franklin","2681","359","323","18","18","0.13390525923163",2020-10-08
"Fremont","Fremont","1388","157","66","0","91","0.113112391930836",2020-10-08
"Greene","Greene","2265","144","72","0","72","0.0635761589403974",2020-10-08
"Grundy","Grundy","2957","249","162","4","83","0.0842069665201217",2020-10-08
"Guthrie","Guthrie","2902","312","188","12","112","0.107512060647829",2020-10-08
"Hamilton","Hamilton","3882","363","322","3","38","0.0935085007727975",2020-10-08
"Hancock","Hancock","2758","231","201","3","27","0.083756345177665",2020-10-08
"Hardin","Hardin","4076","332","255","2","75","0.0814524043179588",2020-10-08
"Harrison","Harrison","3113","366","186","5","175","0.117571474461934",2020-10-08
"Henry","Henry","5560","869","457","5","407","0.156294964028777",2020-10-08
"Howard","Howard","2207","203","166","7","30","0.0919800634345265",2020-10-08
"Humboldt","Humboldt","2463","225","193","3","29","0.0913520097442144",2020-10-08
"Ida","Ida","1630","155","61","2","92","0.0950920245398773",2020-10-08
"Iowa","Iowa","4270","285","153","1","131","0.0667447306791569",2020-10-08
"Jackson","Jackson","4264","422","255","3","164","0.098968105065666",2020-10-08
"Jasper","Jasper","8611","940","643","34","263","0.109162698873534",2020-10-08
"Jefferson","Jefferson","3062","162","125","1","36","0.0529065969954278",2020-10-08
"Johnson","Johnson","41913","5362","4705","28","629","0.127931667978909",2020-10-08
"Jones","Jones","4221","330","208","3","119","0.07818052594172",2020-10-08
"Keokuk","Keokuk","1852","126","80","1","45","0.0680345572354212",2020-10-08
"Kossuth","Kossuth","3828","347","167","0","180","0.0906478578892372",2020-10-08
"Lee","Lee","7267","742","540","8","194","0.102105408008807",2020-10-08
"Linn","Linn","54744","4524","3417","117","990","0.082639193336256",2020-10-08
"Louisa","Louisa","2775","454","391","15","48","0.163603603603604",2020-10-08
"Lucas","Lucas","1741","163","113","6","44","0.0936243538196439",2020-10-08
"Lyon","Lyon","2205","457","195","5","257","0.207256235827664",2020-10-08
"Madison","Madison","3758","278","191","2","85","0.0739755188930282",2020-10-08
"Mahaska","Mahaska","5294","471","339","21","111","0.0889686437476388",2020-10-08
"Marion","Marion","7396","831","761","9","61","0.112358031368307",2020-10-08
"Marshall","Marshall","11799","1845","1705","36","104","0.156369183829138",2020-10-08
"Mills","Mills","4009","247","145","1","101","0.0616113744075829",2020-10-08
"Mitchell","Mitchell","2953","204","161","0","43","0.0690822891974263",2020-10-08
"Monona","Monona","2021","184","116","1","67","0.091044037605146",2020-10-08
"Monroe","Monroe","1468","173","120","11","42","0.117847411444142",2020-10-08
"Montgomery","Montgomery","2059","118","96","5","17","0.0573093734822729",2020-10-08
"Muscatine","Muscatine","10302","1190","978","56","156","0.115511551155116",2020-10-08
"O'Brien","O'Brien","3297","480","241","9","230","0.145586897179254",2020-10-08
"Osceola","Osceola","1171","195","106","0","89","0.166524338172502",2020-10-08
"Page","Page","3046","260","201","0","59","0.0853578463558766",2020-10-08
"Palo Alto","Palo Alto","2344","247","142","0","105","0.10537542662116",2020-10-08
"Pending Investigation","Pending Investigation","4076","19","0","0","19","0.00466143277723258",2020-10-08
"Plymouth","Plymouth","7220","1325","885","23","417","0.183518005540166",2020-10-08
"Pocahontas","Pocahontas","1886","188","145","2","41","0.0996818663838812",2020-10-08
"Polk","Polk","139331","16728","14284","271","2173","0.120059426832507",2020-10-08
"Pottawattamie","Pottawattamie","23013","2471","1886","42","543","0.107374092904011",2020-10-08
"Poweshiek","Poweshiek","4078","365","249","10","106","0.0895046591466405",2020-10-08
"Ringgold","Ringgold","1244","61","51","2","8","0.0490353697749196",2020-10-08
"Sac","Sac","2909","312","137","1","174","0.10725335166724",2020-10-08
"Scott","Scott","40124","3426","2478","29","919","0.0853853055527864",2020-10-08
"Shelby","Shelby","2574","293","267","1","25","0.113830613830614",2020-10-08
"Sioux","Sioux","8497","1980","1060","6","914","0.233023420030599",2020-10-08
"Story","Story","31137","3637","3062","17","558","0.116806371840576",2020-10-08
"Tama","Tama","4731","821","692","34","95","0.173536250264215",2020-10-08
"Taylor","Taylor","1340","169","120","1","48","0.126119402985075",2020-10-08
"Union","Union","3323","160","109","3","48","0.0481492627144147",2020-10-08
"Van Buren","Van Buren","1271","133","114","1","18","0.104642014162077",2020-10-08
"Wapello","Wapello","8719","1401","1282","58","61","0.160683564628971",2020-10-08
"Warren","Warren","13433","1013","887","6","120","0.0754113005285491",2020-10-08
"Washington","Washington","5578","543","391","11","141","0.097346719254213",2020-10-08
"Wayne","Wayne","1179","97","84","3","10","0.082273112807464",2020-10-08
"Webster","Webster","12982","1518","1190","14","314","0.116931135418271",2020-10-08
"Winnebago","Winnebago","3180","351","219","14","118","0.110377358490566",2020-10-08
"Winneshiek","Winneshiek","4587","363","284","8","71","0.079136690647482",2020-10-08
"Woodbury","Woodbury","33709","6146","4451","74","1621","0.182325195051767",2020-10-08
"Worth","Worth","1796","118","95","0","23","0.0657015590200445",2020-10-08
"Wright","Wright","4735","635","544","1","90","0.134107708553326",2020-10-08
"Total","Totals","841904","95850","74166","1419","20265","0.113849084931299",2020-10-08
