"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","909","21","17","0","0.0231023102310231",2020-08-04
"Adams","Adams","408","16","10","0","0.0392156862745098",2020-08-04
"Allamakee","Allamakee","1997","151","133","4","0.0756134201301953",2020-08-04
"Appanoose","Appanoose","1385","43","34","3","0.0310469314079422",2020-08-04
"Audubon","Audubon","701","28","15","1","0.0399429386590585",2020-08-04
"Benton","Benton","3267","143","91","1","0.0437710437710438",2020-08-04
"Black Hawk","Black Hawk","23697","3007","2326","62","0.126893699624425",2020-08-04
"Boone","Boone","3846","228","160","2","0.0592823712948518",2020-08-04
"Bremer","Bremer","3362","189","93","7","0.0562165377751338",2020-08-04
"Buchanan","Buchanan","2790","111","59","1","0.0397849462365591",2020-08-04
"Buena Vista","Buena Vista","7807","1786","1719","12","0.228769053413603",2020-08-04
"Butler","Butler","2165","114","96","2","0.0526558891454965",2020-08-04
"Calhoun","Calhoun","1526","82","71","2","0.053735255570118",2020-08-04
"Carroll","Carroll","3232","181","145","1","0.0560024752475248",2020-08-04
"Cass","Cass","1392","48","35","1","0.0344827586206897",2020-08-04
"Cedar","Cedar","2354","120","85","1","0.0509770603228547",2020-08-04
"Cerro Gordo","Cerro Gordo","7777","577","242","17","0.0741931335990742",2020-08-04
"Cherokee","Cherokee","1637","97","86","1","0.0592547342700061",2020-08-04
"Chickasaw","Chickasaw","1573","52","46","0","0.0330578512396694",2020-08-04
"Clarke","Clarke","1465","187","135","3","0.127645051194539",2020-08-04
"Clay","Clay","2485","171","140","1","0.0688128772635815",2020-08-04
"Clayton","Clayton","2139","99","74","3","0.0462833099579243",2020-08-04
"Clinton","Clinton","5515","319","122","3","0.057842248413418",2020-08-04
"Crawford","Crawford","3563","720","674","3","0.202076901487511",2020-08-04
"Dallas","Dallas","16381","1789","1298","35","0.109211891825896",2020-08-04
"Davis","Davis","782","48","41","1","0.061381074168798",2020-08-04
"Decatur","Decatur","593","22","12","0","0.0370994940978078",2020-08-04
"Delaware","Delaware","2094","90","77","1","0.0429799426934097",2020-08-04
"Des Moines","Des Moines","4193","139","91","2","0.0331504889100882",2020-08-04
"Dickinson","Dickinson","3751","375","278","4","0.0999733404425487",2020-08-04
"Dubuque","Dubuque","19741","1538","775","29","0.0779089205207436",2020-08-04
"Emmet","Emmet","1484","180","106","1","0.121293800539084",2020-08-04
"Fayette","Fayette","2573","81","55","0","0.0314807617567042",2020-08-04
"Floyd","Floyd","2502","129","90","2","0.0515587529976019",2020-08-04
"Franklin","Franklin","1707","220","147","5","0.12888107791447",2020-08-04
"Fremont","Fremont","659","35","10","0","0.0531107738998483",2020-08-04
"Greene","Greene","1199","38","32","0","0.0316930775646372",2020-08-04
"Grundy","Grundy","1786","74","42","1","0.0414333706606943",2020-08-04
"Guthrie","Guthrie","1698","127","82","5","0.074793875147232",2020-08-04
"Hamilton","Hamilton","2535","241","221","1","0.095069033530572",2020-08-04
"Hancock","Hancock","1752","117","92","2","0.0667808219178082",2020-08-04
"Hardin","Hardin","2506","165","86","0","0.0658419792498005",2020-08-04
