"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Adair","Adair","931","23","17","0","0.0247046186895811",2020-08-06
"Adams","Adams","415","16","10","0","0.0385542168674699",2020-08-06
"Allamakee","Allamakee","2029","153","137","4","0.0754066042385411",2020-08-06
"Appanoose","Appanoose","1412","44","36","3","0.0311614730878187",2020-08-06
"Audubon","Audubon","708","28","15","1","0.0395480225988701",2020-08-06
"Benton","Benton","3345","146","100","1","0.0436472346786248",2020-08-06
"Black Hawk","Black Hawk","24155","3060","2419","63","0.126681846408611",2020-08-06
"Boone","Boone","3905","236","168","2","0.0604353393085787",2020-08-06
"Bremer","Bremer","3434","199","106","7","0.0579499126383227",2020-08-06
"Buchanan","Buchanan","2861","121","62","1","0.0422929045788186",2020-08-06
"Buena Vista","Buena Vista","7845","1790","1729","12","0.22817080943276",2020-08-06
"Butler","Butler","2214","118","101","2","0.0532971996386631",2020-08-06
"Calhoun","Calhoun","1546","82","72","2","0.0530401034928849",2020-08-06
"Carroll","Carroll","3300","183","163","1","0.0554545454545455",2020-08-06
"Cass","Cass","1483","49","36","1","0.0330411328388402",2020-08-06
"Cedar","Cedar","2411","124","92","1","0.0514309415180423",2020-08-06
"Cerro Gordo","Cerro Gordo","7868","588","294","17","0.0747330960854092",2020-08-06
"Cherokee","Cherokee","1667","100","88","1","0.0599880023995201",2020-08-06
"Chickasaw","Chickasaw","1617","52","47","0","0.0321583178726036",2020-08-06
"Clarke","Clarke","1488","191","136","3","0.128360215053763",2020-08-06
"Clay","Clay","2514","175","148","1","0.0696101829753381",2020-08-06
"Clayton","Clayton","2184","101","78","3","0.0462454212454212",2020-08-06
"Clinton","Clinton","5718","346","132","3","0.0605106680657573",2020-08-06
"Crawford","Crawford","3613","726","679","3","0.200941046221976",2020-08-06
"Dallas","Dallas","16802","1818","1361","35","0.108201404594691",2020-08-06
"Davis","Davis","792","51","41","1","0.0643939393939394",2020-08-06
"Decatur","Decatur","605","23","15","0","0.0380165289256198",2020-08-06
"Delaware","Delaware","2283","95","80","1","0.0416119141480508",2020-08-06
"Des Moines","Des Moines","4294","148","97","2","0.0344666977177457",2020-08-06
"Dickinson","Dickinson","3824","378","289","4","0.0988493723849372",2020-08-06
"Dubuque","Dubuque","20165","1598","879","31","0.07924621869576",2020-08-06
"Emmet","Emmet","1506","185","115","2","0.122841965471448",2020-08-06
"Fayette","Fayette","2619","81","59","0","0.0309278350515464",2020-08-06
"Floyd","Floyd","2558","132","91","2","0.0516028146989836",2020-08-06
"Franklin","Franklin","1736","227","158","8","0.130760368663594",2020-08-06
"Fremont","Fremont","674","34","12","0","0.0504451038575668",2020-08-06
"Greene","Greene","1223","38","33","0","0.0310711365494685",2020-08-06
"Grundy","Grundy","1805","76","47","1","0.0421052631578947",2020-08-06
"Guthrie","Guthrie","1721","128","92","5","0.0743753631609529",2020-08-06
"Hamilton","Hamilton","2563","243","221","1","0.0948107686305111",2020-08-06
"Hancock","Hancock","1775","117","96","2","0.0659154929577465",2020-08-06
"Hardin","Hardin","2552","171","92","0","0.0670062695924765",2020-08-06
"Harrison","Harrison","1563","99","74","0","0.0633397312859885",2020-08-06
"Henry","Henry","2623","115","88","3","0.043842927945101",2020-08-06
"Howard","Howard","1255","49","37","0","0.0390438247011952",2020-08-06
"Humboldt","Humboldt","1270","98","75","1","0.0771653543307087",2020-08-06
"Ida","Ida","883","29","23","0","0.0328425821064553",2020-08-06
"Iowa","Iowa","2625","94","62","1","0.0358095238095238",2020-08-06
"Jackson","Jackson","2623","148","55","1","0.0564239420510865",2020-08-06
"Jasper","Jasper","4713","458","354","26","0.0971780182474008",2020-08-06
"Jefferson","Jefferson","1854","77","64","0","0.0415318230852211",2020-08-06
"Johnson","Johnson","24491","2009","1466","16","0.0820301335184353",2020-08-06
"Jones","Jones","2531","126","75","2","0.0497826945871197",2020-08-06
"Keokuk","Keokuk","1060","31","21","1","0.0292452830188679",2020-08-06
"Kossuth","Kossuth","1983","82","44","0","0.0413514876449824",2020-08-06
"Lee","Lee","2933","102","52","3","0.0347766791680873",2020-08-06
"Linn","Linn","33165","2213","1743","87","0.0667269712045831",2020-08-06
"Louisa","Louisa","1819","379","351","14","0.208356239692139",2020-08-06
"Lucas","Lucas","802","54","31","4","0.0673316708229426",2020-08-06
"Lyon","Lyon","1047","108","92","1","0.103151862464183",2020-08-06
"Madison","Madison","2206","109","56","2","0.0494106980961015",2020-08-06
"Mahaska","Mahaska","2047","137","109","17","0.0669272105520274",2020-08-06
"Marion","Marion","3336","161","131","0","0.0482613908872902",2020-08-06
"Marshall","Marshall","8260","1413","1075","25","0.171065375302663",2020-08-06
"Mills","Mills","2694","85","47","0","0.0315515961395694",2020-08-06
"Mitchell","Mitchell","1862","78","67","0","0.041890440386681",2020-08-06
