"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-14,"Adair",3075,675,528,20,16,4,127,0.219512195121951
"Adams",2021-01-14,"Adams",1340,291,225,3,3,0,63,0.217164179104478
"Allamakee",2021-01-14,"Allamakee",5099,1255,1053,26,22,4,176,0.246126691508139
"Appanoose",2021-01-14,"Appanoose",5057,1084,891,38,38,0,155,0.214356337749654
"Audubon",2021-01-14,"Audubon",2156,411,347,8,8,0,56,0.190630797773655
"Benton",2021-01-14,"Benton",10668,2074,1888,42,38,4,144,0.194413198350206
"Black Hawk",2021-01-14,"Black Hawk",59329,13490,12020,228,215,13,1242,0.227376156685601
"Boone",2021-01-14,"Boone",11532,2136,1696,16,14,2,424,0.18522372528616
"Bremer",2021-01-14,"Bremer",9865,2385,2165,48,44,4,172,0.241763811454638
"Buchanan",2021-01-14,"Buchanan",7941,1561,1351,20,19,1,190,0.196574738697897
"Buena Vista",2021-01-14,"Buena Vista",13215,3879,3495,29,26,3,355,0.293530079455165
"Butler",2021-01-14,"Butler",5885,1442,1168,23,20,3,251,0.245029736618522
"Calhoun",2021-01-14,"Calhoun",4676,1215,1145,9,9,0,61,0.2598374679213
"Carroll",2021-01-14,"Carroll",9926,2515,2219,33,27,6,263,0.253374974813621
"Cass",2021-01-14,"Cass",5340,1115,939,41,39,2,135,0.208801498127341
"Cedar",2021-01-14,"Cedar",7616,1484,1275,19,18,1,190,0.194852941176471
"Cerro Gordo",2021-01-14,"Cerro Gordo",20585,4584,4079,65,54,11,440,0.222686422152052
"Cherokee",2021-01-14,"Cherokee",5191,1367,1121,25,23,2,221,0.263340396840686
"Chickasaw",2021-01-14,"Chickasaw",4536,1100,983,11,10,1,106,0.242504409171076
"Clarke",2021-01-14,"Clarke",3985,768,571,7,7,0,190,0.192722710163112
"Clay",2021-01-14,"Clay",7130,1649,1460,19,15,4,170,0.231276297335203
"Clayton",2021-01-14,"Clayton",5928,1498,1284,48,41,7,166,0.252699055330634
"Clinton",2021-01-14,"Clinton",18587,4425,3862,61,55,6,502,0.2380696185506
"Crawford",2021-01-14,"Crawford",7648,2268,1976,22,19,3,270,0.296548117154812
"Dallas",2021-01-14,"Dallas",45337,8682,7338,69,58,11,1275,0.191499216975098
"Davis",2021-01-14,"Davis",2710,682,590,21,20,1,71,0.251660516605166
"Decatur",2021-01-14,"Decatur",2891,472,388,4,4,0,80,0.163265306122449
"Delaware",2021-01-14,"Delaware",6782,1708,1547,35,31,4,126,0.251843114125627
"Des Moines",2021-01-14,"Des Moines",17960,3760,3323,40,36,4,397,0.209354120267261
"Dickinson",2021-01-14,"Dickinson",8963,1830,1627,22,20,2,181,0.204172710030124
"Dubuque",2021-01-14,"Dubuque",49425,11209,10081,146,137,9,982,0.226788062721295
"Emmet",2021-01-14,"Emmet",4345,1096,906,31,30,1,159,0.252243958573073
