"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-08,"Adair",3013,646,498,17,13,4,131,0.214404248257551
"Adams",2021-01-08,"Adams",1313,281,210,3,3,0,68,0.214013709063214
"Allamakee",2021-01-08,"Allamakee",5019,1228,988,26,22,4,214,0.244670253038454
"Appanoose",2021-01-08,"Appanoose",4935,1029,868,36,36,0,125,0.208510638297872
"Audubon",2021-01-08,"Audubon",2108,395,323,8,8,0,64,0.187381404174573
"Benton",2021-01-08,"Benton",10512,2041,1849,40,36,4,152,0.194159056316591
"Black Hawk",2021-01-08,"Black Hawk",58405,13172,11719,222,209,13,1231,0.225528636246897
"Boone",2021-01-08,"Boone",11193,2054,1627,15,13,2,412,0.183507549361208
"Bremer",2021-01-08,"Bremer",9684,2330,2127,46,43,3,157,0.240603056588187
"Buchanan",2021-01-08,"Buchanan",7807,1512,1313,17,16,1,182,0.193672345331113
"Buena Vista",2021-01-08,"Buena Vista",13048,3827,3343,27,24,3,457,0.293301655426119
"Butler",2021-01-08,"Butler",5779,1377,1146,23,20,3,208,0.238276518428794
"Calhoun",2021-01-08,"Calhoun",4633,1202,1124,9,9,0,69,0.259443125404705
"Carroll",2021-01-08,"Carroll",9770,2465,2141,31,25,6,293,0.252302968270215
"Cass",2021-01-08,"Cass",5268,1090,883,40,38,2,167,0.206909643128322
"Cedar",2021-01-08,"Cedar",7477,1441,1226,19,18,1,196,0.192724354687709
"Cerro Gordo",2021-01-08,"Cerro Gordo",20240,4480,3958,63,52,11,459,0.221343873517787
"Cherokee",2021-01-08,"Cherokee",5052,1316,1075,25,23,2,216,0.26049089469517
"Chickasaw",2021-01-08,"Chickasaw",4453,1076,960,11,10,1,105,0.241634852908152
"Clarke",2021-01-08,"Clarke",3890,734,543,7,7,0,184,0.188688946015424
"Clay",2021-01-08,"Clay",7017,1609,1386,17,13,4,206,0.229300270770985
"Clayton",2021-01-08,"Clayton",5811,1462,1241,47,40,7,174,0.251591808638788
"Clinton",2021-01-08,"Clinton",18253,4316,3714,60,54,6,542,0.236454281487975
