"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",4489,448,328,24,96,NA,NA,NA,NA
"2","2020-08-01",4527,450,334,24,92,2,38,0,0.0526315789473684
