"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-18,"Adair",12795,993,839,32,22,10,3836,873,2,2021-06-18
"Adams",2021-06-18,"Adams",6203,356,339,4,4,0,1693,344,1,2021-06-18
"Allamakee",2021-06-18,"Allamakee",22774,1583,1467,52,42,10,6597,1527,8,2021-06-18
"Appanoose",2021-06-18,"Appanoose",19231,1469,1236,49,44,5,6452,1290,5,2021-06-18
"Audubon",2021-06-18,"Audubon",13693,553,505,11,10,1,2880,535,19,2021-06-18
"Benton",2021-06-18,"Benton",40070,2765,2514,55,44,11,13689,2595,26,2021-06-18
"Black Hawk",2021-06-18,"Black Hawk",227815,17619,15570,312,288,24,74814,16114,232,2021-06-18
"Boone",2021-06-18,"Boone",46700,2877,2641,34,31,3,14783,2684,9,2021-06-18
"Bremer",2021-06-18,"Bremer",42222,3023,2799,61,51,10,13056,2881,21,2021-06-18
"Buchanan",2021-06-18,"Buchanan",33638,2048,1884,33,27,6,10100,1936,19,2021-06-18
"Buena Vista",2021-06-18,"Buena Vista",47135,4971,4217,40,36,4,15495,4269,12,2021-06-18
"Butler",2021-06-18,"Butler",31158,1753,1615,35,31,4,7489,1662,12,2021-06-18
"Calhoun",2021-06-18,"Calhoun",19719,1444,1375,13,12,1,5617,1389,1,2021-06-18
"Carroll",2021-06-18,"Carroll",39020,3088,2818,52,43,9,11960,2870,0,2021-06-18
"Cass",2021-06-18,"Cass",21794,1477,1341,55,49,6,6728,1392,-4,2021-06-18
"Cedar",2021-06-18,"Cedar",33654,2015,1883,23,21,2,9774,1922,16,2021-06-18
"Cerro Gordo",2021-06-18,"Cerro Gordo",83458,5983,5369,93,78,15,26899,5536,74,2021-06-18
"Cherokee",2021-06-18,"Cherokee",22245,1696,1551,38,30,8,6307,1593,4,2021-06-18
"Chickasaw",2021-06-18,"Chickasaw",18747,1317,1232,17,14,3,5823,1247,-2,2021-06-18
"Clarke",2021-06-18,"Clarke",14355,1072,980,24,22,2,5226,1009,5,2021-06-18
"Clay",2021-06-18,"Clay",32741,2278,2133,27,22,5,8952,2166,6,2021-06-18
"Clayton",2021-06-18,"Clayton",27164,1802,1655,57,48,9,7679,1710,-2,2021-06-18
"Clinton",2021-06-18,"Clinton",69303,6093,5499,93,79,14,24941,5614,22,2021-06-18
"Crawford",2021-06-18,"Crawford",29877,2929,2643,40,35,5,9267,2683,0,2021-06-18
"Dallas",2021-06-18,"Dallas",136325,12634,11127,99,85,14,57907,11287,61,2021-06-18
"Davis",2021-06-18,"Davis",12001,927,814,25,23,2,3764,852,13,2021-06-18
"Decatur",2021-06-18,"Decatur",10988,632,607,9,9,0,3776,616,0,2021-06-18
"Delaware",2021-06-18,"Delaware",31187,2159,2059,43,38,5,8585,2109,7,2021-06-18
"Des Moines",2021-06-18,"Des Moines",61337,5043,4565,71,59,12,22731,4671,35,2021-06-18
"Dickinson",2021-06-18,"Dickinson",29092,2688,2444,44,38,6,11059,2494,6,2021-06-18
"Dubuque",2021-06-18,"Dubuque",205084,14824,13202,211,195,16,60689,13507,94,2021-06-18
"Emmet",2021-06-18,"Emmet",18124,1438,1299,41,39,2,5515,1358,18,2021-06-18
"Fayette",2021-06-18,"Fayette",38415,1949,1815,43,38,5,9883,1865,7,2021-06-18
"Floyd",2021-06-18,"Floyd",27466,1812,1577,42,32,10,8286,1633,14,2021-06-18
"Franklin",2021-06-18,"Franklin",21626,1342,1191,23,21,2,5845,1233,19,2021-06-18
"Fremont",2021-06-18,"Fremont",8027,661,620,9,7,2,2842,626,-3,2021-06-18
"Greene",2021-06-18,"Greene",15747,830,767,11,10,1,4381,780,2,2021-06-18
"Grundy",2021-06-18,"Grundy",20276,1453,1337,33,27,6,6112,1373,3,2021-06-18
"Guthrie",2021-06-18,"Guthrie",20014,1316,1197,32,26,6,6139,1232,3,2021-06-18
"Hamilton",2021-06-18,"Hamilton",24604,2010,1760,51,46,5,8052,1818,7,2021-06-18
"Hancock",2021-06-18,"Hancock",23270,1602,1459,34,27,7,6521,1502,9,2021-06-18
"Hardin",2021-06-18,"Hardin",37680,2005,1825,44,34,10,9084,1874,5,2021-06-18
"Harrison",2021-06-18,"Harrison",22444,1934,1725,73,69,4,6790,1799,1,2021-06-18
"Henry",2021-06-18,"Henry",38818,3094,2897,37,36,1,11699,2945,11,2021-06-18
"Howard",2021-06-18,"Howard",17826,1099,1022,22,18,4,4879,1049,5,2021-06-18
"Humboldt",2021-06-18,"Humboldt",16197,1246,1169,26,23,3,4967,1196,1,2021-06-18
"Ida",2021-06-18,"Ida",13205,1029,869,35,32,3,3544,915,11,2021-06-18
"Iowa",2021-06-18,"Iowa",31493,1561,1472,24,22,2,8672,1498,2,2021-06-18
"Jackson",2021-06-18,"Jackson",27871,2386,2194,42,39,3,9825,2252,16,2021-06-18
"Jasper",2021-06-18,"Jasper",55358,4561,4129,72,67,5,19586,4209,8,2021-06-18
"Jefferson",2021-06-18,"Jefferson",22476,1456,1301,35,29,6,8383,1335,-1,2021-06-18
"Johnson",2021-06-18,"Johnson",226333,15490,14445,85,77,8,86646,14617,87,2021-06-18
"Jones",2021-06-18,"Jones",28478,3140,2940,57,51,6,10723,3009,12,2021-06-18
"Keokuk",2021-06-18,"Keokuk",16593,1034,931,32,31,1,4541,965,2,2021-06-18
"Kossuth",2021-06-18,"Kossuth",27911,2282,2102,66,57,9,8414,2161,-7,2021-06-18
"Lee",2021-06-18,"Lee",58097,4070,3732,56,43,13,17009,3823,35,2021-06-18
"Linn",2021-06-18,"Linn",313673,22620,20647,339,303,36,126188,21206,220,2021-06-18
"Louisa",2021-06-18,"Louisa",18652,1368,1242,49,42,7,5772,1297,6,2021-06-18
"Lucas",2021-06-18,"Lucas",10131,807,755,23,18,5,4132,779,1,2021-06-18
"Lyon",2021-06-18,"Lyon",17495,1597,1547,41,37,4,5021,1588,0,2021-06-18
"Madison",2021-06-18,"Madison",22478,1788,1619,19,15,4,8394,1645,7,2021-06-18
"Mahaska",2021-06-18,"Mahaska",33476,2434,2256,51,46,5,11195,2324,17,2021-06-18
"Marion",2021-06-18,"Marion",45273,3864,3580,76,65,11,17217,3660,4,2021-06-18
"Marshall",2021-06-18,"Marshall",86804,5238,4777,76,68,8,22860,4865,12,2021-06-18
"Mills",2021-06-18,"Mills",22317,1808,1609,24,21,3,7996,1637,4,2021-06-18
"Mitchell",2021-06-18,"Mitchell",19189,1376,1232,43,40,3,5746,1266,-9,2021-06-18
"Monona",2021-06-18,"Monona",18910,889,801,31,29,2,3978,829,-3,2021-06-18
"Monroe",2021-06-18,"Monroe",10387,1009,926,30,22,8,3767,963,7,2021-06-18
