"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-03,"Adair",11777,958,787,32,22,10,3571,837,18,2021-04-03
"Adams",2021-04-03,"Adams",5188,330,316,4,4,0,1564,321,1,2021-04-03
"Allamakee",2021-04-03,"Allamakee",20093,1537,1405,49,39,10,6125,1485,31,2021-04-03
"Appanoose",2021-04-03,"Appanoose",16826,1425,1187,47,43,4,5926,1255,21,2021-04-03
"Audubon",2021-04-03,"Audubon",11315,507,463,9,8,1,2590,488,16,2021-04-03
"Benton",2021-04-03,"Benton",35134,2636,2361,54,44,10,12620,2479,64,2021-04-03
"Black Hawk",2021-04-03,"Black Hawk",202016,16724,14683,302,280,22,69357,15310,325,2021-04-03
"Boone",2021-04-03,"Boone",41801,2711,2422,31,29,2,13648,2524,71,2021-04-03
"Bremer",2021-04-03,"Bremer",36832,2900,2647,58,49,9,12156,2766,61,2021-04-03
"Buchanan",2021-04-03,"Buchanan",28932,1947,1746,31,26,5,9358,1851,74,2021-04-03
"Buena Vista",2021-04-03,"Buena Vista",42788,4829,4093,39,35,4,14624,4190,58,2021-04-03
"Butler",2021-04-03,"Butler",28034,1702,1556,33,29,4,6956,1612,23,2021-04-03
"Calhoun",2021-04-03,"Calhoun",17423,1375,1286,11,11,0,5250,1326,29,2021-04-03
"Carroll",2021-04-03,"Carroll",34237,2942,2624,49,42,7,11223,2739,66,2021-04-03
"Cass",2021-04-03,"Cass",19735,1406,1244,54,48,6,6271,1331,33,2021-04-03
"Cedar",2021-04-03,"Cedar",28817,1885,1707,23,21,2,9041,1802,72,2021-04-03
"Cerro Gordo",2021-04-03,"Cerro Gordo",72055,5500,4926,85,71,14,24520,5121,110,2021-04-03
"Cherokee",2021-04-03,"Cherokee",19802,1650,1422,37,29,8,5962,1547,88,2021-04-03
"Chickasaw",2021-04-03,"Chickasaw",16504,1279,1191,15,13,2,5375,1212,6,2021-04-03
"Clarke",2021-04-03,"Clarke",12640,1037,930,23,22,1,4822,977,24,2021-04-03
"Clay",2021-04-03,"Clay",28009,2145,1822,25,20,5,8270,2034,187,2021-04-03
"Clayton",2021-04-03,"Clayton",23413,1714,1556,55,46,9,6969,1629,18,2021-04-03
"Clinton",2021-04-03,"Clinton",58593,5694,4953,87,76,11,22318,5224,184,2021-04-03
"Crawford",2021-04-03,"Crawford",26123,2834,2510,37,32,5,8717,2598,51,2021-04-03
"Dallas",2021-04-03,"Dallas",120417,11990,10153,95,83,12,53451,10707,459,2021-04-03
"Davis",2021-04-03,"Davis",10403,859,742,24,23,1,3403,787,21,2021-04-03
"Decatur",2021-04-03,"Decatur",9967,597,570,9,9,0,3510,583,4,2021-04-03
"Delaware",2021-04-03,"Delaware",25905,2008,1821,39,35,4,7918,1964,104,2021-04-03
"Des Moines",2021-04-03,"Des Moines",52894,4696,4237,64,53,11,20908,4362,61,2021-04-03
"Dickinson",2021-04-03,"Dickinson",24800,2488,2005,41,35,6,10249,2298,252,2021-04-03
"Dubuque",2021-04-03,"Dubuque",177240,14019,12244,201,187,14,56294,12784,339,2021-04-03
"Emmet",2021-04-03,"Emmet",15859,1317,1111,40,38,2,4987,1241,90,2021-04-03
"Fayette",2021-04-03,"Fayette",33391,1898,1758,39,34,5,9173,1821,24,2021-04-03
"Floyd",2021-04-03,"Floyd",24002,1693,1442,41,31,10,7611,1527,44,2021-04-03
"Franklin",2021-04-03,"Franklin",18600,1215,1072,21,19,2,5214,1116,23,2021-04-03
"Fremont",2021-04-03,"Fremont",6893,621,548,10,8,2,2611,590,32,2021-04-03
"Greene",2021-04-03,"Greene",14092,804,722,10,10,0,4064,756,24,2021-04-03
"Grundy",2021-04-03,"Grundy",18365,1418,1294,31,26,5,5704,1341,16,2021-04-03
"Guthrie",2021-04-03,"Guthrie",17251,1240,1080,28,23,5,5585,1160,52,2021-04-03
"Hamilton",2021-04-03,"Hamilton",22320,1951,1698,46,43,3,7451,1763,19,2021-04-03
"Hancock",2021-04-03,"Hancock",19919,1505,1348,33,27,6,5909,1410,29,2021-04-03
"Hardin",2021-04-03,"Hardin",32494,1887,1666,40,33,7,8302,1764,58,2021-04-03
"Harrison",2021-04-03,"Harrison",20111,1851,1605,71,67,4,6348,1711,35,2021-04-03
"Henry",2021-04-03,"Henry",34282,2985,2764,37,36,1,10845,2840,39,2021-04-03
"Howard",2021-04-03,"Howard",15979,1064,976,22,18,4,4559,1022,24,2021-04-03
"Humboldt",2021-04-03,"Humboldt",14698,1224,1113,26,23,3,4704,1176,37,2021-04-03
"Ida",2021-04-03,"Ida",11756,988,782,32,30,2,3306,878,64,2021-04-03
"Iowa",2021-04-03,"Iowa",27966,1502,1384,23,21,2,8012,1439,32,2021-04-03
"Jackson",2021-04-03,"Jackson",24147,2278,2066,42,39,3,9010,2152,44,2021-04-03
"Jasper",2021-04-03,"Jasper",48609,4370,3835,69,64,5,18028,4037,133,2021-04-03
"Jefferson",2021-04-03,"Jefferson",19337,1414,1262,35,29,6,7594,1302,5,2021-04-03
"Johnson",2021-04-03,"Johnson",197102,14435,13082,79,74,5,78625,13595,434,2021-04-03
"Jones",2021-04-03,"Jones",24350,3018,2797,55,51,4,9812,2900,48,2021-04-03
"Keokuk",2021-04-03,"Keokuk",14773,1003,899,30,30,0,4169,936,7,2021-04-03
"Kossuth",2021-04-03,"Kossuth",24521,2202,1935,58,51,7,7827,2079,86,2021-04-03
"Lee",2021-04-03,"Lee",51146,3882,3577,55,42,13,15713,3642,10,2021-04-03
"Linn",2021-04-03,"Linn",271827,21241,19169,325,291,34,115379,19937,443,2021-04-03
"Louisa",2021-04-03,"Louisa",16318,1316,1184,48,41,7,5347,1250,18,2021-04-03
"Lucas",2021-04-03,"Lucas",8804,777,701,22,18,4,3754,746,23,2021-04-03
"Lyon",2021-04-03,"Lyon",14664,1519,1419,41,37,4,4533,1510,50,2021-04-03
"Madison",2021-04-03,"Madison",19303,1643,1441,19,15,4,7622,1506,46,2021-04-03
"Mahaska",2021-04-03,"Mahaska",28992,2305,2102,49,44,5,10301,2201,50,2021-04-03
"Marion",2021-04-03,"Marion",39597,3718,3361,75,64,11,15843,3511,75,2021-04-03
"Marshall",2021-04-03,"Marshall",77745,5098,4586,74,66,8,21144,4742,82,2021-04-03
"Mills",2021-04-03,"Mills",20368,1717,1471,20,17,3,7586,1554,63,2021-04-03
"Mitchell",2021-04-03,"Mitchell",16865,1359,1179,41,38,3,5426,1248,28,2021-04-03
"Monona",2021-04-03,"Monona",17235,855,741,30,28,2,3718,796,25,2021-04-03
