"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-10,"Adair",3028,655,502,18,14,4,135,0.216314398943197
"Adams",2021-01-10,"Adams",1321,288,212,3,3,0,73,0.218016654049962
"Allamakee",2021-01-10,"Allamakee",5048,1241,1007,26,22,4,208,0.245839936608558
"Appanoose",2021-01-10,"Appanoose",4980,1048,874,37,37,0,137,0.210441767068273
"Audubon",2021-01-10,"Audubon",2124,398,325,8,8,0,65,0.187382297551789
"Benton",2021-01-10,"Benton",10561,2049,1862,41,37,4,146,0.194015718208503
"Black Hawk",2021-01-10,"Black Hawk",58785,13288,11789,224,211,13,1275,0.226044058858552
"Boone",2021-01-10,"Boone",11287,2088,1651,15,13,2,422,0.184991583237353
"Bremer",2021-01-10,"Bremer",9770,2357,2130,47,44,3,180,0.241248720573183
"Buchanan",2021-01-10,"Buchanan",7853,1536,1317,19,18,1,200,0.195594040494079
"Buena Vista",2021-01-10,"Buena Vista",13121,3849,3380,27,24,3,442,0.293346543708559
"Butler",2021-01-10,"Butler",5818,1402,1151,23,20,3,228,0.240976280508766
"Calhoun",2021-01-10,"Calhoun",4644,1206,1132,9,9,0,65,0.25968992248062
"Carroll",2021-01-10,"Carroll",9820,2485,2155,32,26,6,298,0.253054989816701
"Cass",2021-01-10,"Cass",5292,1101,898,40,38,2,163,0.208049886621315
"Cedar",2021-01-10,"Cedar",7512,1455,1238,19,18,1,198,0.193690095846645
"Cerro Gordo",2021-01-10,"Cerro Gordo",20356,4516,3985,64,53,11,467,0.22185105128709
"Cherokee",2021-01-10,"Cherokee",5081,1326,1079,25,23,2,222,0.260972249557174
"Chickasaw",2021-01-10,"Chickasaw",4476,1087,961,11,10,1,115,0.242850759606792
"Clarke",2021-01-10,"Clarke",3912,737,550,7,7,0,180,0.188394683026585
"Clay",2021-01-10,"Clay",7053,1619,1412,17,13,4,190,0.229547710194244
"Clayton",2021-01-10,"Clayton",5855,1475,1254,47,40,7,174,0.251921434671221
"Clinton",2021-01-10,"Clinton",18364,4349,3748,61,55,6,540,0.236822043127859
"Crawford",2021-01-10,"Crawford",7591,2237,1930,22,19,3,285,0.294691081543934
"Dallas",2021-01-10,"Dallas",44784,8482,7149,67,57,10,1266,0.189397999285459
"Davis",2021-01-10,"Davis",2692,678,570,20,19,1,88,0.2518573551263
"Decatur",2021-01-10,"Decatur",2839,462,378,4,4,0,80,0.16273335681578
"Delaware",2021-01-10,"Delaware",6721,1689,1530,35,31,4,124,0.251301889599762
"Des Moines",2021-01-10,"Des Moines",17780,3717,3248,38,35,3,431,0.209055118110236
"Dickinson",2021-01-10,"Dickinson",8901,1808,1589,21,19,2,198,0.203123244579261
"Dubuque",2021-01-10,"Dubuque",48999,11082,9913,141,133,8,1028,0.226167880977163
"Emmet",2021-01-10,"Emmet",4280,1078,880,29,28,1,169,0.251869158878505
"Fayette",2021-01-10,"Fayette",7595,1517,1182,22,20,2,313,0.199736668861093
"Floyd",2021-01-10,"Floyd",6488,1343,1174,36,28,8,133,0.206997533908755
"Franklin",2021-01-10,"Franklin",4321,980,801,17,16,1,162,0.226799352001851
"Fremont",2021-01-10,"Fremont",2261,484,428,5,3,2,51,0.2140645731977
"Greene",2021-01-10,"Greene",3562,668,589,7,7,0,72,0.187535092644582
"Grundy",2021-01-10,"Grundy",4803,1167,948,21,16,5,198,0.242973141786384
"Guthrie",2021-01-10,"Guthrie",4773,1000,839,23,18,5,138,0.209511837418814
"Hamilton",2021-01-10,"Hamilton",6328,1539,1309,26,26,0,204,0.243204804045512
"Hancock",2021-01-10,"Hancock",4975,1254,1008,24,19,5,222,0.252060301507538
"Hardin",2021-01-10,"Hardin",7009,1515,1331,29,26,3,155,0.216150663432729
"Harrison",2021-01-10,"Harrison",5531,1506,1222,60,57,3,224,0.272283493039233
