"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1441","59","42","1","16","0.0409437890353921",2020-09-17
"Adams","Adams","573","27","23","0","4","0.0471204188481675",2020-09-17
"Allamakee","Allamakee","2683","229","161","5","63","0.0853522176667909",2020-09-17
"Appanoose","Appanoose","2373","116","95","3","18","0.0488832701222082",2020-09-17
"Audubon","Audubon","987","49","31","1","17","0.049645390070922",2020-09-17
"Benton","Benton","4666","258","179","1","78","0.055293613373339",2020-09-17
"Black Hawk","Black Hawk","32533","4249","3373","84","792","0.130605846371377",2020-09-17
"Boone","Boone","5606","433","302","6","125","0.0772386728505173",2020-09-17
"Bremer","Bremer","4842","447","251","7","189","0.0923172242874845",2020-09-17
"Buchanan","Buchanan","4012","218","161","1","56","0.0543369890329013",2020-09-17
"Buena Vista","Buena Vista","8889","1915","1795","12","108","0.215434807064912",2020-09-17
"Butler","Butler","3058","251","223","2","26","0.0820797907128842",2020-09-17
"Calhoun","Calhoun","2288","162","116","2","44","0.0708041958041958",2020-09-17
"Carroll","Carroll","5133","599","271","5","323","0.116695889343464",2020-09-17
"Cass","Cass","2333","126","113","2","11","0.0540077153879126",2020-09-17
"Cedar","Cedar","3474","210","142","1","67","0.0604490500863558",2020-09-17
"Cerro Gordo","Cerro Gordo","10668","970","684","21","265","0.0909261342332209",2020-09-17
"Cherokee","Cherokee","2348","171","132","2","37","0.0728279386712095",2020-09-17
"Chickasaw","Chickasaw","2374","196","133","0","63","0.0825610783487784",2020-09-17
"Clarke","Clarke","2094","251","212","3","36","0.119866284622732",2020-09-17
"Clay","Clay","3393","266","226","3","37","0.0783966990863543",2020-09-17
"Clayton","Clayton","3003","224","193","3","28","0.0745920745920746",2020-09-17
"Clinton","Clinton","8991","1020","618","18","384","0.113446780113447",2020-09-17
"Crawford","Crawford","4677","943","773","4","166","0.201624973273466",2020-09-17
"Dallas","Dallas","23898","2631","2051","38","542","0.110092894802912",2020-09-17
"Davis","Davis","1165","110","74","4","32","0.0944206008583691",2020-09-17
"Decatur","Decatur","1375","58","34","0","24","0.0421818181818182",2020-09-17
"Delaware","Delaware","3540","305","263","3","39","0.0861581920903955",2020-09-17
"Des Moines","Des Moines","8079","711","400","7","304","0.0880059413293725",2020-09-17
"Dickinson","Dickinson","4833","464","393","6","65","0.096006621146286",2020-09-17
"Dubuque","Dubuque","27106","2506","1850","40","616","0.0924518556777097",2020-09-17
"Emmet","Emmet","2015","242","201","10","31","0.120099255583127",2020-09-17
"Fayette","Fayette","3665","174","121","1","52","0.0474761255115962",2020-09-17
"Floyd","Floyd","3608","279","231","3","45","0.0773281596452328",2020-09-17
"Franklin","Franklin","2383","330","279","17","34","0.138480906420478",2020-09-17
"Fremont","Fremont","972","71","49","0","22","0.0730452674897119",2020-09-17
"Greene","Greene","1686","78","46","0","32","0.0462633451957295",2020-09-17
"Grundy","Grundy","2578","193","104","2","87","0.0748642358417378",2020-09-17
