"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"81","Ringgold",3167,856,753,31,72,0.270287338174929,2021-12-21
"82","Sac",6867,1847,1699,27,121,0.26896752584826,2021-12-21
"83","Scott",119042,29839,26601,310,2928,0.250659431125149,2021-12-21
"84","Shelby",7353,2137,1930,44,163,0.2906296749626,2021-12-21
"85","Sioux",20769,6462,6053,78,331,0.311136790408782,2021-12-21
"86","Story",71403,14586,13810,61,715,0.204277131212974,2021-12-21
"87","Tama",11027,3005,2727,80,198,0.272512922825791,2021-12-21
"88","Taylor",3466,1060,990,19,51,0.305828043854587,2021-12-21
"89","Union",8767,2155,1900,44,211,0.245808144177027,2021-12-21
"90","Van Buren",3946,1042,912,24,106,0.264064875823619,2021-12-21
"91","Wapello",25674,7000,6322,157,521,0.272649372906442,2021-12-21
"92","Warren",38007,9192,8409,111,672,0.241850185492146,2021-12-21
"93","Washington",17629,4192,3862,67,263,0.237790005105224,2021-12-21
"94","Wayne",3658,952,819,26,107,0.260251503553855,2021-12-21
"95","Webster",27612,7882,7239,128,515,0.285455599014921,2021-12-21
"96","Winnebago",8600,2403,2153,41,209,0.279418604651163,2021-12-21
"97","Winneshiek",13743,2944,2563,44,337,0.214218147420505,2021-12-21
"98","Woodbury",77655,21582,20319,281,982,0.277921576202434,2021-12-21
"99","Worth",5293,1307,1218,10,79,0.246929907424901,2021-12-21
"100","Wright",10045,2851,2632,54,165,0.283822797411648,2021-12-21
"101","Totals",2261469,563279,514851,7799,40629,0.249076595787959,2021-12-21
