"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",7345,501,287,1,213,NA,NA,NA,NA
"2","2020-08-01",7418,510,292,1,217,9,73,0,0.123287671232877
