"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-19,"Adair",3115,688,549,20,16,4,119,0.220866773675762
"Adams",2021-01-19,"Adams",1357,295,245,3,3,0,47,0.217391304347826
"Allamakee",2021-01-19,"Allamakee",5152,1276,1101,27,23,4,148,0.247670807453416
"Appanoose",2021-01-19,"Appanoose",5127,1101,914,38,38,0,149,0.214745465184318
"Audubon",2021-01-19,"Audubon",2181,416,360,8,8,0,48,0.190738193489225
"Benton",2021-01-19,"Benton",10767,2093,1913,44,40,4,136,0.194390266555215
"Black Hawk",2021-01-19,"Black Hawk",60074,13702,12308,236,223,13,1158,0.228085361387622
"Boone",2021-01-19,"Boone",11707,2178,1767,17,15,2,394,0.186042538652089
"Bremer",2021-01-19,"Bremer",10013,2429,2204,48,44,4,177,0.242584639968042
"Buchanan",2021-01-19,"Buchanan",8032,1592,1389,23,21,2,180,0.198207171314741
"Buena Vista",2021-01-19,"Buena Vista",13338,3923,3580,29,26,3,314,0.294122057279952
"Butler",2021-01-19,"Butler",5972,1473,1202,24,21,3,247,0.246651038178165
"Calhoun",2021-01-19,"Calhoun",4704,1221,1153,9,9,0,59,0.259566326530612
"Carroll",2021-01-19,"Carroll",10030,2539,2263,34,28,6,242,0.253140578265204
"Cass",2021-01-19,"Cass",5406,1128,966,41,39,2,121,0.20865704772475
"Cedar",2021-01-19,"Cedar",7746,1526,1312,19,18,1,195,0.19700490575781
"Cerro Gordo",2021-01-19,"Cerro Gordo",20848,4647,4165,68,57,11,414,0.22289907904835
"Cherokee",2021-01-19,"Cherokee",5235,1388,1167,27,23,4,194,0.265138490926457
"Chickasaw",2021-01-19,"Chickasaw",4584,1109,1002,12,11,1,95,0.241928446771379
"Clarke",2021-01-19,"Clarke",4052,792,627,7,7,0,158,0.195459032576505
"Clay",2021-01-19,"Clay",7202,1673,1500,19,15,4,154,0.232296584282144
"Clayton",2021-01-19,"Clayton",6001,1513,1306,48,41,7,159,0.252124645892351
