"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3485,707,672,3,32,NA,NA,NA,NA
"2","2020-08-01",3507,708,672,3,33,1,22,0,0.0454545454545455
