"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4597,1185,1037,39,109,0.257776810963672,2021-12-01
"2","Adams",2175,589,529,9,51,0.270804597701149,2021-12-01
"3","Allamakee",8093,2100,1934,56,110,0.259483504262943,2021-12-01
"4","Appanoose",8248,2105,1865,57,183,0.255213385063046,2021-12-01
"5","Audubon",3564,777,692,17,68,0.218013468013468,2021-12-01
"6","Benton",17036,4163,3698,60,405,0.244364874383658,2021-12-01
"7","Black Hawk",93245,22356,20683,382,1291,0.239755482867714,2021-12-01
"8","Boone",18070,3978,3624,42,312,0.220143884892086,2021-12-01
"9","Bremer",15995,4043,3605,73,365,0.252766489527977,2021-12-01
"10","Buchanan",12665,3147,2864,43,240,0.248480063166206,2021-12-01
"11","Buena Vista",18745,5036,4914,49,73,0.268658308882369,2021-12-01
"12","Butler",9239,2376,2116,46,214,0.257170689468557,2021-12-01
"13","Calhoun",6800,1996,1892,19,85,0.293529411764706,2021-12-01
"14","Carroll",14031,3740,3494,55,191,0.266552633454494,2021-12-01
"15","Cass",8329,2362,2139,67,156,0.283587465482051,2021-12-01
"16","Cedar",12053,2701,2539,27,135,0.224093586658923,2021-12-01
"17","Cerro Gordo",32632,8147,7203,125,819,0.249662907575386,2021-12-01
"18","Cherokee",7653,2179,1945,47,187,0.284724944466222,2021-12-01
"19","Chickasaw",7272,1846,1647,22,177,0.253850385038504,2021-12-01
"20","Clarke",6577,1639,1463,29,147,0.249201763722062,2021-12-01
"21","Clay",10723,2978,2836,36,106,0.277720787093164,2021-12-01
"22","Clayton",9792,2525,2212,60,253,0.257863562091503,2021-12-01
"23","Clinton",31007,8116,7144,115,857,0.261747347373174,2021-12-01
"24","Crawford",10940,3556,3411,47,98,0.325045703839123,2021-12-01
"25","Dallas",72072,15603,14458,115,1030,0.216491841491842,2021-12-01
"26","Davis",4720,1271,1165,25,81,0.269279661016949,2021-12-01
"27","Decatur",4687,1049,864,13,172,0.223810539790911,2021-12-01
"28","Delaware",10611,3042,2645,55,342,0.286683630195081,2021-12-01
"29","Des Moines",27871,7157,6820,106,231,0.256790212048366,2021-12-01
"30","Dickinson",12754,3179,3017,55,107,0.24925513564372,2021-12-01
"31","Dubuque",73350,19035,16556,243,2236,0.259509202453988,2021-12-01
"32","Emmet",6533,1803,1669,46,88,0.275983468544313,2021-12-01
"33","Fayette",12285,2906,2642,56,208,0.236548636548637,2021-12-01
"34","Floyd",10400,2617,2325,49,243,0.251634615384615,2021-12-01
"35","Franklin",7295,1882,1662,31,189,0.25798492117889,2021-12-01
"36","Fremont",3774,991,904,13,74,0.262586115527292,2021-12-01
"37","Greene",5504,1288,1195,18,75,0.234011627906977,2021-12-01
"38","Grundy",7464,1864,1688,37,139,0.2497320471597,2021-12-01
"39","Guthrie",7695,1698,1577,38,83,0.220662768031189,2021-12-01
"40","Hamilton",10133,2628,2410,57,161,0.259350636534097,2021-12-01
"41","Hancock",7927,2229,1920,40,269,0.281190866658257,2021-12-01
"42","Hardin",11464,2898,2699,53,146,0.252791346824843,2021-12-01
"43","Harrison",8275,2410,2168,79,163,0.291238670694864,2021-12-01
"44","Henry",14804,4271,3994,55,222,0.288503107268306,2021-12-01
"45","Howard",5968,1508,1323,24,161,0.252680965147453,2021-12-01
"46","Humboldt",6149,1886,1719,31,136,0.306716539274679,2021-12-01
"47","Ida",4411,1350,1178,41,131,0.306053049195194,2021-12-01
"48","Iowa",10851,2351,2140,36,175,0.216662058796424,2021-12-01
"49","Jackson",12176,3261,2781,47,433,0.267821944809461,2021-12-01
"50","Jasper",24466,6309,5859,91,359,0.257868061800049,2021-12-01
"51","Jefferson",11818,2289,2075,44,170,0.193687595193772,2021-12-01
"52","Johnson",109532,20187,18362,108,1717,0.184302304349414,2021-12-01
"53","Jones",13227,4146,3745,64,337,0.31344976185076,2021-12-01
"54","Keokuk",6032,1531,1416,39,76,0.25381299734748,2021-12-01
"55","Kossuth",10210,2934,2723,77,134,0.287365328109696,2021-12-01
"56","Lee",21881,5982,5694,106,182,0.27338787075545,2021-12-01
"57","Linn",158049,32940,29919,430,2591,0.208416377199476,2021-12-01
"58","Louisa",7281,1789,1684,53,52,0.245708007141876,2021-12-01
"59","Lucas",5247,1262,1152,27,83,0.240518391461788,2021-12-01
"60","Lyon",6239,2105,1947,42,116,0.337393813111075,2021-12-01
"61","Madison",10385,2376,2218,25,133,0.228791526239769,2021-12-01
"62","Mahaska",14278,3739,3348,66,325,0.261871410561703,2021-12-01
"63","Marion",21849,5690,5207,97,386,0.260423818023708,2021-12-01
"64","Marshall",27844,6766,6455,94,217,0.242996695877029,2021-12-01
"65","Mills",9667,2258,2076,30,152,0.233578152477501,2021-12-01
"66","Mitchell",6942,1846,1684,43,119,0.265917602996255,2021-12-01
"67","Monona",4725,1254,1108,40,106,0.265396825396825,2021-12-01
"68","Monroe",4679,1446,1353,40,53,0.30904039324642,2021-12-01
"69","Montgomery",5833,1633,1494,46,93,0.279958854791702,2021-12-01
"70","Muscatine",28369,6728,6336,117,275,0.237160280587966,2021-12-01
"71","O'Brien",8304,2470,2271,66,133,0.297447013487476,2021-12-01
"72","Osceola",3230,1060,989,18,53,0.328173374613003,2021-12-01
"73","Page",8569,2766,2603,33,130,0.322791457579648,2021-12-01
"74","Palo Alto",5695,1523,1423,32,68,0.267427568042142,2021-12-01
"75","Pending Investigation",3867,51,23,0,28,0.013188518231187,2021-12-01
"76","Plymouth",15952,4938,4634,88,216,0.309553660982949,2021-12-01
"77","Pocahontas",4374,1224,1125,25,74,0.279835390946502,2021-12-01
"78","Polk",368030,81845,76208,809,4828,0.222386761948754,2021-12-01
"79","Pottawattamie",61904,16227,14839,214,1174,0.262131687774619,2021-12-01
"80","Poweshiek",11824,2424,2194,43,187,0.205006765899865,2021-12-01
"81","Ringgold",3048,787,697,29,61,0.258202099737533,2021-12-01
"82","Sac",6699,1761,1597,26,138,0.262875055978504,2021-12-01
"83","Scott",115021,27168,25311,295,1562,0.23620034602377,2021-12-01
"84","Shelby",7133,2006,1844,42,120,0.281228094770784,2021-12-01
"85","Sioux",20231,6235,5755,77,403,0.308190400869952,2021-12-01
"86","Story",69839,14016,13142,59,815,0.200690158793797,2021-12-01
"87","Tama",10734,2835,2632,78,125,0.264114030184461,2021-12-01
"88","Taylor",3357,1010,860,14,136,0.300863866547513,2021-12-01
"89","Union",8502,1980,1689,41,250,0.232886379675371,2021-12-01
"90","Van Buren",3810,964,846,22,96,0.253018372703412,2021-12-01
"91","Wapello",25015,6580,6037,145,398,0.263042174695183,2021-12-01
