"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-20,"Adair",11400,952,770,31,22,9,3500,833,32,2021-03-20
"Adams",2021-03-20,"Adams",4950,327,315,4,4,0,1536,319,0,2021-03-20
"Allamakee",2021-03-20,"Allamakee",19336,1526,1342,48,38,10,6009,1473,83,2021-03-20
"Appanoose",2021-03-20,"Appanoose",16266,1410,1172,47,43,4,5833,1243,24,2021-03-20
"Audubon",2021-03-20,"Audubon",10900,496,454,9,8,1,2524,479,16,2021-03-20
"Benton",2021-03-20,"Benton",33705,2604,2271,54,44,10,12352,2451,126,2021-03-20
"Black Hawk",2021-03-20,"Black Hawk",195081,16512,14504,298,277,21,68067,15128,326,2021-03-20
"Boone",2021-03-20,"Boone",40429,2663,2364,30,28,2,13347,2483,89,2021-03-20
"Bremer",2021-03-20,"Bremer",35118,2871,2573,57,48,9,11855,2739,109,2021-03-20
"Buchanan",2021-03-20,"Buchanan",27679,1911,1705,30,26,4,9111,1809,74,2021-03-20
"Buena Vista",2021-03-20,"Buena Vista",41572,4796,4020,38,35,3,14411,4160,102,2021-03-20
"Butler",2021-03-20,"Butler",26934,1692,1536,32,28,4,6836,1604,36,2021-03-20
"Calhoun",2021-03-20,"Calhoun",16833,1363,1268,11,11,0,5152,1315,36,2021-03-20
"Carroll",2021-03-20,"Carroll",33028,2912,2597,49,42,7,11008,2712,66,2021-03-20
"Cass",2021-03-20,"Cass",19066,1392,1201,52,47,5,6142,1318,65,2021-03-20
"Cedar",2021-03-20,"Cedar",27722,1837,1635,23,21,2,8857,1759,101,2021-03-20
"Cerro Gordo",2021-03-20,"Cerro Gordo",69920,5427,4860,85,71,14,24077,5059,114,2021-03-20
"Cherokee",2021-03-20,"Cherokee",18832,1612,1398,37,29,8,5847,1511,76,2021-03-20
"Chickasaw",2021-03-20,"Chickasaw",15929,1269,1173,15,13,2,5255,1207,19,2021-03-20
"Clarke",2021-03-20,"Clarke",12266,1024,906,21,21,0,4730,966,39,2021-03-20
"Clay",2021-03-20,"Clay",26717,2028,1802,25,20,5,8037,1920,93,2021-03-20
"Clayton",2021-03-20,"Clayton",22508,1698,1547,55,46,9,6789,1615,13,2021-03-20
"Clinton",2021-03-20,"Clinton",56232,5540,4848,87,76,11,21744,5091,156,2021-03-20
"Crawford",2021-03-20,"Crawford",25219,2813,2450,36,31,5,8578,2575,89,2021-03-20
"Dallas",2021-03-20,"Dallas",116255,11722,9861,93,82,11,52300,10431,477,2021-03-20
"Davis",2021-03-20,"Davis",9954,847,727,24,23,1,3296,774,23,2021-03-20
"Decatur",2021-03-20,"Decatur",9432,591,548,9,9,0,3461,577,20,2021-03-20
"Delaware",2021-03-20,"Delaware",24568,1934,1803,39,35,4,7690,1893,51,2021-03-20
"Des Moines",2021-03-20,"Des Moines",51107,4654,4168,63,53,10,20515,4325,94,2021-03-20
"Dickinson",2021-03-20,"Dickinson",23562,2320,1958,41,35,6,9962,2140,141,2021-03-20
"Dubuque",2021-03-20,"Dubuque",169747,13742,12042,200,186,14,55185,12544,302,2021-03-20
