"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-11,"Adair",11140,935,733,31,22,9,3454,818,54,2021-03-11
"Adams",2021-03-11,"Adams",4815,327,313,4,4,0,1515,319,2,2021-03-11
"Allamakee",2021-03-11,"Allamakee",18800,1507,1322,48,38,10,5894,1456,86,2021-03-11
"Appanoose",2021-03-11,"Appanoose",15869,1396,1138,47,43,4,5757,1235,50,2021-03-11
"Audubon",2021-03-11,"Audubon",10624,495,441,9,8,1,2489,477,27,2021-03-11
"Benton",2021-03-11,"Benton",32684,2584,2213,54,44,10,12086,2424,157,2021-03-11
"Black Hawk",2021-03-11,"Black Hawk",190767,16392,14364,295,275,20,67220,15015,356,2021-03-11
"Boone",2021-03-11,"Boone",39514,2636,2328,30,28,2,13169,2455,97,2021-03-11
"Bremer",2021-03-11,"Bremer",33866,2852,2546,56,48,8,11683,2716,114,2021-03-11
"Buchanan",2021-03-11,"Buchanan",26801,1882,1680,30,26,4,8959,1789,79,2021-03-11
"Buena Vista",2021-03-11,"Buena Vista",40574,4765,4002,37,34,3,14267,4137,98,2021-03-11
"Butler",2021-03-11,"Butler",26071,1682,1527,32,28,4,6737,1593,34,2021-03-11
"Calhoun",2021-03-11,"Calhoun",16421,1349,1254,11,11,0,5069,1301,36,2021-03-11
"Carroll",2021-03-11,"Carroll",32304,2883,2578,48,41,7,10874,2677,51,2021-03-11
"Cass",2021-03-11,"Cass",18637,1374,1177,52,47,5,6054,1302,73,2021-03-11
"Cedar",2021-03-11,"Cedar",26938,1816,1598,23,21,2,8731,1738,117,2021-03-11
"Cerro Gordo",2021-03-11,"Cerro Gordo",68619,5391,4837,83,70,13,23718,5028,108,2021-03-11
"Cherokee",2021-03-11,"Cherokee",18269,1575,1387,37,29,8,5747,1476,52,2021-03-11
"Chickasaw",2021-03-11,"Chickasaw",15591,1263,1163,15,13,2,5187,1200,22,2021-03-11
"Clarke",2021-03-11,"Clarke",12058,1015,884,21,21,0,4671,956,51,2021-03-11
"Clay",2021-03-11,"Clay",26010,1983,1787,25,20,5,7921,1872,60,2021-03-11
"Clayton",2021-03-11,"Clayton",21907,1684,1534,54,46,8,6682,1602,14,2021-03-11
"Clinton",2021-03-11,"Clinton",54901,5484,4765,87,76,11,21354,5038,186,2021-03-11
"Crawford",2021-03-11,"Crawford",24346,2783,2413,35,31,4,8474,2552,104,2021-03-11
"Dallas",2021-03-11,"Dallas",113324,11555,9644,93,82,11,51490,10287,550,2021-03-11
"Davis",2021-03-11,"Davis",9628,839,719,23,22,1,3247,766,24,2021-03-11
"Decatur",2021-03-11,"Decatur",9142,589,530,9,9,0,3424,574,35,2021-03-11
"Delaware",2021-03-11,"Delaware",23966,1909,1789,40,35,5,7545,1865,36,2021-03-11
"Des Moines",2021-03-11,"Des Moines",49864,4622,4096,61,53,8,20259,4299,142,2021-03-11
"Dickinson",2021-03-11,"Dickinson",22840,2228,1917,40,34,6,9786,2057,100,2021-03-11
"Dubuque",2021-03-11,"Dubuque",165531,13661,11902,196,183,13,54539,12475,377,2021-03-11
"Emmet",2021-03-11,"Emmet",14630,1226,1092,40,38,2,4778,1157,25,2021-03-11
"Fayette",2021-03-11,"Fayette",30878,1872,1710,36,33,3,8798,1799,53,2021-03-11
"Floyd",2021-03-11,"Floyd",22569,1650,1414,41,31,10,7366,1491,36,2021-03-11
"Franklin",2021-03-11,"Franklin",17768,1195,1056,20,19,1,4992,1098,22,2021-03-11
"Fremont",2021-03-11,"Fremont",6503,589,532,9,7,2,2528,565,24,2021-03-11
"Greene",2021-03-11,"Greene",13275,783,711,10,10,0,3937,736,15,2021-03-11
"Grundy",2021-03-11,"Grundy",17185,1402,1252,31,26,5,5532,1327,44,2021-03-11
"Guthrie",2021-03-11,"Guthrie",15958,1182,1048,28,23,5,5356,1103,27,2021-03-11
"Hamilton",2021-03-11,"Hamilton",21302,1925,1659,42,41,1,7218,1741,40,2021-03-11
"Hancock",2021-03-11,"Hancock",18884,1479,1326,31,26,5,5723,1384,27,2021-03-11
"Hardin",2021-03-11,"Hardin",30312,1836,1614,39,33,6,7985,1709,56,2021-03-11
"Harrison",2021-03-11,"Harrison",18541,1803,1571,70,66,4,6157,1678,37,2021-03-11
"Henry",2021-03-11,"Henry",32433,2945,2720,37,36,1,10508,2802,45,2021-03-11
"Howard",2021-03-11,"Howard",14979,1040,939,22,18,4,4350,1000,39,2021-03-11
"Humboldt",2021-03-11,"Humboldt",13847,1190,1085,25,22,3,4531,1141,31,2021-03-11
"Ida",2021-03-11,"Ida",10746,946,765,32,30,2,3156,838,41,2021-03-11
"Iowa",2021-03-11,"Iowa",26132,1472,1328,23,21,2,7744,1411,60,2021-03-11
"Jackson",2021-03-11,"Jackson",22804,2231,2020,39,36,3,8675,2108,49,2021-03-11
"Jasper",2021-03-11,"Jasper",45194,4228,3549,67,62,5,17336,3903,287,2021-03-11
"Jefferson",2021-03-11,"Jefferson",18186,1394,1243,34,28,6,7378,1286,9,2021-03-11
"Johnson",2021-03-11,"Johnson",186178,13980,12671,76,71,5,75769,13205,458,2021-03-11
"Jones",2021-03-11,"Jones",22854,2956,2772,55,51,4,9480,2856,29,2021-03-11
"Keokuk",2021-03-11,"Keokuk",13800,994,876,29,29,0,3984,926,21,2021-03-11
"Kossuth",2021-03-11,"Kossuth",22630,2100,1865,55,49,6,7519,1989,69,2021-03-11
"Lee",2021-03-11,"Lee",48020,3769,3413,54,41,13,15148,3547,80,2021-03-11
"Linn",2021-03-11,"Linn",256454,20802,18704,319,287,32,111269,19551,528,2021-03-11
"Louisa",2021-03-11,"Louisa",15385,1294,1154,47,40,7,5195,1231,30,2021-03-11
"Lucas",2021-03-11,"Lucas",8269,759,669,21,17,4,3632,728,38,2021-03-11
"Lyon",2021-03-11,"Lyon",13430,1470,1392,41,37,4,4395,1460,27,2021-03-11
"Madison",2021-03-11,"Madison",18262,1600,1368,18,14,4,7374,1463,77,2021-03-11
"Mahaska",2021-03-11,"Mahaska",27139,2266,2054,46,41,5,9964,2166,66,2021-03-11
"Marion",2021-03-11,"Marion",36643,3646,3246,72,62,10,15221,3442,124,2021-03-11
"Marshall",2021-03-11,"Marshall",72759,5026,4459,73,65,8,20377,4669,137,2021-03-11
"Mills",2021-03-11,"Mills",19411,1645,1435,20,17,3,7342,1494,39,2021-03-11
"Mitchell",2021-03-11,"Mitchell",15641,1329,1155,40,38,2,5260,1218,23,2021-03-11
"Monona",2021-03-11,"Monona",16096,826,728,29,27,2,3578,770,13,2021-03-11
"Monroe",2021-03-11,"Monroe",8629,946,838,28,21,7,3296,902,36,2021-03-11
"Montgomery",2021-03-11,"Montgomery",12741,1045,920,36,34,2,4225,971,15,2021-03-11
"Muscatine",2021-03-11,"Muscatine",47513,4585,3987,93,84,9,20321,4279,199,2021-03-11
"O'Brien",2021-03-11,"O'Brien",22698,1989,1703,58,54,4,6364,1843,82,2021-03-11
"Osceola",2021-03-11,"Osceola",7290,710,647,15,13,2,2327,684,22,2021-03-11
"Page",2021-03-11,"Page",18853,1874,1749,19,18,1,6080,1791,23,2021-03-11
"Palo Alto",2021-03-11,"Palo Alto",16032,1072,953,22,20,2,4277,1024,49,2021-03-11
"Pending Investigation",2021-03-11,"Pending Investigation",12763,1015,853,0,0,0,6431,990,137,2021-03-11
"Plymouth",2021-03-11,"Plymouth",33807,3995,3533,79,71,8,12677,3705,93,2021-03-11
"Pocahontas",2021-03-11,"Pocahontas",11692,856,788,19,19,0,3321,811,4,2021-03-11
"Polk",2021-03-11,"Polk",599718,59168,49238,566,503,63,261143,52419,2615,2021-03-11
"Pottawattamie",2021-03-11,"Pottawattamie",105686,10921,9429,148,131,17,45197,9925,348,2021-03-11
"Poweshiek",2021-03-11,"Poweshiek",35893,1561,1428,30,28,2,8395,1488,30,2021-03-11
"Ringgold",2021-03-11,"Ringgold",8798,530,475,20,17,3,2280,511,16,2021-03-11
"Sac",2021-03-11,"Sac",17540,1274,1142,18,18,0,5100,1199,39,2021-03-11
"Scott",2021-03-11,"Scott",183265,18530,16484,215,198,17,81384,17247,548,2021-03-11
"Shelby",2021-03-11,"Shelby",14662,1241,1090,34,31,3,5121,1185,61,2021-03-11
"Sioux",2021-03-11,"Sioux",38202,4987,4613,69,66,3,15210,4817,135,2021-03-11
"Story",2021-03-11,"Story",143776,10405,9190,46,40,6,53845,9704,468,2021-03-11
"Tama",2021-03-11,"Tama",29161,2154,1899,68,65,3,8095,2032,65,2021-03-11
"Taylor",2021-03-11,"Taylor",7603,664,618,12,10,2,2417,641,11,2021-03-11
"Union",2021-03-11,"Union",15266,1274,1145,31,26,5,6271,1196,20,2021-03-11
"Van Buren",2021-03-11,"Van Buren",7527,562,515,18,15,3,2623,537,4,2021-03-11
"Wapello",2021-03-11,"Wapello",41066,4430,3704,111,107,4,17453,4090,275,2021-03-11
"Warren",2021-03-11,"Warren",66213,5662,4862,77,71,6,26539,5189,250,2021-03-11
"Washington",2021-03-11,"Washington",36324,2550,2295,48,44,4,11317,2396,53,2021-03-11
"Wayne",2021-03-11,"Wayne",5379,518,416,21,17,4,2181,477,40,2021-03-11
"Webster",2021-03-11,"Webster",61946,5239,4762,88,74,14,20612,4970,120,2021-03-11
"Winnebago",2021-03-11,"Winnebago",15508,1403,1236,31,26,5,5939,1310,43,2021-03-11
"Winneshiek",2021-03-11,"Winneshiek",32529,1914,1720,30,26,4,9746,1844,94,2021-03-11
"Woodbury",2021-03-11,"Woodbury",127062,15182,13267,215,199,16,56596,13925,443,2021-03-11
"Worth",2021-03-11,"Worth",11141,706,641,8,7,1,3574,668,19,2021-03-11
"Wright",2021-03-11,"Wright",19041,1814,1680,31,26,5,7632,1748,37,2021-03-11
"Total",2021-03-11,"Totals",4202242,369082,322996,5601,5013,588,1585546,341009,12412,2021-03-11
