"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-07,"Adair",12712,993,834,32,22,10,3812,873,7,2021-06-07
"Adams",2021-06-07,"Adams",6086,353,337,4,4,0,1682,344,3,2021-06-07
"Allamakee",2021-06-07,"Allamakee",22586,1580,1462,51,41,10,6538,1525,12,2021-06-07
"Appanoose",2021-06-07,"Appanoose",19051,1468,1230,49,44,5,6400,1290,11,2021-06-07
"Audubon",2021-06-07,"Audubon",13352,541,496,10,9,1,2858,522,16,2021-06-07
"Benton",2021-06-07,"Benton",39610,2743,2506,55,44,11,13583,2583,22,2021-06-07
"Black Hawk",2021-06-07,"Black Hawk",225362,17470,15489,310,287,23,74186,15976,177,2021-06-07
"Boone",2021-06-07,"Boone",46330,2870,2610,34,31,3,14701,2681,37,2021-06-07
"Bremer",2021-06-07,"Bremer",41765,3009,2777,60,51,9,12961,2874,37,2021-06-07
"Buchanan",2021-06-07,"Buchanan",33211,2031,1874,33,27,6,10031,1923,16,2021-06-07
"Buena Vista",2021-06-07,"Buena Vista",46718,4913,4203,40,36,4,15400,4260,17,2021-06-07
"Butler",2021-06-07,"Butler",30828,1753,1609,35,31,4,7439,1659,15,2021-06-07
"Calhoun",2021-06-07,"Calhoun",19516,1442,1363,13,12,1,5591,1388,12,2021-06-07
"Carroll",2021-06-07,"Carroll",38598,3081,2807,52,43,9,11910,2868,9,2021-06-07
"Cass",2021-06-07,"Cass",21684,1476,1333,54,48,6,6701,1391,4,2021-06-07
"Cedar",2021-06-07,"Cedar",33129,2003,1871,23,21,2,9704,1913,19,2021-06-07
"Cerro Gordo",2021-06-07,"Cerro Gordo",81961,5953,5289,90,75,15,26659,5510,131,2021-06-07
"Cherokee",2021-06-07,"Cherokee",21998,1693,1545,38,30,8,6277,1594,11,2021-06-07
"Chickasaw",2021-06-07,"Chickasaw",18572,1313,1228,16,14,2,5782,1244,0,2021-06-07
"Clarke",2021-06-07,"Clarke",14204,1067,976,24,22,2,5173,1008,8,2021-06-07
"Clay",2021-06-07,"Clay",32425,2272,2125,27,22,5,8900,2163,11,2021-06-07
"Clayton",2021-06-07,"Clayton",26833,1796,1646,57,48,9,7594,1708,5,2021-06-07
"Clinton",2021-06-07,"Clinton",68253,6085,5453,93,79,14,24701,5608,62,2021-06-07
"Crawford",2021-06-07,"Crawford",29525,2924,2622,40,35,5,9223,2677,15,2021-06-07
"Dallas",2021-06-07,"Dallas",134975,12618,11064,99,85,14,57544,11270,107,2021-06-07
"Davis",2021-06-07,"Davis",11890,923,802,25,23,2,3739,851,24,2021-06-07
