"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-18,"Adair",3332,787,671,26,20,6,90,0.236194477791116
"Adams",2021-02-18,"Adams",1459,317,296,3,3,0,18,0.217272104180946
"Allamakee",2021-02-18,"Allamakee",5570,1385,1264,41,35,6,80,0.248653500897666
"Appanoose",2021-02-18,"Appanoose",5551,1199,1077,47,43,4,75,0.215997117636462
"Audubon",2021-02-18,"Audubon",2407,463,405,9,8,1,49,0.192355629414209
"Benton",2021-02-18,"Benton",11608,2312,2056,54,44,10,202,0.199172984148863
"Black Hawk",2021-02-18,"Black Hawk",65335,14733,13728,279,263,16,726,0.22549934950639
"Boone",2021-02-18,"Boone",12680,2375,2189,30,28,2,156,0.187302839116719
"Bremer",2021-02-18,"Bremer",11241,2628,2438,53,47,6,137,0.233787029623699
"Buchanan",2021-02-18,"Buchanan",8650,1728,1591,27,24,3,110,0.199768786127168
"Buena Vista",2021-02-18,"Buena Vista",13929,4053,3924,36,33,3,93,0.290975662287314
"Butler",2021-02-18,"Butler",6537,1570,1473,30,27,3,67,0.240171332415481
"Calhoun",2021-02-18,"Calhoun",4941,1272,1223,10,10,0,39,0.257437765634487
"Carroll",2021-02-18,"Carroll",10596,2634,2529,47,39,8,58,0.248584371460929
"Cass",2021-02-18,"Cass",5843,1239,1100,47,45,2,92,0.212048605168578
"Cedar",2021-02-18,"Cedar",8340,1644,1521,22,21,1,101,0.197122302158273
"Cerro Gordo",2021-02-18,"Cerro Gordo",22835,4933,4646,79,67,12,208,0.216028027151303
"Cherokee",2021-02-18,"Cherokee",5579,1430,1362,35,29,6,33,0.256318336619466
"Chickasaw",2021-02-18,"Chickasaw",5051,1178,1130,13,12,1,35,0.233221144327856
"Clarke",2021-02-18,"Clarke",4487,919,787,20,20,0,112,0.204813906841988
"Clay",2021-02-18,"Clay",7701,1820,1687,25,20,5,108,0.236332943773536
"Clayton",2021-02-18,"Clayton",6451,1587,1488,53,45,8,46,0.246008370795226
"Clinton",2021-02-18,"Clinton",20443,4889,4487,81,73,8,321,0.239152766228049
"Crawford",2021-02-18,"Crawford",8220,2468,2301,35,31,4,132,0.300243309002433
"Dallas",2021-02-18,"Dallas",49425,9881,8953,87,76,11,841,0.199919069296915
"Davis",2021-02-18,"Davis",3111,747,681,23,22,1,43,0.240115718418515
"Decatur",2021-02-18,"Decatur",3258,544,497,9,9,0,38,0.166973603437692
"Delaware",2021-02-18,"Delaware",7314,1844,1708,38,33,5,98,0.252119223407164
"Des Moines",2021-02-18,"Des Moines",19513,4182,3854,55,48,7,273,0.214318659355302
"Dickinson",2021-02-18,"Dickinson",9547,1984,1845,38,32,6,101,0.207813972975804
"Dubuque",2021-02-18,"Dubuque",53068,12182,11339,190,177,13,653,0.229554533805683
"Emmet",2021-02-18,"Emmet",4646,1135,1066,39,37,2,30,0.24429616874731
