"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2419,106,89,2,15,NA,NA,NA,NA
"2","2020-08-01",2442,109,90,2,17,3,23,0,0.130434782608696
