"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-22,"Adair",3143,693,577,20,16,4,96,0.220489977728285
"Adams",2021-01-22,"Adams",1370,298,253,3,3,0,42,0.217518248175182
"Allamakee",2021-01-22,"Allamakee",5215,1300,1123,29,25,4,148,0.24928092042186
"Appanoose",2021-01-22,"Appanoose",5168,1116,936,40,39,1,140,0.21594427244582
"Audubon",2021-01-22,"Audubon",2215,418,361,8,8,0,49,0.188713318284424
"Benton",2021-01-22,"Benton",10859,2109,1934,50,40,10,125,0.194216778708905
"Black Hawk",2021-01-22,"Black Hawk",60641,13962,12541,242,228,14,1179,0.230240266486371
"Boone",2021-01-22,"Boone",11832,2215,1805,17,15,2,393,0.187204192021636
"Bremer",2021-01-22,"Bremer",10289,2481,2248,48,44,4,185,0.241131305277481
"Buchanan",2021-01-22,"Buchanan",8097,1610,1404,23,21,2,183,0.198839076201062
"Buena Vista",2021-01-22,"Buena Vista",13428,3953,3640,30,27,3,283,0.294384867441168
"Butler",2021-01-22,"Butler",6034,1498,1245,24,21,3,229,0.248259860788863
"Calhoun",2021-01-22,"Calhoun",4727,1230,1159,9,9,0,62,0.260207319653057
"Carroll",2021-01-22,"Carroll",10131,2573,2281,34,28,6,258,0.253972954298687
"Cass",2021-01-22,"Cass",5478,1147,978,43,41,2,126,0.20938298649142
"Cedar",2021-01-22,"Cedar",7823,1546,1331,19,18,1,196,0.197622395500447
"Cerro Gordo",2021-01-22,"Cerro Gordo",21038,4708,4211,72,61,11,425,0.223785530944006
"Cherokee",2021-01-22,"Cherokee",5276,1396,1194,27,23,4,175,0.264594389689158
"Chickasaw",2021-01-22,"Chickasaw",4643,1133,1011,12,11,1,110,0.244023260822744
"Clarke",2021-01-22,"Clarke",4103,803,644,7,7,0,152,0.195710455764075
"Clay",2021-01-22,"Clay",7257,1709,1507,21,17,4,181,0.235496761747278
"Clayton",2021-01-22,"Clayton",6064,1531,1343,49,41,8,139,0.252473614775726
"Clinton",2021-01-22,"Clinton",19020,4551,4016,65,59,6,470,0.239274447949527
"Crawford",2021-01-22,"Crawford",7794,2331,2062,24,21,3,245,0.299076212471132
"Dallas",2021-01-22,"Dallas",46313,9018,7690,72,61,11,1256,0.194718545548766
"Davis",2021-01-22,"Davis",2775,697,623,21,20,1,53,0.251171171171171
"Decatur",2021-01-22,"Decatur",2965,494,415,4,4,0,75,0.166610455311973
"Delaware",2021-01-22,"Delaware",6918,1749,1578,36,32,4,135,0.252818733738075
"Des Moines",2021-01-22,"Des Moines",18344,3892,3429,43,39,4,420,0.212167466201483
"Dickinson",2021-01-22,"Dickinson",9125,1881,1660,29,26,3,192,0.20613698630137
"Dubuque",2021-01-22,"Dubuque",50508,11513,10348,157,148,9,1008,0.227944088065257
"Emmet",2021-01-22,"Emmet",4438,1112,960,32,31,1,120,0.250563316809374
"Fayette",2021-01-22,"Fayette",7908,1640,1321,23,21,2,296,0.20738492665655
"Floyd",2021-01-22,"Floyd",6714,1405,1237,36,28,8,132,0.209264224009532
"Franklin",2021-01-22,"Franklin",4484,1032,850,18,17,1,164,0.230151650312221
"Fremont",2021-01-22,"Fremont",2355,520,454,6,4,2,60,0.220806794055202
"Greene",2021-01-22,"Greene",3651,697,634,7,7,0,56,0.190906600931252
"Grundy",2021-01-22,"Grundy",4979,1219,1059,27,22,5,133,0.244828278770838
"Guthrie",2021-01-22,"Guthrie",4900,1036,915,24,19,5,97,0.211428571428571
"Hamilton",2021-01-22,"Hamilton",6527,1611,1428,30,29,1,153,0.246820897809101
"Hancock",2021-01-22,"Hancock",5147,1312,1131,24,19,5,157,0.254905770351661
"Hardin",2021-01-22,"Hardin",7216,1562,1423,30,27,3,109,0.216463414634146
"Harrison",2021-01-22,"Harrison",5735,1574,1364,62,58,4,148,0.274455100261552
"Henry",2021-01-22,"Henry",9649,2660,2426,31,31,0,203,0.275676235879366
"Howard",2021-01-22,"Howard",3804,849,668,19,15,4,162,0.223186119873817
"Humboldt",2021-01-22,"Humboldt",4180,1058,924,19,16,3,115,0.25311004784689
"Ida",2021-01-22,"Ida",2802,755,675,30,29,1,50,0.269450392576731
"Iowa",2021-01-22,"Iowa",7051,1268,1106,22,21,1,140,0.179832647851369
"Jackson",2021-01-22,"Jackson",7808,1939,1735,31,30,1,173,0.248335040983607
"Jasper",2021-01-22,"Jasper",15446,3285,2769,59,57,2,457,0.212676421079891
"Jefferson",2021-01-22,"Jefferson",6560,1216,967,25,22,3,224,0.185365853658537
