"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",22728,1544,850,11,683,NA,NA,NA,NA
"2","2020-08-01",23016,1563,863,12,688,19,288,1,0.0659722222222222
