"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1645","85","55","1","29","0.0516717325227964",2020-10-07
"Adams","Adams","697","47","28","0","19","0.0674318507890961",2020-10-07
"Allamakee","Allamakee","3035","279","203","8","68","0.0919275123558484",2020-10-07
"Appanoose","Appanoose","2775","161","132","3","26","0.058018018018018",2020-10-07
"Audubon","Audubon","1286","110","40","1","69","0.0855365474339036",2020-10-07
"Benton","Benton","5778","373","235","1","137","0.0645552094150225",2020-10-07
"Black Hawk","Black Hawk","36830","4707","4024","95","588","0.127803421124084",2020-10-07
"Boone","Boone","6740","574","391","8","175","0.0851632047477745",2020-10-07
"Bremer","Bremer","5645","531","403","7","121","0.0940655447298494",2020-10-07
"Buchanan","Buchanan","4727","327","204","1","122","0.0691770679077639",2020-10-07
"Buena Vista","Buena Vista","9587","2068","1864","12","192","0.215708772295817",2020-10-07
"Butler","Butler","3518","301","267","2","32","0.0855599772598067",2020-10-07
"Calhoun","Calhoun","2745","216","187","3","26","0.0786885245901639",2020-10-07
"Carroll","Carroll","6103","801","499","5","297","0.131246927740456",2020-10-07
"Cass","Cass","2939","198","173","2","23","0.0673698536917319",2020-10-07
"Cedar","Cedar","4146","285","190","2","93","0.0687409551374819",2020-10-07
"Cerro Gordo","Cerro Gordo","11842","1121","904","23","194","0.0946630636716771",2020-10-07
"Cherokee","Cherokee","3015","304","156","2","146","0.100829187396352",2020-10-07
"Chickasaw","Chickasaw","2741","294","273","1","20","0.10726012404232",2020-10-07
"Clarke","Clarke","2426","275","241","3","31","0.113355317394889",2020-10-07
"Clay","Clay","4045","388","244","4","140","0.0959208899876391",2020-10-07
"Clayton","Clayton","3450","299","259","3","37","0.0866666666666667",2020-10-07
"Clinton","Clinton","10385","1225","943","23","259","0.117958594126143",2020-10-07
"Crawford","Crawford","5485","1168","871","7","290","0.212944393801276",2020-10-07
"Dallas","Dallas","26999","2962","2494","40","428","0.109707766954332",2020-10-07
"Davis","Davis","1401","137","100","4","33","0.0977872947894361",2020-10-07
"Decatur","Decatur","1649","77","51","0","26","0.0466949666464524",2020-10-07
"Delaware","Delaware","4166","529","434","4","91","0.126980316850696",2020-10-07
"Des Moines","Des Moines","9568","930","666","9","255","0.0971989966555184",2020-10-07
"Dickinson","Dickinson","5557","583","437","7","139","0.1049127226921",2020-10-07
"Dubuque","Dubuque","31817","3832","2331","47","1454","0.120438759153911",2020-10-07
"Emmet","Emmet","2304","306","222","11","73","0.1328125",2020-10-07
"Fayette","Fayette","4405","261","166","2","93","0.0592508513053348",2020-10-07
"Floyd","Floyd","4061","381","326","8","47","0.0938192563408028",2020-10-07
"Franklin","Franklin","2645","353","322","18","13","0.133459357277883",2020-10-07
"Fremont","Fremont","1369","152","66","0","86","0.111029948867787",2020-10-07
"Greene","Greene","2235","138","71","0","67","0.061744966442953",2020-10-07
"Grundy","Grundy","2941","245","157","4","84","0.083304998299898",2020-10-07
"Guthrie","Guthrie","2881","305","186","12","107","0.105866018743492",2020-10-07
"Hamilton","Hamilton","3809","347","318","3","26","0.0911000262536099",2020-10-07
"Hancock","Hancock","2719","217","196","3","18","0.0798087532180949",2020-10-07
"Hardin","Hardin","4033","330","255","2","73","0.0818249442102653",2020-10-07
"Harrison","Harrison","3077","340","185","5","150","0.110497237569061",2020-10-07
"Henry","Henry","5501","852","453","5","394","0.154880930739865",2020-10-07
"Howard","Howard","2191","201","161","7","33","0.091738931994523",2020-10-07
"Humboldt","Humboldt","2407","205","185","3","17","0.085168259243872",2020-10-07
"Ida","Ida","1607","150","59","2","89","0.0933416303671437",2020-10-07
"Iowa","Iowa","4238","274","145","1","128","0.0646531382727702",2020-10-07
"Jackson","Jackson","4239","415","248","3","164","0.0979004482189196",2020-10-07
