"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-30,"Adair",3202,703,600,23,19,4,80,0.219550281074329
"Adams",2021-01-30,"Adams",1404,307,270,3,3,0,34,0.218660968660969
"Allamakee",2021-01-30,"Allamakee",5324,1324,1165,30,26,4,129,0.248685199098422
"Appanoose",2021-01-30,"Appanoose",5280,1143,951,40,39,1,152,0.216477272727273
"Audubon",2021-01-30,"Audubon",2274,433,374,8,8,0,51,0.190413368513632
"Benton",2021-01-30,"Benton",11094,2170,1951,50,40,10,169,0.195601225887867
"Black Hawk",2021-01-30,"Black Hawk",63041,14338,12840,248,234,14,1250,0.227439285544328
"Boone",2021-01-30,"Boone",12055,2279,1934,18,16,2,327,0.189050186644546
"Bremer",2021-01-30,"Bremer",10801,2529,2274,48,44,4,207,0.234144986575317
"Buchanan",2021-01-30,"Buchanan",8329,1651,1445,24,22,2,182,0.19822307599952
"Buena Vista",2021-01-30,"Buena Vista",13596,4003,3714,33,30,3,256,0.294424830832598
"Butler",2021-01-30,"Butler",6257,1535,1288,26,23,3,221,0.245325235735976
"Calhoun",2021-01-30,"Calhoun",4802,1247,1168,9,9,0,70,0.259683465222824
"Carroll",2021-01-30,"Carroll",10270,2596,2364,36,30,6,196,0.252775073028238
"Cass",2021-01-30,"Cass",5604,1171,1019,44,42,2,108,0.208957887223412
"Cedar",2021-01-30,"Cedar",7973,1585,1391,19,18,1,175,0.198795936284962
"Cerro Gordo",2021-01-30,"Cerro Gordo",21408,4804,4319,72,61,11,413,0.224402092675635
"Cherokee",2021-01-30,"Cherokee",5343,1409,1232,28,24,4,149,0.263709526483249
"Chickasaw",2021-01-30,"Chickasaw",4766,1147,1053,12,11,1,82,0.240663029794377
"Clarke",2021-01-30,"Clarke",4223,843,694,9,9,0,140,0.199621122424816
"Clay",2021-01-30,"Clay",7396,1751,1537,21,17,4,193,0.236749594375338
"Clayton",2021-01-30,"Clayton",6179,1550,1382,49,41,8,119,0.250849652047257
"Clinton",2021-01-30,"Clinton",19464,4676,4128,69,63,6,479,0.240238388820386
"Crawford",2021-01-30,"Crawford",7926,2378,2122,24,21,3,232,0.300025233409034
"Dallas",2021-01-30,"Dallas",47226,9294,7985,72,61,11,1237,0.196798373777157
"Davis",2021-01-30,"Davis",2853,713,637,21,20,1,55,0.249912372940764
"Decatur",2021-01-30,"Decatur",3041,509,440,4,4,0,65,0.16737915159487
"Delaware",2021-01-30,"Delaware",7042,1786,1602,36,32,4,148,0.253621130360693
"Des Moines",2021-01-30,"Des Moines",18791,4028,3539,43,39,4,446,0.214357937310415
"Dickinson",2021-01-30,"Dickinson",9251,1909,1700,29,26,3,180,0.206356069614096
"Dubuque",2021-01-30,"Dubuque",51384,11800,10568,162,153,9,1070,0.229643468784057
"Emmet",2021-01-30,"Emmet",4495,1111,986,32,31,1,93,0.247163515016685
"Fayette",2021-01-30,"Fayette",8135,1693,1413,25,23,2,255,0.208113091579594
"Floyd",2021-01-30,"Floyd",6818,1430,1268,37,29,8,125,0.20973892637137
"Franklin",2021-01-30,"Franklin",4571,1054,903,19,18,1,132,0.230584117260993
"Fremont",2021-01-30,"Fremont",2388,531,468,8,6,2,55,0.222361809045226
"Greene",2021-01-30,"Greene",3685,702,648,7,7,0,47,0.190502035278155
"Grundy",2021-01-30,"Grundy",5173,1240,1105,28,23,5,107,0.239706166634448
"Guthrie",2021-01-30,"Guthrie",4986,1053,947,25,20,5,81,0.211191335740072
"Hamilton",2021-01-30,"Hamilton",6640,1645,1475,30,29,1,140,0.247740963855422
"Hancock",2021-01-30,"Hancock",5267,1345,1173,24,19,5,148,0.255363584583254
"Hardin",2021-01-30,"Hardin",7374,1600,1449,32,29,3,119,0.21697857336588
"Harrison",2021-01-30,"Harrison",5843,1607,1395,64,60,4,148,0.275029950367962
"Henry",2021-01-30,"Henry",9809,2712,2453,32,32,0,227,0.27648078295443
"Howard",2021-01-30,"Howard",3903,895,725,19,15,4,151,0.22931078657443
"Humboldt",2021-01-30,"Humboldt",4267,1085,969,19,16,3,97,0.254277009608624
"Ida",2021-01-30,"Ida",2873,778,673,30,29,1,75,0.27079707622694
"Iowa",2021-01-30,"Iowa",7200,1308,1136,22,21,1,150,0.181666666666667
"Jackson",2021-01-30,"Jackson",7990,1991,1768,32,31,1,191,0.24918648310388
"Jasper",2021-01-30,"Jasper",15710,3390,2885,61,58,3,444,0.215786123488224
"Jefferson",2021-01-30,"Jefferson",6669,1235,1034,25,22,3,176,0.185185185185185
"Johnson",2021-01-30,"Johnson",70245,12437,11128,56,52,4,1253,0.177051747455335
"Jones",2021-01-30,"Jones",8810,2776,2573,51,49,2,152,0.315096481271283
"Keokuk",2021-01-30,"Keokuk",3613,867,788,26,26,0,53,0.23996678660393
"Kossuth",2021-01-30,"Kossuth",6943,1850,1546,45,42,3,259,0.266455422727927
"Lee",2021-01-30,"Lee",14118,3347,2884,35,29,6,428,0.237073239835671
"Linn",2021-01-30,"Linn",103037,18437,16503,282,257,25,1652,0.178935722119239
"Louisa",2021-01-30,"Louisa",4851,1178,1055,31,26,5,92,0.242836528550814
"Lucas",2021-01-30,"Lucas",3347,677,581,11,10,1,85,0.202270690170302
"Lyon",2021-01-30,"Lyon",4101,1393,1242,34,31,3,117,0.339673250426725
