"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4865,1386,1219,46,121,0.284892086330935,2022-01-11
"2","Adams",2366,661,608,12,41,0.279374471682164,2022-01-11
"3","Allamakee",8628,2475,2139,58,278,0.286856745479833,2022-01-11
"4","Appanoose",8648,2412,2128,60,224,0.27890841813136,2022-01-11
"5","Audubon",3845,912,796,18,98,0.237191157347204,2022-01-11
"6","Benton",18046,5067,4316,68,683,0.280782444863128,2022-01-11
"7","Black Hawk",99138,27397,22543,417,4437,0.276352155581109,2022-01-11
"8","Boone",19078,4638,4072,46,520,0.243107243945906,2022-01-11
"9","Bremer",16927,4683,4095,75,513,0.276658592780764,2022-01-11
"10","Buchanan",13444,3777,3301,46,430,0.280943171675097,2022-01-11
"11","Buena Vista",19389,5408,5026,51,331,0.27892103770179,2022-01-11
"12","Butler",9734,2704,2438,48,218,0.27778919252106,2022-01-11
"13","Calhoun",7142,2227,2012,20,195,0.311817418090171,2022-01-11
"14","Carroll",14689,4180,3720,58,402,0.284566682551569,2022-01-11
"15","Cass",8785,2587,2339,73,175,0.29447922595333,2022-01-11
"16","Cedar",12847,3282,2768,27,487,0.255468202693236,2022-01-11
"17","Cerro Gordo",34440,9441,8450,146,845,0.274128919860627,2022-01-11
"18","Cherokee",8083,2485,2175,54,256,0.307435358159099,2022-01-11
"19","Chickasaw",7778,2248,1975,27,246,0.289020313705323,2022-01-11
"20","Clarke",6946,1878,1660,31,187,0.270371436798157,2022-01-11
"21","Clay",11236,3354,2983,40,331,0.298504805980776,2022-01-11
"22","Clayton",10400,2949,2639,67,243,0.283557692307692,2022-01-11
"23","Clinton",32788,9540,8482,124,934,0.29096010735635,2022-01-11
"24","Crawford",11526,3979,3591,49,339,0.345219503730696,2022-01-11
"25","Dallas",76429,18569,15960,125,2484,0.242957516126078,2022-01-11
"26","Davis",4926,1423,1276,27,120,0.288875355257816,2022-01-11
"27","Decatur",4992,1232,1104,22,106,0.246794871794872,2022-01-11
"28","Delaware",11223,3493,3125,64,304,0.311235854940747,2022-01-11
"29","Des Moines",28881,7807,7149,115,543,0.270316124787923,2022-01-11
"30","Dickinson",13379,3586,3218,61,307,0.268031990432768,2022-01-11
"31","Dubuque",77289,22044,19500,271,2273,0.285215231145441,2022-01-11
"32","Emmet",6843,2044,1811,49,184,0.298699400847581,2022-01-11
"33","Fayette",13006,3400,2939,62,399,0.261417807165923,2022-01-11
"34","Floyd",10944,2951,2664,58,229,0.269645467836257,2022-01-11
"35","Franklin",7689,2116,1915,35,166,0.275198335284172,2022-01-11
"36","Fremont",4007,1120,1005,19,96,0.279510856001996,2022-01-11
"37","Greene",5838,1452,1295,19,138,0.248715313463515,2022-01-11
"38","Grundy",7875,2129,1891,39,199,0.270349206349206,2022-01-11
"39","Guthrie",8218,1958,1748,41,169,0.238257483572645,2022-01-11
"40","Hamilton",10694,2962,2629,63,270,0.276977744529643,2022-01-11
"41","Hancock",8317,2486,2285,45,156,0.298905855476734,2022-01-11
"42","Hardin",12219,3391,2966,55,370,0.277518618544889,2022-01-11
"43","Harrison",8892,2826,2487,85,254,0.317813765182186,2022-01-11
"44","Henry",15709,4736,4267,58,411,0.301483226176077,2022-01-11
"45","Howard",6277,1742,1574,26,142,0.277521108809941,2022-01-11
"46","Humboldt",6639,2329,1904,35,390,0.350805844253653,2022-01-11
"47","Ida",4683,1498,1348,44,106,0.319880418535127,2022-01-11
"48","Iowa",11510,2874,2416,38,420,0.249695916594266,2022-01-11
"49","Jackson",13046,3958,3473,61,424,0.303388011651081,2022-01-11
"50","Jasper",26031,7255,6463,95,697,0.278706158042334,2022-01-11
"51","Jefferson",12640,2747,2386,46,315,0.217325949367089,2022-01-11
"52","Johnson",117707,26203,20439,119,5645,0.222612079145675,2022-01-11
"53","Jones",13911,4685,4219,68,398,0.336783840126519,2022-01-11
"54","Keokuk",6459,1737,1541,44,152,0.268927078495123,2022-01-11
"55","Kossuth",10776,3427,3005,83,339,0.318021529324425,2022-01-11
"56","Lee",23094,6707,6096,116,495,0.290421754568286,2022-01-11
"57","Linn",168426,42037,33957,487,7593,0.249587355871421,2022-01-11
"58","Louisa",7703,2113,1854,56,203,0.27430871089186,2022-01-11
"59","Lucas",5562,1453,1286,29,138,0.26123696512046,2022-01-11
"60","Lyon",6788,2407,2107,44,256,0.354596346493813,2022-01-11
"61","Madison",10844,2694,2416,28,250,0.248432312799705,2022-01-11
"62","Mahaska",15162,4210,3795,74,341,0.277667853845139,2022-01-11
"63","Marion",23070,6433,5773,108,552,0.278846987429562,2022-01-11
"64","Marshall",29302,7774,6791,95,888,0.26530612244898,2022-01-11
"65","Mills",10254,2649,2338,33,278,0.258338209479228,2022-01-11
"66","Mitchell",7268,2135,1876,48,211,0.293753439735828,2022-01-11
"67","Monona",4959,1390,1264,41,85,0.280298447267594,2022-01-11
"68","Monroe",4970,1625,1453,43,129,0.326961770623742,2022-01-11
"69","Montgomery",6193,1792,1629,48,115,0.289358953657355,2022-01-11
"70","Muscatine",29973,7895,6801,122,972,0.263403730023688,2022-01-11
"71","O'Brien",8814,2867,2504,67,296,0.325277966870887,2022-01-11
"72","Osceola",3446,1208,1063,20,125,0.350551363900174,2022-01-11
"73","Page",8962,2985,2795,39,151,0.333072974782415,2022-01-11
"74","Palo Alto",5996,1737,1534,33,170,0.289693128752502,2022-01-11
"75","Pending Investigation",4417,61,28,0,33,0.0138102784695495,2022-01-11
"76","Plymouth",16770,5500,4939,93,468,0.327966607036374,2022-01-11
"77","Pocahontas",4611,1367,1226,25,116,0.29646497505964,2022-01-11
"78","Polk",390777,98575,83704,902,13969,0.252253842984618,2022-01-11
"79","Pottawattamie",66151,19245,16708,258,2279,0.290925307251591,2022-01-11
"80","Poweshiek",12698,2861,2510,52,299,0.22531107260986,2022-01-11
"81","Ringgold",3269,922,821,31,70,0.282043438360355,2022-01-11
"82","Sac",7035,1991,1788,28,175,0.283013503909026,2022-01-11
"83","Scott",123196,34105,28438,328,5339,0.276835286859963,2022-01-11
"84","Shelby",7551,2305,2058,46,201,0.305257581777248,2022-01-11
"85","Sioux",21527,6978,6234,78,666,0.324151066103033,2022-01-11
"86","Story",73168,16084,14245,69,1770,0.219822873387273,2022-01-11
"87","Tama",11339,3283,2851,81,351,0.289531704735867,2022-01-11
"88","Taylor",3555,1116,1031,21,64,0.313924050632911,2022-01-11
"89","Union",9004,2311,2056,45,210,0.256663705019991,2022-01-11
"90","Van Buren",4084,1154,984,24,146,0.28256611165524,2022-01-11
"91","Wapello",26273,7515,6686,164,665,0.286035093061318,2022-01-11
"92","Warren",39004,10139,8869,117,1153,0.259947697672034,2022-01-11
"93","Washington",18197,4721,4020,69,632,0.259438368961917,2022-01-11
"94","Wayne",3753,1017,895,26,96,0.270983213429257,2022-01-11
"95","Webster",28620,8936,7610,137,1189,0.312229210342418,2022-01-11
"96","Winnebago",8784,2554,2323,41,190,0.290755919854281,2022-01-11
"97","Winneshiek",14096,3219,2800,45,374,0.228362656072645,2022-01-11
"98","Woodbury",80326,23750,20837,293,2620,0.295670144162538,2022-01-11
"99","Worth",5448,1454,1280,10,164,0.266886930983847,2022-01-11
"100","Wright",10381,3212,2731,54,427,0.309411424718235,2022-01-11
"101","Totals",2332637,626336,540481,8201,77654,0.26850984529526,2022-01-11
