"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-09,"Adair",11919,958,793,32,22,10,3602,839,14,2021-04-09
"Adams",2021-04-09,"Adams",5304,335,316,4,4,0,1577,321,1,2021-04-09
"Allamakee",2021-04-09,"Allamakee",20388,1541,1416,51,41,10,6171,1489,22,2021-04-09
"Appanoose",2021-04-09,"Appanoose",17077,1428,1191,47,43,4,5983,1258,20,2021-04-09
"Audubon",2021-04-09,"Audubon",11491,509,467,9,8,1,2625,490,14,2021-04-09
"Benton",2021-04-09,"Benton",35617,2642,2386,55,44,11,12722,2485,44,2021-04-09
"Black Hawk",2021-04-09,"Black Hawk",204711,16835,14772,306,283,23,69915,15406,328,2021-04-09
"Boone",2021-04-09,"Boone",42451,2736,2442,31,29,2,13789,2549,76,2021-04-09
"Bremer",2021-04-09,"Bremer",37487,2912,2668,60,51,9,12242,2779,51,2021-04-09
"Buchanan",2021-04-09,"Buchanan",29460,1968,1759,31,26,5,9433,1864,74,2021-04-09
"Buena Vista",2021-04-09,"Buena Vista",43426,4849,4100,40,36,4,14713,4205,65,2021-04-09
"Butler",2021-04-09,"Butler",28308,1706,1559,34,30,4,7000,1615,22,2021-04-09
"Calhoun",2021-04-09,"Calhoun",17631,1380,1293,11,11,0,5279,1330,26,2021-04-09
"Carroll",2021-04-09,"Carroll",34976,2973,2667,50,43,7,11325,2775,58,2021-04-09
"Cass",2021-04-09,"Cass",19928,1413,1261,54,48,6,6306,1337,22,2021-04-09
"Cedar",2021-04-09,"Cedar",29290,1900,1728,23,21,2,9113,1821,70,2021-04-09
"Cerro Gordo",2021-04-09,"Cerro Gordo",73004,5552,4956,86,72,14,24748,5167,125,2021-04-09
"Cherokee",2021-04-09,"Cherokee",20143,1662,1447,38,30,8,6010,1557,72,2021-04-09
"Chickasaw",2021-04-09,"Chickasaw",16737,1283,1194,15,13,2,5421,1218,9,2021-04-09
"Clarke",2021-04-09,"Clarke",12801,1037,941,23,22,1,4855,978,14,2021-04-09
"Clay",2021-04-09,"Clay",28543,2180,1866,25,20,5,8358,2068,177,2021-04-09
"Clayton",2021-04-09,"Clayton",23794,1735,1559,55,46,9,7058,1652,38,2021-04-09
"Clinton",2021-04-09,"Clinton",59742,5754,4981,89,77,12,22588,5285,215,2021-04-09
"Crawford",2021-04-09,"Crawford",26395,2849,2531,39,34,5,8775,2607,37,2021-04-09
"Dallas",2021-04-09,"Dallas",122130,12082,10266,96,84,12,53899,10782,420,2021-04-09
"Davis",2021-04-09,"Davis",10578,868,748,24,23,1,3440,798,26,2021-04-09
"Decatur",2021-04-09,"Decatur",10084,602,574,9,9,0,3537,587,4,2021-04-09
"Delaware",2021-04-09,"Delaware",26514,2037,1832,39,35,4,8010,1994,123,2021-04-09
"Des Moines",2021-04-09,"Des Moines",53596,4714,4259,64,53,11,21058,4375,52,2021-04-09
"Dickinson",2021-04-09,"Dickinson",25260,2546,2057,43,37,6,10373,2365,265,2021-04-09
"Dubuque",2021-04-09,"Dubuque",180266,14195,12291,202,188,14,56833,12956,463,2021-04-09
"Emmet",2021-04-09,"Emmet",16191,1344,1119,40,38,2,5070,1260,101,2021-04-09
"Fayette",2021-04-09,"Fayette",34033,1905,1762,41,36,5,9235,1825,22,2021-04-09
"Floyd",2021-04-09,"Floyd",24293,1710,1451,42,32,10,7671,1537,44,2021-04-09
"Franklin",2021-04-09,"Franklin",18807,1221,1076,21,19,2,5260,1121,24,2021-04-09
"Fremont",2021-04-09,"Fremont",7001,631,555,10,8,2,2638,599,34,2021-04-09
"Greene",2021-04-09,"Greene",14261,810,728,10,10,0,4104,762,24,2021-04-09
