"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",4256,1009,908,34,67,0.237077067669173,2021-10-06
"2","Adams",1962,481,374,4,103,0.245158002038736,2021-10-06
"3","Allamakee",7617,1892,1653,52,187,0.248391755284233,2021-10-06
"4","Appanoose",7550,1711,1375,50,286,0.226622516556291,2021-10-06
"5","Audubon",3259,631,558,14,59,0.19361767413317,2021-10-06
"6","Benton",15797,3447,2932,56,459,0.218205988478825,2021-10-06
"7","Black Hawk",86808,19873,18499,345,1029,0.228930513316745,2021-10-06
"8","Boone",16896,3378,2949,36,393,0.199928977272727,2021-10-06
"9","Bremer",14857,3469,3120,66,283,0.233492629736824,2021-10-06
"10","Buchanan",11686,2651,2231,39,381,0.226852644189629,2021-10-06
"11","Buena Vista",17889,4866,4626,43,197,0.272010732852591,2021-10-06
"12","Butler",8491,2000,1826,37,137,0.235543516664704,2021-10-06
"13","Calhoun",6436,1825,1582,13,230,0.283561218147918,2021-10-06
"14","Carroll",13249,3384,3026,53,305,0.255415503056834,2021-10-06
"15","Cass",7581,1821,1465,56,300,0.240205777601899,2021-10-06
"16","Cedar",11139,2393,2115,25,253,0.214830774755364,2021-10-06
"17","Cerro Gordo",30144,6693,6000,107,586,0.22203423566879,2021-10-06
"18","Cherokee",7114,1896,1693,41,162,0.266516727579421,2021-10-06
"19","Chickasaw",6669,1523,1342,18,163,0.228370070475334,2021-10-06
"20","Clarke",6084,1383,1180,27,176,0.227317554240631,2021-10-06
"21","Clay",10182,2710,2310,29,371,0.266155961500687,2021-10-06
"22","Clayton",8902,2067,1833,58,176,0.232195012356774,2021-10-06
"23","Clinton",28439,6659,5957,99,603,0.23415028657829,2021-10-06
"24","Crawford",10465,3346,3111,45,190,0.319732441471572,2021-10-06
"25","Dallas",66965,13672,12397,102,1173,0.204166355558874,2021-10-06
"26","Davis",4427,1123,972,25,126,0.25367065733002,2021-10-06
"27","Decatur",4248,795,717,12,66,0.187146892655367,2021-10-06
"28","Delaware",9690,2498,2254,44,200,0.257791537667699,2021-10-06
"29","Des Moines",26400,6463,5684,88,691,0.244810606060606,2021-10-06
"30","Dickinson",12143,2914,2594,51,269,0.239973647368854,2021-10-06
"31","Dubuque",67749,15262,14094,226,942,0.225272697751996,2021-10-06
"32","Emmet",6127,1604,1397,42,165,0.261792067896197,2021-10-06
"33","Fayette",11434,2466,2083,47,336,0.21567255553612,2021-10-06
"34","Floyd",9458,2098,1773,43,282,0.221822795517023,2021-10-06
"35","Franklin",6800,1601,1413,26,162,0.235441176470588,2021-10-06
"36","Fremont",3406,810,717,11,82,0.237815619495009,2021-10-06
"37","Greene",5104,1116,908,12,196,0.218652037617555,2021-10-06
"38","Grundy",6943,1650,1505,37,108,0.237649431081665,2021-10-06
"39","Guthrie",7131,1491,1320,33,138,0.20908708456037,2021-10-06
"40","Hamilton",9321,2262,2018,53,191,0.242677824267782,2021-10-06
"41","Hancock",7380,1812,1606,39,167,0.245528455284553,2021-10-06
"42","Hardin",10723,2603,2130,48,425,0.242749230625758,2021-10-06
"43","Harrison",7709,2131,1870,77,184,0.276430146581917,2021-10-06
"44","Henry",13621,3713,3291,42,380,0.272593789002276,2021-10-06
"45","Howard",5520,1217,1107,22,88,0.220471014492754,2021-10-06
"46","Humboldt",5719,1593,1388,26,179,0.278545200209827,2021-10-06
"47","Ida",4087,1145,993,40,112,0.280156594078786,2021-10-06
"48","Iowa",10047,1995,1668,27,300,0.198566736339206,2021-10-06
"49","Jackson",11164,2651,2353,45,253,0.237459691866714,2021-10-06
"50","Jasper",22795,5598,4923,76,599,0.245580171090151,2021-10-06
"51","Jefferson",10769,1929,1572,38,319,0.179125266970006,2021-10-06
"52","Johnson",101464,17613,16078,98,1437,0.173588661988489,2021-10-06
"53","Jones",12184,3570,3174,59,337,0.293007222586999,2021-10-06
"54","Keokuk",5510,1345,1082,34,229,0.244101633393829,2021-10-06
"55","Kossuth",9644,2656,2358,72,226,0.275404396515968,2021-10-06
"56","Lee",20677,5533,4924,86,523,0.26759201044639,2021-10-06
"57","Linn",146834,28135,24393,375,3367,0.191610934797118,2021-10-06
"58","Louisa",6824,1677,1448,51,178,0.245750293083236,2021-10-06
"59","Lucas",4852,1088,870,24,194,0.224237427864798,2021-10-06
"60","Lyon",5758,1874,1666,41,167,0.325460229246266,2021-10-06
"61","Madison",9645,2099,1878,23,198,0.217625712804562,2021-10-06
