"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",985,98,75,0,23,NA,NA,NA,NA
"2","2020-08-01",1002,99,78,0,21,1,17,0,0.0588235294117647
