"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2020-12-21,"Adair",2876,551,408,17,13,4,126,0.191585535465925
"Adams",2020-12-21,"Adams",1234,235,155,2,2,0,78,0.190437601296596
"Allamakee",2020-12-21,"Allamakee",4795,1096,718,19,15,4,359,0.228571428571429
"Appanoose",2020-12-21,"Appanoose",4664,914,737,34,34,0,143,0.195969125214408
"Audubon",2020-12-21,"Audubon",1960,343,282,7,7,0,54,0.175
"Benton",2020-12-21,"Benton",10042,1926,1590,34,30,4,302,0.191794463254332
"Black Hawk",2020-12-21,"Black Hawk",55816,12234,10376,207,194,13,1651,0.219184463236348
"Boone",2020-12-21,"Boone",10470,1733,1308,15,13,2,410,0.165520534861509
"Bremer",2020-12-21,"Bremer",9274,2183,1836,40,37,3,307,0.235389260297606
"Buchanan",2020-12-21,"Buchanan",7459,1378,1104,16,15,1,258,0.184743263172007
"Buena Vista",2020-12-21,"Buena Vista",12578,3542,2925,22,19,3,595,0.281602798537128
"Butler",2020-12-21,"Butler",5461,1189,932,16,15,1,241,0.217725691265336
"Calhoun",2020-12-21,"Calhoun",4479,1157,992,9,9,0,156,0.258316588524224
"Carroll",2020-12-21,"Carroll",9336,2261,1880,27,21,6,354,0.242180805484147
"Cass",2020-12-21,"Cass",4972,984,742,38,36,2,204,0.197908286403862
"Cedar",2020-12-21,"Cedar",7107,1311,1001,17,16,1,293,0.184466019417476
"Cerro Gordo",2020-12-21,"Cerro Gordo",19245,4165,3271,56,48,8,838,0.216419849311509
"Cherokee",2020-12-21,"Cherokee",4716,1156,762,18,16,2,376,0.245122985581001
"Chickasaw",2020-12-21,"Chickasaw",4223,996,807,10,9,1,179,0.23585129055174
"Clarke",2020-12-21,"Clarke",3595,594,457,6,6,0,131,0.165229485396384
"Clay",2020-12-21,"Clay",6712,1486,1076,11,8,3,399,0.221394517282479
"Clayton",2020-12-21,"Clayton",5479,1298,1031,36,32,4,231,0.236904544624932
"Clinton",2020-12-21,"Clinton",17298,3944,3086,52,47,5,806,0.228003237368482
"Crawford",2020-12-21,"Crawford",7232,2006,1700,17,14,3,289,0.277378318584071
"Dallas",2020-12-21,"Dallas",41972,7498,6015,62,52,10,1421,0.178642904793672
"Davis",2020-12-21,"Davis",2491,605,449,18,17,1,138,0.242874347651546
"Decatur",2020-12-21,"Decatur",2626,393,313,3,3,0,77,0.14965727341965
"Delaware",2020-12-21,"Delaware",6432,1584,1363,28,27,1,193,0.246268656716418
"Des Moines",2020-12-21,"Des Moines",16883,3365,2689,31,28,3,645,0.199312918320204
"Dickinson",2020-12-21,"Dickinson",8494,1641,1273,13,11,2,355,0.193195196609371
"Dubuque",2020-12-21,"Dubuque",46887,10250,8788,133,126,7,1329,0.218610702326871
"Emmet",2020-12-21,"Emmet",4034,942,731,23,22,1,188,0.233515121467526
"Fayette",2020-12-21,"Fayette",7130,1243,976,15,14,1,252,0.174333800841515
"Floyd",2020-12-21,"Floyd",6176,1233,946,31,23,8,256,0.19964378238342
"Franklin",2020-12-21,"Franklin",4020,849,671,17,16,1,161,0.211194029850746
"Fremont",2020-12-21,"Fremont",2141,442,361,5,3,2,76,0.206445586174685
"Greene",2020-12-21,"Greene",3415,617,494,7,7,0,116,0.180673499267936
"Grundy",2020-12-21,"Grundy",4497,1003,791,14,12,2,198,0.223037580609295
"Guthrie",2020-12-21,"Guthrie",4483,887,702,22,17,5,163,0.197858576845862
"Hamilton",2020-12-21,"Hamilton",5995,1395,1032,21,21,0,342,0.232693911592994
"Hancock",2020-12-21,"Hancock",4685,1113,804,23,19,4,286,0.237566702241195
"Hardin",2020-12-21,"Hardin",6659,1393,1080,24,22,2,289,0.209190569154528
"Harrison",2020-12-21,"Harrison",5200,1330,1005,51,48,3,274,0.255769230769231
"Henry",2020-12-21,"Henry",8947,2398,1801,21,21,0,576,0.268022800938862
"Howard",2020-12-21,"Howard",3429,664,490,15,11,4,159,0.193642461358997
"Humboldt",2020-12-21,"Humboldt",3821,908,716,18,15,3,174,0.237634127191835
"Ida",2020-12-21,"Ida",2580,668,437,21,20,1,210,0.258914728682171
"Iowa",2020-12-21,"Iowa",6445,1103,864,19,19,0,220,0.171140418929403
"Jackson",2020-12-21,"Jackson",7122,1719,1425,29,28,1,265,0.241364785172704
"Jasper",2020-12-21,"Jasper",14012,2685,2038,50,48,2,597,0.191621467313731
"Jefferson",2020-12-21,"Jefferson",5837,909,656,20,19,1,233,0.155730683570327
"Johnson",2020-12-21,"Johnson",63058,10625,9030,45,41,4,1550,0.168495670652415
"Jones",2020-12-21,"Jones",8037,2526,2238,38,37,1,250,0.314296379245987
"Keokuk",2020-12-21,"Keokuk",3235,754,541,19,19,0,194,0.233075734157651
"Kossuth",2020-12-21,"Kossuth",6139,1441,943,25,24,1,473,0.234728783189445
"Lee",2020-12-21,"Lee",12577,2719,1917,23,19,4,779,0.216188280194005
"Linn",2020-12-21,"Linn",92771,15999,13326,231,217,14,2442,0.172456910025762
"Louisa",2020-12-21,"Louisa",4366,1003,803,23,19,4,177,0.22972972972973
"Lucas",2020-12-21,"Lucas",2884,471,306,7,7,0,158,0.163314840499307
"Lyon",2020-12-21,"Lyon",3651,1188,958,21,19,2,209,0.325390304026294
"Madison",2020-12-21,"Madison",5718,885,651,8,7,1,226,0.154774396642183
"Mahaska",2020-12-21,"Mahaska",8143,1587,1195,32,30,2,360,0.194891317696181
"Marion",2020-12-21,"Marion",11996,2508,1934,40,35,5,534,0.209069689896632
"Marshall",2020-12-21,"Marshall",16501,3883,3305,53,50,3,525,0.23531907157142
"Mills",2020-12-21,"Mills",6418,1237,1024,13,12,1,200,0.192739171081334
"Mitchell",2020-12-21,"Mitchell",4450,959,729,24,24,0,206,0.215505617977528
"Monona",2020-12-21,"Monona",3000,527,395,14,13,1,118,0.175666666666667
"Monroe",2020-12-21,"Monroe",2466,562,415,16,15,1,131,0.227899432278994
"Montgomery",2020-12-21,"Montgomery",3372,674,432,13,12,1,229,0.19988137603796
"Muscatine",2020-12-21,"Muscatine",16957,3410,2698,72,65,7,640,0.20109689213894
"O'Brien",2020-12-21,"O'Brien",5429,1534,1240,48,44,4,246,0.282556640265242
"Osceola",2020-12-21,"Osceola",1983,600,501,6,6,0,93,0.302571860816944
"Page",2020-12-21,"Page",4952,1318,1156,13,13,0,149,0.266155088852989
"Palo Alto",2020-12-21,"Palo Alto",3646,781,606,6,6,0,169,0.214207350521119
"Pending Investigation",2020-12-21,"Pending Investigation",8972,486,390,0,0,0,96,0.0541685242978154
