"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-07,"Adair",3246,721,645,25,19,6,51,0.222119531731362
"Adams",2021-02-07,"Adams",1430,313,287,3,3,0,23,0.218881118881119
"Allamakee",2021-02-07,"Allamakee",5416,1350,1206,39,33,6,105,0.249261447562777
"Appanoose",2021-02-07,"Appanoose",5373,1160,1021,45,43,2,94,0.215894286246045
"Audubon",2021-02-07,"Audubon",2330,444,388,9,8,1,47,0.190557939914163
"Benton",2021-02-07,"Benton",11260,2221,2003,52,42,10,166,0.197246891651865
"Black Hawk",2021-02-07,"Black Hawk",64006,14550,13234,265,250,15,1051,0.227322438521389
"Boone",2021-02-07,"Boone",12246,2322,2075,25,23,2,222,0.189612934835865
"Bremer",2021-02-07,"Bremer",10976,2573,2360,52,46,6,161,0.23442055393586
"Buchanan",2021-02-07,"Buchanan",8461,1686,1524,26,24,2,136,0.199267226096206
"Buena Vista",2021-02-07,"Buena Vista",13729,4024,3828,36,33,3,160,0.293102192439362
"Butler",2021-02-07,"Butler",6333,1551,1398,29,26,3,124,0.244907626717196
"Calhoun",2021-02-07,"Calhoun",4854,1257,1201,9,9,0,47,0.258961681087763
"Carroll",2021-02-07,"Carroll",10383,2608,2452,45,38,7,111,0.251179813156121
"Cass",2021-02-07,"Cass",5698,1205,1059,46,44,2,100,0.211477711477711
"Cedar",2021-02-07,"Cedar",8095,1607,1436,20,19,1,151,0.198517603458925
"Cerro Gordo",2021-02-07,"Cerro Gordo",21740,4875,4465,76,64,12,334,0.224241030358786
"Cherokee",2021-02-07,"Cherokee",5398,1416,1312,35,29,6,69,0.26231937754724
"Chickasaw",2021-02-07,"Chickasaw",4829,1157,1094,12,11,1,51,0.239594118865189
"Clarke",2021-02-07,"Clarke",4339,880,730,18,18,0,132,0.202811707766767
"Clay",2021-02-07,"Clay",7518,1780,1602,25,20,5,153,0.236765097100293
"Clayton",2021-02-07,"Clayton",6271,1568,1448,52,44,8,68,0.250039866050072
"Clinton",2021-02-07,"Clinton",19848,4781,4329,76,69,7,376,0.240880693268843
"Crawford",2021-02-07,"Crawford",8027,2423,2218,34,30,4,171,0.301856235206179
"Dallas",2021-02-07,"Dallas",48095,9559,8474,84,73,11,1001,0.198752469071629
"Davis",2021-02-07,"Davis",2940,730,663,23,22,1,44,0.248299319727891
"Decatur",2021-02-07,"Decatur",3198,526,468,7,7,0,51,0.16447779862414
"Delaware",2021-02-07,"Delaware",7141,1817,1651,37,33,4,129,0.25444615600056
"Des Moines",2021-02-07,"Des Moines",19103,4094,3678,54,47,7,362,0.214311888185102
"Dickinson",2021-02-07,"Dickinson",9372,1930,1782,37,31,6,111,0.205932565087495
"Dubuque",2021-02-07,"Dubuque",51958,11962,10935,185,174,11,842,0.230224412025097
"Emmet",2021-02-07,"Emmet",4561,1124,1037,37,36,1,50,0.246437184827889
