"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-13,"Adair",3281,761,663,25,19,6,73,0.231941481255715
"Adams",2021-02-13,"Adams",1447,316,294,3,3,0,19,0.218382861091914
"Allamakee",2021-02-13,"Allamakee",5492,1370,1236,41,35,6,93,0.249453750910415
"Appanoose",2021-02-13,"Appanoose",5459,1189,1058,46,43,3,85,0.217805458875252
"Audubon",2021-02-13,"Audubon",2374,452,401,9,8,1,42,0.190395956192081
"Benton",2021-02-13,"Benton",11399,2275,2037,53,43,10,185,0.19957891043074
"Black Hawk",2021-02-13,"Black Hawk",64663,14679,13507,274,258,16,898,0.227007716932403
"Boone",2021-02-13,"Boone",12387,2361,2144,27,25,2,190,0.190603051586341
"Bremer",2021-02-13,"Bremer",11104,2607,2402,53,47,6,152,0.234780259365994
"Buchanan",2021-02-13,"Buchanan",8557,1712,1566,26,24,2,120,0.200070118032021
"Buena Vista",2021-02-13,"Buena Vista",13831,4040,3892,36,33,3,112,0.292097462222544
"Butler",2021-02-13,"Butler",6423,1561,1450,30,27,3,81,0.243032850692823
"Calhoun",2021-02-13,"Calhoun",4901,1264,1212,9,9,0,43,0.257906549683738
"Carroll",2021-02-13,"Carroll",10469,2623,2492,46,39,7,85,0.250549240615149
"Cass",2021-02-13,"Cass",5778,1228,1083,46,44,2,99,0.212530287296642
"Cedar",2021-02-13,"Cedar",8185,1626,1489,20,19,1,117,0.198656078191814
"Cerro Gordo",2021-02-13,"Cerro Gordo",22012,4920,4565,79,67,12,276,0.223514446665455
"Cherokee",2021-02-13,"Cherokee",5436,1423,1346,35,29,6,42,0.26177336276674
"Chickasaw",2021-02-13,"Chickasaw",4884,1171,1111,13,12,1,47,0.23976248976249
"Clarke",2021-02-13,"Clarke",4435,905,764,19,19,0,122,0.204058624577227
"Clay",2021-02-13,"Clay",7618,1809,1638,25,20,5,146,0.237463901286427
"Clayton",2021-02-13,"Clayton",6346,1576,1474,53,45,8,49,0.248345414434289
"Clinton",2021-02-13,"Clinton",20112,4855,4436,78,70,8,341,0.241398170246619
"Crawford",2021-02-13,"Crawford",8120,2449,2251,34,30,4,164,0.301600985221675
"Dallas",2021-02-13,"Dallas",48779,9766,8762,84,73,11,920,0.200209106377745
"Davis",2021-02-13,"Davis",2996,742,674,23,22,1,45,0.247663551401869
"Decatur",2021-02-13,"Decatur",3230,535,484,8,8,0,43,0.165634674922601
"Delaware",2021-02-13,"Delaware",7236,1835,1685,38,33,5,112,0.25359314538419
"Des Moines",2021-02-13,"Des Moines",19297,4147,3770,55,48,7,322,0.214903871068042
"Dickinson",2021-02-13,"Dickinson",9466,1963,1811,37,31,6,115,0.207373758715403
"Dubuque",2021-02-13,"Dubuque",52455,12110,11159,187,176,11,764,0.230864550567153
"Emmet",2021-02-13,"Emmet",4605,1131,1057,39,37,2,35,0.245602605863192
"Fayette",2021-02-13,"Fayette",8420,1744,1577,31,28,3,136,0.207125890736342
"Floyd",2021-02-13,"Floyd",6988,1461,1348,38,30,8,75,0.209072696050372
"Franklin",2021-02-13,"Franklin",4706,1080,996,19,18,1,65,0.229494262643434
"Fremont",2021-02-13,"Fremont",2432,540,501,9,7,2,30,0.222039473684211
"Greene",2021-02-13,"Greene",3760,717,682,9,9,0,26,0.190691489361702
"Grundy",2021-02-13,"Grundy",5296,1285,1186,30,25,5,69,0.242635951661631
"Guthrie",2021-02-13,"Guthrie",5102,1069,1000,28,23,5,41,0.20952567620541
"Hamilton",2021-02-13,"Hamilton",6830,1701,1551,38,37,1,112,0.24904831625183
"Hancock",2021-02-13,"Hancock",5385,1356,1269,27,22,5,60,0.251810584958217
"Hardin",2021-02-13,"Hardin",7586,1649,1519,34,31,3,96,0.217374110203006
"Harrison",2021-02-13,"Harrison",5976,1644,1480,68,64,4,96,0.275100401606426
"Henry",2021-02-13,"Henry",10045,2759,2610,34,34,0,115,0.274664011946242
"Howard",2021-02-13,"Howard",4081,961,810,20,16,4,131,0.235481499632443
"Humboldt",2021-02-13,"Humboldt",4364,1109,1020,22,19,3,67,0.254124656278643
"Ida",2021-02-13,"Ida",2974,800,705,32,30,2,63,0.268997982515131
"Iowa",2021-02-13,"Iowa",7364,1351,1217,23,21,2,111,0.183460076045627
"Jackson",2021-02-13,"Jackson",8202,2056,1880,37,34,3,139,0.250670568154109
"Jasper",2021-02-13,"Jasper",16247,3558,3149,65,61,4,344,0.218994275866314
"Jefferson",2021-02-13,"Jefferson",7027,1263,1180,31,27,4,52,0.179735306674256
"Johnson",2021-02-13,"Johnson",72031,12802,11934,68,63,5,800,0.177729033332871
"Jones",2021-02-13,"Jones",9083,2823,2652,54,50,4,117,0.31080039634482
"Keokuk",2021-02-13,"Keokuk",3753,899,821,29,29,0,49,0.239541699973355
"Kossuth",2021-02-13,"Kossuth",7160,1921,1700,52,46,6,169,0.268296089385475
"Lee",2021-02-13,"Lee",14517,3449,3113,47,35,12,289,0.237583522766412
"Linn",2021-02-13,"Linn",106012,19061,17380,305,278,27,1376,0.179800399954722
"Louisa",2021-02-13,"Louisa",4953,1195,1110,41,34,7,44,0.241267918433273
"Lucas",2021-02-13,"Lucas",3449,688,637,18,15,3,33,0.199478109596985
"Lyon",2021-02-13,"Lyon",4221,1423,1318,40,36,4,65,0.337123904288083
"Madison",2021-02-13,"Madison",6937,1359,1183,16,12,4,160,0.195906011244054
"Mahaska",2021-02-13,"Mahaska",9499,2108,1872,44,39,5,192,0.221918096641752
"Marion",2021-02-13,"Marion",14191,3299,2997,66,58,8,236,0.232471284617011
"Marshall",2021-02-13,"Marshall",19222,4521,4200,69,63,6,252,0.235199250858391
"Mills",2021-02-13,"Mills",7132,1454,1344,20,17,3,90,0.203869882220976
"Mitchell",2021-02-13,"Mitchell",5023,1185,1129,40,38,2,16,0.235914791956998
"Monona",2021-02-13,"Monona",3441,750,658,23,22,1,69,0.21795989537925
"Monroe",2021-02-13,"Monroe",3071,867,789,27,21,6,51,0.282318463041355
"Montgomery",2021-02-13,"Montgomery",4079,953,819,36,34,2,98,0.23363569502329
"Muscatine",2021-02-13,"Muscatine",19435,4090,3777,87,78,9,226,0.210445073321328
"O'Brien",2021-02-13,"O'Brien",6107,1764,1635,58,54,4,71,0.288848861961683
"Osceola",2021-02-13,"Osceola",2219,658,626,13,11,2,19,0.296529968454259
"Page",2021-02-13,"Page",5562,1589,1468,17,16,1,104,0.285688601222582
"Palo Alto",2021-02-13,"Palo Alto",4088,974,887,19,17,2,68,0.23825831702544
"Pending Investigation",2021-02-13,"Pending Investigation",8799,1136,886,0,0,0,250,0.129105580179566
"Plymouth",2021-02-13,"Plymouth",12220,3609,3423,75,67,8,111,0.295335515548282
"Pocahontas",2021-02-13,"Pocahontas",3220,804,757,18,18,0,29,0.249689440993789
"Polk",2021-02-13,"Polk",247407,49845,44994,522,466,56,4329,0.201469643138634
"Pottawattamie",2021-02-13,"Pottawattamie",43502,9588,8835,139,124,15,614,0.220403659601857
"Poweshiek",2021-02-13,"Poweshiek",8080,1449,1303,29,27,2,117,0.179331683168317
"Ringgold",2021-02-13,"Ringgold",2194,490,437,16,15,1,37,0.223336371923428
"Sac",2021-02-13,"Sac",4873,1155,1092,17,17,0,46,0.237020316027088
"Scott",2021-02-13,"Scott",78158,16702,15282,195,183,12,1225,0.213695335090458
"Shelby",2021-02-13,"Shelby",4858,1124,988,32,29,3,104,0.231370934540963
"Sioux",2021-02-13,"Sioux",14537,4689,4486,67,64,3,136,0.322556235812066
"Story",2021-02-13,"Story",50680,9251,8597,43,38,5,611,0.182537490134175
"Tama",2021-02-13,"Tama",7768,1973,1810,63,61,2,100,0.253990731204943
"Taylor",2021-02-13,"Taylor",2337,627,589,11,9,2,27,0.268292682926829
"Union",2021-02-13,"Union",6064,1166,1060,31,26,5,75,0.192282321899736
"Van Buren",2021-02-13,"Van Buren",2473,528,481,17,14,3,30,0.213505863323898
"Wapello",2021-02-13,"Wapello",16101,3791,3357,105,102,3,329,0.235451214210297
"Warren",2021-02-13,"Warren",25237,4937,4340,67,63,4,530,0.195625470539288
"Washington",2021-02-13,"Washington",10784,2338,2131,41,39,2,166,0.216802670623145
"Wayne",2021-02-13,"Wayne",2013,437,394,21,17,4,22,0.217088922006955
"Webster",2021-02-13,"Webster",19975,4844,4608,83,70,13,153,0.242503128911139
"Winnebago",2021-02-13,"Winnebago",5550,1268,1156,30,25,5,82,0.228468468468468
"Winneshiek",2021-02-13,"Winneshiek",9155,1750,1525,26,22,4,199,0.191152375750956
"Woodbury",2021-02-13,"Woodbury",54212,13455,12796,205,191,14,454,0.248192282151553
"Worth",2021-02-13,"Worth",3354,647,597,4,3,1,46,0.192903995229577
"Wright",2021-02-13,"Wright",7374,1703,1609,31,26,5,63,0.230946569026309
"Total",2021-02-13,"Totals",1511672,328642,301175,5223,4714,509,22244,0.217402981599183
