"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-06-22,"Adair",12825,993,841,32,22,10,3841,873,0,2021-06-22
"Adams",2021-06-22,"Adams",6210,354,339,4,4,0,1694,344,1,2021-06-22
"Allamakee",2021-06-22,"Allamakee",22819,1587,1471,52,42,10,6619,1529,6,2021-06-22
"Appanoose",2021-06-22,"Appanoose",19290,1469,1236,49,44,5,6463,1290,5,2021-06-22
"Audubon",2021-06-22,"Audubon",13883,553,505,11,10,1,2891,534,18,2021-06-22
"Benton",2021-06-22,"Benton",40175,2768,2517,55,44,11,13731,2598,26,2021-06-22
"Black Hawk",2021-06-22,"Black Hawk",228583,17673,15611,312,288,24,74988,16163,240,2021-06-22
"Boone",2021-06-22,"Boone",46817,2871,2645,34,31,3,14794,2685,6,2021-06-22
"Bremer",2021-06-22,"Bremer",42392,3021,2802,61,51,10,13089,2886,23,2021-06-22
"Buchanan",2021-06-22,"Buchanan",33707,2054,1885,33,27,6,10120,1940,22,2021-06-22
"Buena Vista",2021-06-22,"Buena Vista",47205,4974,4219,40,36,4,15525,4270,11,2021-06-22
"Butler",2021-06-22,"Butler",31205,1758,1619,35,31,4,7504,1663,9,2021-06-22
"Calhoun",2021-06-22,"Calhoun",19767,1442,1376,13,12,1,5625,1389,0,2021-06-22
"Carroll",2021-06-22,"Carroll",39134,3084,2819,52,43,9,11978,2871,0,2021-06-22
"Cass",2021-06-22,"Cass",21819,1478,1341,55,49,6,6732,1392,-4,2021-06-22
"Cedar",2021-06-22,"Cedar",33808,2017,1885,23,21,2,9797,1923,15,2021-06-22
"Cerro Gordo",2021-06-22,"Cerro Gordo",83732,5983,5387,95,79,16,26966,5539,57,2021-06-22
"Cherokee",2021-06-22,"Cherokee",22280,1696,1551,38,30,8,6315,1593,4,2021-06-22
"Chickasaw",2021-06-22,"Chickasaw",18786,1320,1233,17,14,3,5834,1249,-1,2021-06-22
"Clarke",2021-06-22,"Clarke",14399,1073,981,24,22,2,5236,1009,4,2021-06-22
"Clay",2021-06-22,"Clay",32777,2282,2133,27,22,5,8969,2167,7,2021-06-22
"Clayton",2021-06-22,"Clayton",27259,1799,1655,57,48,9,7699,1712,0,2021-06-22
"Clinton",2021-06-22,"Clinton",69498,6096,5503,93,79,14,24981,5615,19,2021-06-22
"Crawford",2021-06-22,"Crawford",29922,2929,2641,40,35,5,9272,2682,1,2021-06-22
"Dallas",2021-06-22,"Dallas",136594,12639,11138,99,85,14,57990,11291,54,2021-06-22
"Davis",2021-06-22,"Davis",12021,925,817,25,23,2,3772,852,10,2021-06-22
"Decatur",2021-06-22,"Decatur",10999,632,608,9,9,0,3779,616,-1,2021-06-22
"Delaware",2021-06-22,"Delaware",31271,2159,2064,43,38,5,8613,2111,4,2021-06-22
"Des Moines",2021-06-22,"Des Moines",61628,5046,4581,72,60,12,22795,4675,22,2021-06-22
"Dickinson",2021-06-22,"Dickinson",29145,2686,2447,44,38,6,11072,2493,2,2021-06-22
"Dubuque",2021-06-22,"Dubuque",205462,14832,13238,211,195,16,60785,13511,62,2021-06-22
"Emmet",2021-06-22,"Emmet",18156,1437,1304,41,39,2,5520,1357,12,2021-06-22
"Fayette",2021-06-22,"Fayette",38489,1953,1816,43,38,5,9906,1867,8,2021-06-22
"Floyd",2021-06-22,"Floyd",27549,1816,1578,42,32,10,8308,1634,14,2021-06-22
"Franklin",2021-06-22,"Franklin",21657,1345,1194,23,21,2,5855,1235,18,2021-06-22
"Fremont",2021-06-22,"Fremont",8035,663,621,9,7,2,2843,626,-4,2021-06-22
"Greene",2021-06-22,"Greene",15780,829,769,11,10,1,4385,780,0,2021-06-22
"Grundy",2021-06-22,"Grundy",20300,1452,1336,33,27,6,6116,1373,4,2021-06-22
"Guthrie",2021-06-22,"Guthrie",20048,1317,1197,32,26,6,6153,1233,4,2021-06-22
"Hamilton",2021-06-22,"Hamilton",24653,2009,1762,51,46,5,8072,1819,6,2021-06-22
"Hancock",2021-06-22,"Hancock",23338,1601,1462,34,27,7,6534,1503,7,2021-06-22
"Hardin",2021-06-22,"Hardin",37732,2008,1826,44,34,10,9103,1873,3,2021-06-22
"Harrison",2021-06-22,"Harrison",22466,1936,1725,73,69,4,6798,1800,2,2021-06-22
"Henry",2021-06-22,"Henry",38917,3101,2898,37,36,1,11732,2946,11,2021-06-22
"Howard",2021-06-22,"Howard",17859,1100,1023,22,18,4,4888,1050,5,2021-06-22
"Humboldt",2021-06-22,"Humboldt",16233,1246,1170,26,23,3,4978,1196,0,2021-06-22
"Ida",2021-06-22,"Ida",13218,1028,871,35,32,3,3545,916,10,2021-06-22
"Iowa",2021-06-22,"Iowa",31582,1560,1477,24,22,2,8687,1497,-4,2021-06-22
"Jackson",2021-06-22,"Jackson",28000,2387,2206,42,39,3,9847,2252,4,2021-06-22
"Jasper",2021-06-22,"Jasper",55496,4562,4131,72,67,5,19638,4212,9,2021-06-22
"Jefferson",2021-06-22,"Jefferson",22539,1458,1302,35,29,6,8405,1334,-3,2021-06-22
"Johnson",2021-06-22,"Johnson",226995,15511,14464,85,77,8,86885,14624,75,2021-06-22
"Jones",2021-06-22,"Jones",28565,3141,2947,57,51,6,10737,3011,7,2021-06-22
"Keokuk",2021-06-22,"Keokuk",16631,1038,932,32,31,1,4552,966,2,2021-06-22
"Kossuth",2021-06-22,"Kossuth",27986,2285,2101,66,57,9,8433,2161,-6,2021-06-22
"Lee",2021-06-22,"Lee",58263,4072,3745,56,43,13,17062,3824,23,2021-06-22
"Linn",2021-06-22,"Linn",314547,22640,20695,339,303,36,126444,21224,190,2021-06-22
"Louisa",2021-06-22,"Louisa",18699,1363,1242,49,42,7,5784,1299,8,2021-06-22
"Lucas",2021-06-22,"Lucas",10162,807,757,23,18,5,4149,779,-1,2021-06-22
"Lyon",2021-06-22,"Lyon",17529,1597,1548,41,37,4,5032,1588,-1,2021-06-22
"Madison",2021-06-22,"Madison",22527,1788,1625,19,15,4,8408,1646,2,2021-06-22
"Mahaska",2021-06-22,"Mahaska",33556,2437,2260,51,46,5,11221,2327,16,2021-06-22
"Marion",2021-06-22,"Marion",45360,3866,3582,76,65,11,17254,3660,2,2021-06-22
"Marshall",2021-06-22,"Marshall",86943,5246,4783,76,68,8,22900,4868,9,2021-06-22
"Mills",2021-06-22,"Mills",22350,1808,1608,24,21,3,8005,1638,6,2021-06-22
"Mitchell",2021-06-22,"Mitchell",19243,1377,1233,43,40,3,5763,1266,-10,2021-06-22
"Monona",2021-06-22,"Monona",18946,891,803,31,29,2,3987,829,-5,2021-06-22
"Monroe",2021-06-22,"Monroe",10405,1010,927,31,23,8,3774,963,5,2021-06-22
"Montgomery",2021-06-22,"Montgomery",15065,1116,998,38,36,2,4513,1036,0,2021-06-22
"Muscatine",2021-06-22,"Muscatine",60480,5224,4751,106,97,9,23139,4882,25,2021-06-22
"O'Brien",2021-06-22,"O'Brien",27555,2155,1940,61,56,5,7003,1997,-4,2021-06-22
"Osceola",2021-06-22,"Osceola",9756,816,775,16,13,3,2690,789,-2,2021-06-22
"Page",2021-06-22,"Page",22805,2012,1915,22,20,2,6659,1945,8,2021-06-22
"Palo Alto",2021-06-22,"Palo Alto",20009,1196,1110,23,22,1,4755,1136,3,2021-06-22
"Pending Investigation",2021-06-22,"Pending Investigation",8118,979,946,0,0,0,4324,956,10,2021-06-22
"Plymouth",2021-06-22,"Plymouth",40616,4341,3941,81,73,8,13964,4031,9,2021-06-22
"Pocahontas",2021-06-22,"Pocahontas",14406,903,840,22,22,0,3633,858,-4,2021-06-22
"Polk",2021-06-22,"Polk",747401,65663,57366,640,562,78,297098,58266,260,2021-06-22
"Pottawattamie",2021-06-22,"Pottawattamie",126986,12367,11021,174,151,23,50324,11229,34,2021-06-22
"Poweshiek",2021-06-22,"Poweshiek",48012,1649,1534,36,33,3,9449,1571,1,2021-06-22
"Ringgold",2021-06-22,"Ringgold",10635,582,540,24,18,6,2531,564,0,2021-06-22
"Sac",2021-06-22,"Sac",21921,1395,1290,20,19,1,5671,1309,-1,2021-06-22
"Scott",2021-06-22,"Scott",232727,21746,19979,248,224,24,94369,20310,83,2021-06-22
"Shelby",2021-06-22,"Shelby",18279,1378,1280,37,33,4,5825,1317,0,2021-06-22
"Sioux",2021-06-22,"Sioux",48447,5357,5086,74,71,3,17017,5176,16,2021-06-22
"Story",2021-06-22,"Story",170657,11482,10621,48,42,6,59261,10719,50,2021-06-22
"Tama",2021-06-22,"Tama",34634,2248,2036,71,67,4,8954,2120,13,2021-06-22
"Taylor",2021-06-22,"Taylor",9477,690,653,12,10,2,2682,668,3,2021-06-22
"Union",2021-06-22,"Union",18491,1383,1258,35,27,8,6992,1300,7,2021-06-22
"Van Buren",2021-06-22,"Van Buren",9154,590,544,18,15,3,2953,564,2,2021-06-22
"Wapello",2021-06-22,"Wapello",50579,4708,4196,122,118,4,19783,4339,21,2021-06-22
"Warren",2021-06-22,"Warren",83440,6350,5712,91,81,10,30077,5839,36,2021-06-22
"Washington",2021-06-22,"Washington",44560,2747,2507,51,47,4,12709,2572,14,2021-06-22
"Wayne",2021-06-22,"Wayne",7780,585,520,23,18,5,2690,544,1,2021-06-22
"Webster",2021-06-22,"Webster",73059,5452,5039,94,79,15,22325,5159,26,2021-06-22
"Winnebago",2021-06-22,"Winnebago",19089,1559,1400,31,26,5,6780,1445,14,2021-06-22
"Winneshiek",2021-06-22,"Winneshiek",42252,2068,1936,35,30,5,11002,1987,16,2021-06-22
"Woodbury",2021-06-22,"Woodbury",155926,16552,14986,230,211,19,63709,15240,24,2021-06-22
"Worth",2021-06-22,"Worth",14423,805,749,8,7,1,4140,761,4,2021-06-22
"Wright",2021-06-22,"Wright",21831,1933,1817,40,33,7,8250,1860,3,2021-06-22
"Total",2021-06-22,"Totals",5154736,403909,365294,6114,5401,713,1786443,373130,1722,2021-06-22
