"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-14,"Adair",3285,762,664,25,19,6,73,0.231963470319635
"Adams",2021-02-14,"Adams",1450,316,295,3,3,0,18,0.217931034482759
"Allamakee",2021-02-14,"Allamakee",5505,1373,1238,41,35,6,94,0.249409627611262
"Appanoose",2021-02-14,"Appanoose",5468,1189,1060,46,43,3,83,0.217446964155084
"Audubon",2021-02-14,"Audubon",2374,453,401,9,8,1,43,0.190817186183656
"Benton",2021-02-14,"Benton",11416,2277,2039,53,43,10,185,0.199456902592852
"Black Hawk",2021-02-14,"Black Hawk",64724,14695,13519,275,259,16,901,0.227040973981831
"Boone",2021-02-14,"Boone",12402,2364,2147,27,25,2,190,0.190614417029511
"Bremer",2021-02-14,"Bremer",11114,2609,2406,53,47,6,150,0.23474896526903
"Buchanan",2021-02-14,"Buchanan",8567,1719,1570,26,24,2,123,0.200653671063383
"Buena Vista",2021-02-14,"Buena Vista",13843,4042,3893,36,33,3,113,0.291988730766452
"Butler",2021-02-14,"Butler",6430,1562,1451,30,27,3,81,0.242923794712286
"Calhoun",2021-02-14,"Calhoun",4906,1266,1214,9,9,0,43,0.258051365674684
"Carroll",2021-02-14,"Carroll",10474,2624,2497,47,39,8,80,0.250525109795685
"Cass",2021-02-14,"Cass",5792,1231,1084,47,45,2,100,0.21253453038674
"Cedar",2021-02-14,"Cedar",8196,1628,1498,20,19,1,110,0.198633479746218
"Cerro Gordo",2021-02-14,"Cerro Gordo",22032,4922,4577,79,67,12,266,0.22340232389252
"Cherokee",2021-02-14,"Cherokee",5441,1423,1349,35,29,6,39,0.261532806469399
"Chickasaw",2021-02-14,"Chickasaw",4887,1173,1111,13,12,1,49,0.240024554941682
"Clarke",2021-02-14,"Clarke",4439,905,767,20,20,0,118,0.203874746564542
"Clay",2021-02-14,"Clay",7625,1809,1642,25,20,5,142,0.237245901639344
"Clayton",2021-02-14,"Clayton",6356,1577,1476,53,45,8,48,0.248112020138452
"Clinton",2021-02-14,"Clinton",20137,4857,4439,80,72,8,338,0.241197795103541
"Crawford",2021-02-14,"Crawford",8129,2450,2258,35,31,4,157,0.301390084881289
"Dallas",2021-02-14,"Dallas",48853,9783,8786,85,74,11,912,0.200253822692568
"Davis",2021-02-14,"Davis",2999,742,674,23,22,1,45,0.247415805268423
