"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-14,"Adair",12030,961,800,32,22,10,3626,840,8,2021-04-14
"Adams",2021-04-14,"Adams",5388,337,315,4,4,0,1587,326,7,2021-04-14
"Allamakee",2021-04-14,"Allamakee",20499,1543,1422,51,41,10,6194,1491,18,2021-04-14
"Appanoose",2021-04-14,"Appanoose",17224,1435,1196,47,43,4,6022,1261,18,2021-04-14
"Audubon",2021-04-14,"Audubon",11781,512,466,9,8,1,2633,493,18,2021-04-14
"Benton",2021-04-14,"Benton",36034,2650,2392,55,44,11,12789,2492,45,2021-04-14
"Black Hawk",2021-04-14,"Black Hawk",206670,16901,14801,306,283,23,70298,15474,367,2021-04-14
"Boone",2021-04-14,"Boone",42984,2752,2448,31,29,2,13878,2567,88,2021-04-14
"Bremer",2021-04-14,"Bremer",37882,2920,2676,60,51,9,12304,2782,46,2021-04-14
"Buchanan",2021-04-14,"Buchanan",29842,1984,1766,31,26,5,9487,1876,79,2021-04-14
"Buena Vista",2021-04-14,"Buena Vista",43720,4859,4112,40,36,4,14772,4212,60,2021-04-14
"Butler",2021-04-14,"Butler",28550,1713,1560,34,30,4,7042,1619,25,2021-04-14
"Calhoun",2021-04-14,"Calhoun",17800,1379,1302,11,11,0,5302,1330,17,2021-04-14
"Carroll",2021-04-14,"Carroll",35324,2986,2679,50,43,7,11390,2783,54,2021-04-14
"Cass",2021-04-14,"Cass",20059,1422,1265,54,48,6,6344,1340,21,2021-04-14
"Cedar",2021-04-14,"Cedar",29633,1913,1732,23,21,2,9159,1829,74,2021-04-14
"Cerro Gordo",2021-04-14,"Cerro Gordo",73634,5583,4967,86,72,14,24911,5196,143,2021-04-14
"Cherokee",2021-04-14,"Cherokee",20373,1666,1461,38,30,8,6037,1566,67,2021-04-14
"Chickasaw",2021-04-14,"Chickasaw",16929,1291,1196,15,13,2,5452,1220,9,2021-04-14
"Clarke",2021-04-14,"Clarke",12941,1039,945,23,22,1,4875,980,12,2021-04-14
"Clay",2021-04-14,"Clay",29052,2199,1878,25,20,5,8435,2091,188,2021-04-14
"Clayton",2021-04-14,"Clayton",24066,1749,1561,55,46,9,7105,1658,42,2021-04-14
"Clinton",2021-04-14,"Clinton",60619,5805,5003,89,77,12,22783,5322,230,2021-04-14
"Crawford",2021-04-14,"Crawford",26602,2853,2536,39,34,5,8824,2618,43,2021-04-14
"Dallas",2021-04-14,"Dallas",123525,12142,10319,96,84,12,54274,10840,425,2021-04-14
"Davis",2021-04-14,"Davis",10675,868,751,24,23,1,3469,799,24,2021-04-14
"Decatur",2021-04-14,"Decatur",10223,602,574,9,9,0,3553,589,6,2021-04-14
"Delaware",2021-04-14,"Delaware",26985,2060,1842,39,35,4,8064,2012,131,2021-04-14
"Des Moines",2021-04-14,"Des Moines",54070,4736,4266,65,54,11,21187,4395,64,2021-04-14
"Dickinson",2021-04-14,"Dickinson",25696,2578,2079,43,37,6,10456,2389,267,2021-04-14
"Dubuque",2021-04-14,"Dubuque",182363,14321,12310,202,188,14,57204,13050,538,2021-04-14
"Emmet",2021-04-14,"Emmet",16441,1353,1124,40,38,2,5122,1274,110,2021-04-14
"Fayette",2021-04-14,"Fayette",34506,1905,1767,41,36,5,9276,1826,18,2021-04-14
"Floyd",2021-04-14,"Floyd",24548,1718,1456,42,32,10,7710,1545,47,2021-04-14
"Franklin",2021-04-14,"Franklin",18974,1223,1079,21,19,2,5290,1124,24,2021-04-14
"Fremont",2021-04-14,"Fremont",7083,644,557,10,8,2,2658,609,42,2021-04-14
"Greene",2021-04-14,"Greene",14436,812,734,10,10,0,4127,764,20,2021-04-14
"Grundy",2021-04-14,"Grundy",18752,1428,1298,32,27,5,5786,1347,17,2021-04-14
"Guthrie",2021-04-14,"Guthrie",17882,1253,1086,28,23,5,5687,1169,55,2021-04-14
