"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-05-31,"Adair",12649,992,830,32,22,10,3791,872,10,2021-05-31
"Adams",2021-05-31,"Adams",6027,354,336,4,4,0,1672,343,3,2021-05-31
"Allamakee",2021-05-31,"Allamakee",22472,1578,1451,51,41,10,6503,1522,20,2021-05-31
"Appanoose",2021-05-31,"Appanoose",18823,1464,1229,49,44,5,6367,1286,8,2021-05-31
"Audubon",2021-05-31,"Audubon",13036,535,487,10,9,1,2843,516,19,2021-05-31
"Benton",2021-05-31,"Benton",39295,2741,2494,55,44,11,13510,2575,26,2021-05-31
"Black Hawk",2021-05-31,"Black Hawk",224081,17400,15431,309,286,23,73774,15915,175,2021-05-31
"Boone",2021-05-31,"Boone",46087,2867,2592,34,31,3,14633,2677,51,2021-05-31
"Bremer",2021-05-31,"Bremer",41548,3002,2758,60,51,9,12892,2866,48,2021-05-31
"Buchanan",2021-05-31,"Buchanan",33001,2029,1869,33,27,6,9973,1922,20,2021-05-31
"Buena Vista",2021-05-31,"Buena Vista",46489,4905,4201,40,36,4,15323,4255,14,2021-05-31
"Butler",2021-05-31,"Butler",30667,1749,1598,35,31,4,7408,1657,24,2021-05-31
"Calhoun",2021-05-31,"Calhoun",19370,1440,1340,13,12,1,5564,1388,35,2021-05-31
"Carroll",2021-05-31,"Carroll",38390,3081,2791,52,43,9,11859,2866,23,2021-05-31
"Cass",2021-05-31,"Cass",21503,1472,1325,54,48,6,6660,1389,10,2021-05-31
"Cedar",2021-05-31,"Cedar",32891,2002,1860,23,21,2,9661,1912,29,2021-05-31
"Cerro Gordo",2021-05-31,"Cerro Gordo",81124,5934,5249,90,75,15,26466,5497,158,2021-05-31
"Cherokee",2021-05-31,"Cherokee",21776,1692,1544,38,30,8,6246,1591,9,2021-05-31
"Chickasaw",2021-05-31,"Chickasaw",18450,1316,1221,16,14,2,5748,1244,7,2021-05-31
"Clarke",2021-05-31,"Clarke",14114,1067,971,24,22,2,5151,1005,10,2021-05-31
"Clay",2021-05-31,"Clay",32198,2270,2121,27,22,5,8864,2160,12,2021-05-31
"Clayton",2021-05-31,"Clayton",26589,1791,1640,56,47,9,7553,1705,9,2021-05-31
"Clinton",2021-05-31,"Clinton",67530,6082,5415,93,79,14,24487,5597,89,2021-05-31
"Crawford",2021-05-31,"Crawford",29376,2922,2602,40,35,5,9176,2673,31,2021-05-31
"Dallas",2021-05-31,"Dallas",134091,12597,10994,99,85,14,57251,11245,152,2021-05-31
"Davis",2021-05-31,"Davis",11791,921,786,24,23,1,3706,848,38,2021-05-31
"Decatur",2021-05-31,"Decatur",10831,627,597,9,9,0,3730,611,5,2021-05-31
"Delaware",2021-05-31,"Delaware",30720,2153,2035,41,37,4,8505,2108,32,2021-05-31
"Des Moines",2021-05-31,"Des Moines",59413,5012,4448,67,55,12,22382,4644,129,2021-05-31
"Dickinson",2021-05-31,"Dickinson",28542,2682,2434,44,38,6,10945,2491,13,2021-05-31
"Dubuque",2021-05-31,"Dubuque",202201,14756,13086,209,193,16,59970,13445,150,2021-05-31
