"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-31,"Adair",3205,705,600,24,19,5,81,0.21996879875195
"Adams",2021-01-31,"Adams",1406,308,272,3,3,0,33,0.219061166429587
"Allamakee",2021-01-31,"Allamakee",5332,1327,1164,32,27,5,131,0.24887471867967
"Appanoose",2021-01-31,"Appanoose",5290,1145,959,41,39,2,145,0.216446124763705
"Audubon",2021-01-31,"Audubon",2276,434,376,8,8,0,50,0.190685413005272
"Benton",2021-01-31,"Benton",11114,2175,1953,51,41,10,171,0.19569911822926
"Black Hawk",2021-01-31,"Black Hawk",63162,14371,12865,248,234,14,1258,0.227526044140464
"Boone",2021-01-31,"Boone",12067,2284,1950,18,16,2,316,0.189276539322118
"Bremer",2021-01-31,"Bremer",10817,2535,2285,48,44,4,202,0.234353332717019
"Buchanan",2021-01-31,"Buchanan",8340,1652,1456,24,22,2,172,0.198081534772182
"Buena Vista",2021-01-31,"Buena Vista",13609,4007,3719,33,30,3,255,0.294437504592549
"Butler",2021-01-31,"Butler",6265,1536,1293,26,23,3,217,0.245171588188348
"Calhoun",2021-01-31,"Calhoun",4806,1248,1173,9,9,0,66,0.259675405742821
"Carroll",2021-01-31,"Carroll",10283,2596,2369,40,34,6,187,0.252455509092677
"Cass",2021-01-31,"Cass",5616,1180,1020,44,42,2,116,0.21011396011396
"Cedar",2021-01-31,"Cedar",7990,1588,1394,19,18,1,175,0.198748435544431
"Cerro Gordo",2021-01-31,"Cerro Gordo",21439,4813,4325,73,62,11,415,0.224497411259854
"Cherokee",2021-01-31,"Cherokee",5346,1409,1239,28,24,4,142,0.263561541339319
"Chickasaw",2021-01-31,"Chickasaw",4772,1150,1058,12,11,1,80,0.240989103101425
"Clarke",2021-01-31,"Clarke",4233,849,696,9,9,0,144,0.200566973777463
"Clay",2021-01-31,"Clay",7399,1752,1543,21,17,4,188,0.236788755237194
"Clayton",2021-01-31,"Clayton",6186,1556,1389,49,41,8,118,0.251535725832525
"Clinton",2021-01-31,"Clinton",19508,4693,4140,69,63,6,484,0.240567972114005
"Crawford",2021-01-31,"Crawford",7932,2382,2127,24,21,3,231,0.300302571860817
"Dallas",2021-01-31,"Dallas",47330,9322,8035,74,63,11,1213,0.196957532220579
"Davis",2021-01-31,"Davis",2855,713,637,22,21,1,54,0.249737302977233
"Decatur",2021-01-31,"Decatur",3048,509,441,4,4,0,64,0.166994750656168
"Delaware",2021-01-31,"Delaware",7050,1789,1609,36,32,4,144,0.253758865248227
"Des Moines",2021-01-31,"Des Moines",18849,4040,3541,44,40,4,455,0.214334977982917
"Dickinson",2021-01-31,"Dickinson",9266,1909,1709,29,26,3,171,0.206022015972372
"Dubuque",2021-01-31,"Dubuque",51462,11825,10588,166,157,9,1071,0.229781197777001
"Emmet",2021-01-31,"Emmet",4506,1114,986,33,32,1,95,0.24722592099423
"Fayette",2021-01-31,"Fayette",8157,1695,1426,25,23,2,244,0.207796984185362
"Floyd",2021-01-31,"Floyd",6834,1434,1271,37,29,8,126,0.209833187006146
"Franklin",2021-01-31,"Franklin",4579,1056,905,19,18,1,132,0.230618038873116
"Fremont",2021-01-31,"Fremont",2391,531,469,8,6,2,54,0.222082810539523
"Greene",2021-01-31,"Greene",3690,702,648,7,7,0,47,0.190243902439024
"Grundy",2021-01-31,"Grundy",5176,1241,1107,28,23,5,106,0.239760432766615
"Guthrie",2021-01-31,"Guthrie",4997,1054,949,25,20,5,80,0.21092655593356
"Hamilton",2021-01-31,"Hamilton",6647,1645,1484,31,30,1,130,0.247480066195276
"Hancock",2021-01-31,"Hancock",5275,1345,1176,24,19,5,145,0.254976303317536
"Hardin",2021-01-31,"Hardin",7391,1605,1452,33,30,3,120,0.217156000541199
"Harrison",2021-01-31,"Harrison",5858,1612,1397,65,61,4,150,0.275179242062137
"Henry",2021-01-31,"Henry",9827,2719,2454,33,33,0,232,0.276686679556324
"Howard",2021-01-31,"Howard",3920,902,728,19,15,4,155,0.230102040816327
"Humboldt",2021-01-31,"Humboldt",4268,1085,972,20,17,3,93,0.254217432052484
"Ida",2021-01-31,"Ida",2878,780,674,30,29,1,76,0.271021542738012
"Iowa",2021-01-31,"Iowa",7213,1310,1143,22,21,1,145,0.181616525717455
"Jackson",2021-01-31,"Jackson",8006,1993,1767,34,31,3,192,0.248938296277792
"Jasper",2021-01-31,"Jasper",15734,3397,2897,63,59,4,437,0.215901868564891
"Jefferson",2021-01-31,"Jefferson",6680,1235,1039,28,25,3,168,0.184880239520958
"Johnson",2021-01-31,"Johnson",70345,12461,11177,57,53,4,1227,0.177141232496979
"Jones",2021-01-31,"Jones",8826,2780,2582,51,49,2,147,0.314978472694312
"Keokuk",2021-01-31,"Keokuk",3618,868,790,26,26,0,52,0.239911553344389
"Kossuth",2021-01-31,"Kossuth",6953,1854,1547,45,42,3,262,0.26664749029196
"Lee",2021-01-31,"Lee",14159,3364,2903,35,29,6,426,0.23758740024013
"Linn",2021-01-31,"Linn",103297,18504,16552,284,259,25,1668,0.17913395355141
"Louisa",2021-01-31,"Louisa",4857,1180,1056,31,26,5,93,0.242948322009471
"Lucas",2021-01-31,"Lucas",3354,677,589,12,10,2,76,0.201848539057841
"Lyon",2021-01-31,"Lyon",4113,1396,1246,34,31,3,116,0.339411621687333
"Madison",2021-01-31,"Madison",6689,1294,995,10,9,1,289,0.193451936014352
"Mahaska",2021-01-31,"Mahaska",9243,2025,1735,39,35,4,251,0.219084712755599
"Marion",2021-01-31,"Marion",13731,3169,2750,55,48,7,364,0.230791639356201
