"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-03-06,"Adair",11000,926,697,29,22,7,3425,814,88,2021-03-06
"Adams",2021-03-06,"Adams",4736,327,311,4,4,0,1503,318,3,2021-03-06
"Allamakee",2021-03-06,"Allamakee",18489,1487,1307,48,39,9,5829,1437,82,2021-03-06
"Appanoose",2021-03-06,"Appanoose",15665,1394,1128,47,43,4,5719,1232,57,2021-03-06
"Audubon",2021-03-06,"Audubon",10387,492,434,9,8,1,2481,477,34,2021-03-06
"Benton",2021-03-06,"Benton",31988,2559,2173,54,44,10,11967,2406,179,2021-03-06
"Black Hawk",2021-03-06,"Black Hawk",187719,16319,14259,293,273,20,66776,14945,393,2021-03-06
"Boone",2021-03-06,"Boone",38803,2619,2297,30,28,2,13060,2434,107,2021-03-06
"Bremer",2021-03-06,"Bremer",33157,2832,2522,55,47,8,11573,2698,121,2021-03-06
"Buchanan",2021-03-06,"Buchanan",26317,1872,1657,29,25,4,8885,1775,89,2021-03-06
"Buena Vista",2021-03-06,"Buena Vista",40209,4752,3988,37,34,3,14198,4125,100,2021-03-06
"Butler",2021-03-06,"Butler",25654,1677,1519,31,28,3,6693,1590,40,2021-03-06
"Calhoun",2021-03-06,"Calhoun",16163,1344,1247,11,11,0,5034,1294,36,2021-03-06
"Carroll",2021-03-06,"Carroll",31916,2867,2569,49,41,8,10797,2666,48,2021-03-06
"Cass",2021-03-06,"Cass",18286,1362,1159,51,46,5,6000,1290,80,2021-03-06
"Cedar",2021-03-06,"Cedar",26501,1801,1582,23,21,2,8644,1717,112,2021-03-06
"Cerro Gordo",2021-03-06,"Cerro Gordo",67759,5369,4810,83,70,13,23514,4999,106,2021-03-06
"Cherokee",2021-03-06,"Cherokee",17810,1558,1384,36,29,7,5689,1459,39,2021-03-06
"Chickasaw",2021-03-06,"Chickasaw",15415,1264,1150,15,13,2,5158,1196,31,2021-03-06
"Clarke",2021-03-06,"Clarke",11860,1009,863,20,20,0,4630,949,66,2021-03-06
"Clay",2021-03-06,"Clay",25701,1945,1764,25,20,5,7849,1843,54,2021-03-06
"Clayton",2021-03-06,"Clayton",21555,1683,1529,54,46,8,6634,1601,18,2021-03-06
"Clinton",2021-03-06,"Clinton",54049,5462,4706,84,74,10,21171,5015,225,2021-03-06
"Crawford",2021-03-06,"Crawford",24003,2768,2392,35,31,4,8403,2528,101,2021-03-06
"Dallas",2021-03-06,"Dallas",111421,11454,9490,93,82,11,50973,10201,618,2021-03-06
"Davis",2021-03-06,"Davis",9478,835,711,23,22,1,3230,764,30,2021-03-06
"Decatur",2021-03-06,"Decatur",8969,585,524,9,9,0,3399,569,36,2021-03-06
"Delaware",2021-03-06,"Delaware",23589,1900,1776,40,35,5,7492,1858,42,2021-03-06
"Des Moines",2021-03-06,"Des Moines",48433,4602,4045,61,53,8,20110,4277,171,2021-03-06
"Dickinson",2021-03-06,"Dickinson",22469,2198,1894,40,34,6,9720,2031,97,2021-03-06
"Dubuque",2021-03-06,"Dubuque",163063,13612,11793,195,181,14,54200,12435,447,2021-03-06
"Emmet",2021-03-06,"Emmet",14463,1221,1084,40,38,2,4737,1152,28,2021-03-06
"Fayette",2021-03-06,"Fayette",30476,1866,1692,35,32,3,8740,1792,65,2021-03-06
"Floyd",2021-03-06,"Floyd",22389,1637,1405,41,31,10,7313,1481,35,2021-03-06
"Franklin",2021-03-06,"Franklin",17594,1188,1052,19,18,1,4953,1091,20,2021-03-06
"Fremont",2021-03-06,"Fremont",6490,593,536,9,7,2,2507,559,14,2021-03-06
"Greene",2021-03-06,"Greene",13152,777,708,10,10,0,3897,731,13,2021-03-06
"Grundy",2021-03-06,"Grundy",16913,1397,1232,30,25,5,5487,1322,60,2021-03-06
"Guthrie",2021-03-06,"Guthrie",15675,1174,1041,28,23,5,5310,1093,24,2021-03-06
"Hamilton",2021-03-06,"Hamilton",20997,1922,1638,42,41,1,7172,1738,58,2021-03-06
"Hancock",2021-03-06,"Hancock",18725,1476,1325,30,25,5,5684,1379,24,2021-03-06
"Hardin",2021-03-06,"Hardin",29898,1824,1599,39,33,6,7923,1698,60,2021-03-06
"Harrison",2021-03-06,"Harrison",18288,1799,1566,70,66,4,6115,1675,39,2021-03-06
"Henry",2021-03-06,"Henry",31985,2936,2702,37,36,1,10409,2798,59,2021-03-06
