"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",2337,119,65,1,53,NA,NA,NA,NA
"2","2020-08-01",2368,122,67,1,54,3,31,0,0.0967741935483871
