"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1565","72","48","1","23","0.0460063897763578",2020-09-29
"Adams","Adams","649","33","27","0","6","0.0508474576271186",2020-09-29
"Allamakee","Allamakee","2910","267","177","6","84","0.0917525773195876",2020-09-29
"Appanoose","Appanoose","2625","142","116","3","23","0.0540952380952381",2020-09-29
"Audubon","Audubon","1212","87","37","1","49","0.0717821782178218",2020-09-29
"Benton","Benton","5393","331","212","1","118","0.0613758575931763",2020-09-29
"Black Hawk","Black Hawk","35215","4510","3775","90","645","0.128070424534999",2020-09-29
"Boone","Boone","6391","518","347","8","163","0.0810514786418401",2020-09-29
"Bremer","Bremer","5392","502","343","7","152","0.0931008902077151",2020-09-29
"Buchanan","Buchanan","4464","288","178","1","109","0.0645161290322581",2020-09-29
"Buena Vista","Buena Vista","9317","1999","1819","12","168","0.214554041000322",2020-09-29
"Butler","Butler","3387","276","253","2","21","0.0814880425155004",2020-09-29
"Calhoun","Calhoun","2612","188","166","3","19","0.0719754977029096",2020-09-29
"Carroll","Carroll","5729","685","433","5","247","0.1195671146797",2020-09-29
"Cass","Cass","2705","169","135","2","32","0.0624768946395564",2020-09-29
"Cedar","Cedar","3920","252","155","1","96","0.0642857142857143",2020-09-29
"Cerro Gordo","Cerro Gordo","11431","1062","839","21","202","0.092905257632753",2020-09-29
"Cherokee","Cherokee","2838","255","141","2","112","0.0898520084566596",2020-09-29
"Chickasaw","Chickasaw","2618","267","239","1","27","0.101986249045073",2020-09-29
"Clarke","Clarke","2342","268","239","3","26","0.114432109308284",2020-09-29
"Clay","Clay","3785","334","236","4","94","0.0882430647291942",2020-09-29
"Clayton","Clayton","3289","263","237","3","23","0.0799635147461234",2020-09-29
"Clinton","Clinton","9821","1130","855","21","254","0.115059566235618",2020-09-29
"Crawford","Crawford","5259","1103","837","5","261","0.209735691196045",2020-09-29
"Dallas","Dallas","25745","2807","2363","38","406","0.109030879782482",2020-09-29
"Davis","Davis","1317","127","86","4","37","0.0964312832194381",2020-09-29
"Decatur","Decatur","1557","67","48","0","19","0.0430314707771355",2020-09-29
"Delaware","Delaware","3917","426","347","3","76","0.108756701557314",2020-09-29
"Des Moines","Des Moines","8872","800","588","8","204","0.0901713255184851",2020-09-29
"Dickinson","Dickinson","5289","530","426","6","98","0.100207978823974",2020-09-29
"Dubuque","Dubuque","29994","3337","2054","41","1242","0.111255584450223",2020-09-29
"Emmet","Emmet","2191","271","215","10","46","0.12368781378366",2020-09-29
"Fayette","Fayette","4152","232","146","2","84","0.0558766859344894",2020-09-29
"Floyd","Floyd","3900","355","299","3","53","0.091025641025641",2020-09-29
"Franklin","Franklin","2559","351","311","18","22","0.137162954279015",2020-09-29
"Fremont","Fremont","1264","121","61","0","60","0.0957278481012658",2020-09-29
"Greene","Greene","2057","103","59","0","44","0.0500729217306757",2020-09-29
"Grundy","Grundy","2832","224","138","3","83","0.0790960451977401",2020-09-29
"Guthrie","Guthrie","2692","252","171","7","74","0.0936106983655275",2020-09-29
"Hamilton","Hamilton","3679","332","308","3","21","0.0902419135634683",2020-09-29
"Hancock","Hancock","2598","196","178","2","16","0.0754426481909161",2020-09-29
"Hardin","Hardin","3896","307","238","1","68","0.0787987679671458",2020-09-29
"Harrison","Harrison","2837","256","164","3","89","0.0902361649629891",2020-09-29
"Henry","Henry","5151","755","298","4","453","0.1465734808775",2020-09-29
"Howard","Howard","2092","192","135","7","50","0.0917782026768642",2020-09-29
"Humboldt","Humboldt","2286","191","171","3","17","0.0835520559930009",2020-09-29
"Ida","Ida","1532","127","45","1","81","0.0828981723237598",2020-09-29
"Iowa","Iowa","3990","219","117","1","101","0.0548872180451128",2020-09-29
"Jackson","Jackson","3962","354","216","3","135","0.0893488137304392",2020-09-29
"Jasper","Jasper","8030","865","574","32","259","0.10772104607721",2020-09-29
"Jefferson","Jefferson","2869","139","118","1","20","0.048448936911816",2020-09-29
"Johnson","Johnson","39720","5171","4061","27","1083","0.130186304128902",2020-09-29
"Jones","Jones","3938","284","174","3","107","0.0721178263077704",2020-09-29
"Keokuk","Keokuk","1757","115","66","1","48","0.0654524758110415",2020-09-29
"Kossuth","Kossuth","3509","280","125","0","155","0.0797948133371331",2020-09-29
"Lee","Lee","6413","643","459","7","177","0.10026508654296",2020-09-29
"Linn","Linn","50994","4104","3124","113","867","0.0804800564772326",2020-09-29
"Louisa","Louisa","2555","432","382","15","35","0.169080234833659",2020-09-29
"Lucas","Lucas","1647","156","93","6","57","0.0947176684881603",2020-09-29
"Lyon","Lyon","1936","357","182","4","171","0.184400826446281",2020-09-29
"Madison","Madison","3517","227","175","2","50","0.0645436451521183",2020-09-29
"Mahaska","Mahaska","4901","416","302","19","95","0.0848806366047745",2020-09-29
"Marion","Marion","7000","769","693","7","69","0.109857142857143",2020-09-29
"Marshall","Marshall","11309","1791","1638","34","119","0.158369440268812",2020-09-29
"Mills","Mills","3678","183","137","1","45","0.0497553017944535",2020-09-29
"Mitchell","Mitchell","2799","191","116","0","75","0.068238656663094",2020-09-29
"Monona","Monona","1932","160","108","1","51","0.082815734989648",2020-09-29
"Monroe","Monroe","1386","161","108","11","42","0.116161616161616",2020-09-29
"Montgomery","Montgomery","1936","97","84","5","8","0.050103305785124",2020-09-29
"Muscatine","Muscatine","9505","1121","932","55","134","0.117937927406628",2020-09-29
"O'Brien","O'Brien","3080","398","211","9","178","0.129220779220779",2020-09-29
"Osceola","Osceola","1057","169","102","0","67","0.159886471144749",2020-09-29
"Page","Page","2738","171","153","0","18","0.06245434623813",2020-09-29
"Palo Alto","Palo Alto","2162","206","116","0","90","0.0952821461609621",2020-09-29
"Pending Investigation","Pending Investigation","2894","16","1","0","15","0.0055286800276434",2020-09-29
"Plymouth","Plymouth","6697","1168","765","21","382","0.174406450649545",2020-09-29
"Pocahontas","Pocahontas","1770","165","133","2","30","0.0932203389830508",2020-09-29
"Polk","Polk","132149","16027","13416","262","2349","0.121279767535131",2020-09-29
"Pottawattamie","Pottawattamie","21423","2162","1757","39","366","0.100919572422163",2020-09-29
"Poweshiek","Poweshiek","3733","308","203","8","97","0.0825073667291722",2020-09-29
"Ringgold","Ringgold","1176","53","44","2","7","0.0450680272108844",2020-09-29
"Sac","Sac","2729","265","125","0","140","0.0971051667277391",2020-09-29
"Scott","Scott","37400","3048","2267","28","753","0.0814973262032086",2020-09-29
"Shelby","Shelby","2404","268","245","1","22","0.111480865224626",2020-09-29
"Sioux","Sioux","7786","1683","925","3","755","0.216157205240175",2020-09-29
"Story","Story","30005","3463","2542","17","904","0.115414097650392",2020-09-29
"Tama","Tama","4493","743","643","32","68","0.165368350767861",2020-09-29
"Taylor","Taylor","1234","133","115","1","17","0.107779578606159",2020-09-29
"Union","Union","3102","140","88","3","49","0.0451321727917473",2020-09-29
"Van Buren","Van Buren","1211","116","101","1","14","0.0957886044591247",2020-09-29
"Wapello","Wapello","8297","1339","1209","57","73","0.161383632638303",2020-09-29
"Warren","Warren","12670","967","795","6","166","0.0763220205209156",2020-09-29
"Washington","Washington","5069","473","353","11","109","0.0933122903925824",2020-09-29
"Wayne","Wayne","1109","87","76","2","9","0.0784490532010821",2020-09-29
"Webster","Webster","12058","1304","1100","14","190","0.108143970807762",2020-09-29
"Winnebago","Winnebago","3029","319","188","13","118","0.105315285572796",2020-09-29
"Winneshiek","Winneshiek","4306","340","249","6","85","0.0789595912679981",2020-09-29
"Woodbury","Woodbury","31379","5560","4159","67","1334","0.177188565601198",2020-09-29
"Worth","Worth","1693","109","83","0","26","0.0643827525103367",2020-09-29
"Wright","Wright","4531","597","531","1","65","0.131758993599647",2020-09-29
"Total","Totals","789945","87392","67372","1324","18696","0.110630486932635",2020-09-29
