"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-25,"Adair",12223,971,806,32,22,10,3668,850,12,2021-04-25
"Adams",2021-04-25,"Adams",5553,341,315,4,4,0,1605,331,12,2021-04-25
"Allamakee",2021-04-25,"Allamakee",20901,1545,1438,51,41,10,6271,1494,5,2021-04-25
"Appanoose",2021-04-25,"Appanoose",17550,1444,1204,47,43,4,6114,1270,19,2021-04-25
"Audubon",2021-04-25,"Audubon",12125,513,471,9,8,1,2689,498,18,2021-04-25
"Benton",2021-04-25,"Benton",36867,2675,2419,55,44,11,13021,2519,45,2021-04-25
"Black Hawk",2021-04-25,"Black Hawk",211657,17089,14965,306,283,23,71418,15642,371,2021-04-25
"Boone",2021-04-25,"Boone",44072,2786,2481,33,31,2,14112,2603,89,2021-04-25
"Bremer",2021-04-25,"Bremer",39076,2939,2696,60,51,9,12490,2806,50,2021-04-25
"Buchanan",2021-04-25,"Buchanan",30772,1996,1801,31,26,5,9635,1894,62,2021-04-25
"Buena Vista",2021-04-25,"Buena Vista",44740,4880,4137,40,36,4,14947,4228,51,2021-04-25
"Butler",2021-04-25,"Butler",29324,1719,1573,34,30,4,7154,1628,21,2021-04-25
"Calhoun",2021-04-25,"Calhoun",18189,1386,1311,13,12,1,5365,1335,11,2021-04-25
"Carroll",2021-04-25,"Carroll",36118,3029,2703,52,43,9,11530,2813,58,2021-04-25
"Cass",2021-04-25,"Cass",20614,1446,1276,54,48,6,6451,1362,32,2021-04-25
"Cedar",2021-04-25,"Cedar",30726,1945,1755,23,21,2,9327,1859,81,2021-04-25
"Cerro Gordo",2021-04-25,"Cerro Gordo",75640,5673,5007,87,73,14,25366,5272,178,2021-04-25
"Cherokee",2021-04-25,"Cherokee",20749,1677,1500,38,30,8,6106,1577,39,2021-04-25
"Chickasaw",2021-04-25,"Chickasaw",17303,1293,1202,15,13,2,5517,1228,11,2021-04-25
"Clarke",2021-04-25,"Clarke",13319,1044,952,24,22,2,4941,986,10,2021-04-25
"Clay",2021-04-25,"Clay",30228,2237,1972,25,20,5,8576,2133,136,2021-04-25
"Clayton",2021-04-25,"Clayton",24787,1760,1573,56,47,9,7256,1675,46,2021-04-25
"Clinton",2021-04-25,"Clinton",62353,5892,5092,92,79,13,23261,5426,242,2021-04-25
"Crawford",2021-04-25,"Crawford",27352,2865,2555,40,35,5,8934,2629,34,2021-04-25
"Dallas",2021-04-25,"Dallas",126671,12309,10560,97,84,13,55156,10989,332,2021-04-25
"Davis",2021-04-25,"Davis",10921,872,763,24,23,1,3515,801,14,2021-04-25
"Decatur",2021-04-25,"Decatur",10333,606,576,9,9,0,3595,592,7,2021-04-25
"Delaware",2021-04-25,"Delaware",28190,2095,1892,39,35,4,8237,2055,124,2021-04-25
"Des Moines",2021-04-25,"Des Moines",55428,4807,4291,65,54,11,21478,4461,105,2021-04-25
"Dickinson",2021-04-25,"Dickinson",26616,2635,2208,43,37,6,10660,2448,197,2021-04-25
"Dubuque",2021-04-25,"Dubuque",187839,14481,12458,205,189,16,58044,13227,564,2021-04-25
"Emmet",2021-04-25,"Emmet",16934,1388,1180,40,38,2,5253,1310,90,2021-04-25
"Fayette",2021-04-25,"Fayette",35804,1919,1780,41,36,5,9468,1838,17,2021-04-25
"Floyd",2021-04-25,"Floyd",25274,1745,1482,42,32,10,7840,1574,50,2021-04-25
"Franklin",2021-04-25,"Franklin",19300,1239,1087,21,19,2,5377,1136,28,2021-04-25
"Fremont",2021-04-25,"Fremont",7270,649,581,9,7,2,2706,616,26,2021-04-25
"Greene",2021-04-25,"Greene",14808,816,745,10,10,0,4196,769,14,2021-04-25
"Grundy",2021-04-25,"Grundy",19178,1434,1305,32,27,5,5868,1355,18,2021-04-25
"Guthrie",2021-04-25,"Guthrie",18423,1272,1124,29,24,5,5810,1191,38,2021-04-25
"Hamilton",2021-04-25,"Hamilton",23195,1975,1715,49,45,4,7671,1786,22,2021-04-25
"Hancock",2021-04-25,"Hancock",21221,1545,1370,34,27,7,6125,1444,40,2021-04-25
"Hardin",2021-04-25,"Hardin",34453,1952,1711,42,34,8,8602,1823,70,2021-04-25
"Harrison",2021-04-25,"Harrison",21183,1906,1634,73,69,4,6566,1774,67,2021-04-25
"Henry",2021-04-25,"Henry",35873,3027,2796,37,36,1,11142,2882,49,2021-04-25
"Howard",2021-04-25,"Howard",16705,1077,998,22,18,4,4680,1033,13,2021-04-25
"Humboldt",2021-04-25,"Humboldt",15372,1232,1148,26,23,3,4796,1184,10,2021-04-25
"Ida",2021-04-25,"Ida",12422,1009,837,34,32,2,3392,901,30,2021-04-25
"Iowa",2021-04-25,"Iowa",29514,1529,1416,24,22,2,8285,1465,25,2021-04-25
"Jackson",2021-04-25,"Jackson",25465,2325,2102,42,39,3,9315,2197,53,2021-04-25
"Jasper",2021-04-25,"Jasper",51192,4435,3958,70,65,5,18570,4098,70,2021-04-25
"Jefferson",2021-04-25,"Jefferson",20312,1432,1274,35,29,6,7795,1316,7,2021-04-25
"Johnson",2021-04-25,"Johnson",208641,15058,13385,83,77,6,81756,14220,752,2021-04-25
"Jones",2021-04-25,"Jones",25936,3062,2838,56,51,5,10155,2944,50,2021-04-25
"Keokuk",2021-04-25,"Keokuk",15609,1020,908,31,31,0,4320,951,12,2021-04-25
"Kossuth",2021-04-25,"Kossuth",26055,2258,2011,64,56,8,8088,2140,65,2021-04-25
"Lee",2021-04-25,"Lee",53245,3935,3590,55,42,13,16112,3697,52,2021-04-25
"Linn",2021-04-25,"Linn",288152,21825,19500,332,296,36,119566,20476,644,2021-04-25
"Louisa",2021-04-25,"Louisa",17163,1338,1200,49,42,7,5500,1274,25,2021-04-25
"Lucas",2021-04-25,"Lucas",9286,789,725,23,18,5,3900,760,12,2021-04-25
"Lyon",2021-04-25,"Lyon",16027,1568,1459,41,37,4,4733,1560,60,2021-04-25
"Madison",2021-04-25,"Madison",20446,1702,1484,19,15,4,7899,1560,57,2021-04-25
"Mahaska",2021-04-25,"Mahaska",30563,2375,2140,50,45,5,10610,2262,72,2021-04-25
"Marion",2021-04-25,"Marion",42060,3766,3445,75,64,11,16346,3566,46,2021-04-25
"Marshall",2021-04-25,"Marshall",81652,5143,4661,75,67,8,21771,4782,46,2021-04-25
"Mills",2021-04-25,"Mills",21234,1762,1537,21,18,3,7751,1597,39,2021-04-25
