"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"1","Adair",3907,896,851,32,13,0.229331968262094,2021-07-21
"2","Adams",1721,349,335,4,10,0.202789076118536,2021-07-21
"3","Allamakee",6773,1555,1490,52,13,0.229588070279049,2021-07-21
"4","Appanoose",6562,1280,1227,49,4,0.19506248095093,2021-07-21
"5","Audubon",2922,529,514,12,3,0.18104038329911,2021-07-21
"6","Benton",14001,2627,2550,55,22,0.187629455038926,2021-07-21
"7","Black Hawk",76673,16680,15935,316,429,0.217547246097062,2021-07-21
"8","Boone",15001,2712,2654,34,24,0.180787947470169,2021-07-21
"9","Bremer",13278,2927,2836,62,29,0.220439825274891,2021-07-21
"10","Buchanan",10298,1967,1913,34,20,0.191007962711206,2021-07-21
"11","Buena Vista",15759,4311,4247,40,24,0.273557966876071,2021-07-21
"12","Butler",7614,1678,1625,35,18,0.220383504071447,2021-07-21
"13","Calhoun",5732,1431,1377,13,41,0.249651081646895,2021-07-21
"14","Carroll",12093,2862,2804,52,6,0.236665839742,2021-07-21
"15","Cass",6795,1407,1338,55,14,0.207064017660044,2021-07-21
"16","Cedar",9937,1929,1901,23,5,0.194122974740867,2021-07-21
"17","Cerro Gordo",27473,5622,5474,97,51,0.20463728023878,2021-07-21
"18","Cherokee",6432,1615,1564,38,13,0.251088308457711,2021-07-21
"19","Chickasaw",5956,1257,1238,17,2,0.211047683008731,2021-07-21
"20","Clarke",5325,1024,991,24,9,0.192300469483568,2021-07-21
"21","Clay",9065,2173,2144,27,2,0.239713182570325,2021-07-21
"22","Clayton",7884,1730,1667,57,6,0.219431760527651,2021-07-21
"23","Clinton",25408,5643,5535,93,15,0.22209540302267,2021-07-21
"24","Crawford",9393,2708,2647,41,20,0.288299797721708,2021-07-21
"25","Dallas",59108,11440,11256,99,85,0.193544021113893,2021-07-21
"26","Davis",3856,868,834,25,9,0.225103734439834,2021-07-21
"27","Decatur",3881,662,629,9,24,0.170574594176759,2021-07-21
"28","Delaware",8765,2117,2065,43,9,0.241528807758129,2021-07-21
"29","Des Moines",23190,4782,4625,74,83,0.20620957309185,2021-07-21
"30","Dickinson",11179,2507,2459,45,3,0.224259772788264,2021-07-21
"31","Dubuque",61631,13594,13320,213,61,0.220570816634486,2021-07-21
"32","Emmet",5586,1367,1321,41,5,0.244718940207662,2021-07-21
"33","Fayette",10101,1882,1828,43,11,0.186318186318186,2021-07-21
"34","Floyd",8490,1646,1600,42,4,0.193875147232038,2021-07-21
"35","Franklin",5999,1278,1220,23,35,0.213035505917653,2021-07-21
"36","Fremont",2889,648,638,10,0,0.224299065420561,2021-07-21
"37","Greene",4460,791,776,11,4,0.177354260089686,2021-07-21
"38","Grundy",6219,1393,1352,33,8,0.223990995336871,2021-07-21
"39","Guthrie",6308,1245,1210,32,3,0.197368421052632,2021-07-21
"40","Hamilton",8248,1868,1781,51,36,0.226479146459748,2021-07-21
"41","Hancock",6647,1531,1470,34,27,0.23032947194223,2021-07-21
"42","Hardin",9257,1911,1842,44,25,0.206438370962515,2021-07-21
"43","Harrison",6882,1820,1737,73,10,0.26445800639349,2021-07-21
"44","Henry",11931,3010,2961,37,12,0.25228396613863,2021-07-21
"45","Howard",4996,1053,1031,22,0,0.210768614891914,2021-07-21
