"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",1703,109,87,2,20,NA,NA,NA,NA
"2","2020-08-01",1720,114,89,2,23,5,17,0,0.294117647058824
