"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1197","43","20","1","22","0.0359231411862991",2020-08-26
"Adams","Adams","466","20","17","0","3","0.0429184549356223",2020-08-26
"Allamakee","Allamakee","2308","168","141","4","23","0.072790294627383",2020-08-26
"Appanoose","Appanoose","1815","69","55","3","11","0.0380165289256198",2020-08-26
"Audubon","Audubon","815","36","26","1","9","0.0441717791411043",2020-08-26
"Benton","Benton","3909","184","132","1","51","0.0470708621130724",2020-08-26
"Black Hawk","Black Hawk","27824","3538","2869","72","597","0.12715641173088",2020-08-26
"Boone","Boone","4651","324","226","3","95","0.0696624381853365",2020-08-26
"Bremer","Bremer","4058","268","171","7","90","0.0660423854115328",2020-08-26
"Buchanan","Buchanan","3366","165","98","1","66","0.0490196078431373",2020-08-26
"Buena Vista","Buena Vista","8249","1817","1767","12","38","0.220269123530125",2020-08-26
"Butler","Butler","2547","168","136","2","30","0.0659599528857479",2020-08-26
"Calhoun","Calhoun","1881","104","82","2","20","0.0552897395002658",2020-08-26
"Carroll","Carroll","4062","318","187","2","129","0.0782865583456425",2020-08-26
"Cass","Cass","1967","107","95","2","10","0.054397559735638",2020-08-26
"Cedar","Cedar","2788","146","112","1","33","0.0523672883787661",2020-08-26
"Cerro Gordo","Cerro Gordo","9227","728","543","20","165","0.0788988837108486",2020-08-26
"Cherokee","Cherokee","1934","129","116","1","12","0.0667011375387797",2020-08-26
"Chickasaw","Chickasaw","1875","89","74","0","15","0.0474666666666667",2020-08-26
"Clarke","Clarke","1769","220","168","3","49","0.124364047484454",2020-08-26
"Clay","Clay","2929","234","168","2","64","0.0798907476954592",2020-08-26
"Clayton","Clayton","2611","169","113","3","53","0.0647261585599387",2020-08-26
"Clinton","Clinton","7236","699","286","8","405","0.0966003316749585",2020-08-26
"Crawford","Crawford","4031","801","705","3","93","0.198709997519226",2020-08-26
"Dallas","Dallas","20178","2143","1711","36","396","0.106204777480424",2020-08-26
"Davis","Davis","967","78","48","2","28","0.0806618407445708",2020-08-26
"Decatur","Decatur","1090","37","24","0","13","0.0339449541284404",2020-08-26
"Delaware","Delaware","2875","184","138","2","44","0.064",2020-08-26
"Des Moines","Des Moines","5891","439","133","3","303","0.0745204549312511",2020-08-26
"Dickinson","Dickinson","4265","404","360","5","39","0.0947245017584994",2020-08-26
"Dubuque","Dubuque","23253","1924","1434","36","454","0.0827420117834258",2020-08-26
"Emmet","Emmet","1733","214","173","7","34","0.123485285631852",2020-08-26
"Fayette","Fayette","3121","129","76","1","52","0.0413329061198334",2020-08-26
"Floyd","Floyd","3097","188","165","3","20","0.0607039070067808",2020-08-26
"Franklin","Franklin","2072","276","240","16","20","0.133204633204633",2020-08-26
"Fremont","Fremont","821","54","29","0","25","0.0657734470158343",2020-08-26
"Greene","Greene","1431","49","38","0","11","0.0342417889587701",2020-08-26
"Grundy","Grundy","2130","115","70","1","44","0.0539906103286385",2020-08-26
"Guthrie","Guthrie","2048","159","122","5","32","0.07763671875",2020-08-26
"Hamilton","Hamilton","3026","248","231","2","15","0.0819563780568407",2020-08-26
"Hancock","Hancock","2053","139","124","2","13","0.0677057963955188",2020-08-26
"Hardin","Hardin","2932","215","153","1","61","0.0733287858117326",2020-08-26
"Harrison","Harrison","1875","140","109","1","30","0.0746666666666667",2020-08-26
"Henry","Henry","3185","208","104","4","100","0.0653061224489796",2020-08-26
"Howard","Howard","1475","111","51","1","59","0.0752542372881356",2020-08-26
"Humboldt","Humboldt","1747","101","87","2","12","0.0578133943903835",2020-08-26
"Ida","Ida","1067","37","29","0","8","0.0346766635426429",2020-08-26
"Iowa","Iowa","2979","108","83","1","24","0.0362537764350453",2020-08-26
"Jackson","Jackson","3012","183","131","1","51","0.0607569721115538",2020-08-26
"Jasper","Jasper","5708","532","422","30","80","0.0932025227750526",2020-08-26
"Jefferson","Jefferson","2248","108","75","0","33","0.0480427046263345",2020-08-26
"Johnson","Johnson","29173","2731","1849","24","858","0.0936139581119528",2020-08-26
"Jones","Jones","2920","158","118","2","38","0.0541095890410959",2020-08-26
"Keokuk","Keokuk","1232","50","27","1","22","0.0405844155844156",2020-08-26
"Kossuth","Kossuth","2429","113","76","0","37","0.0465212021407987",2020-08-26
"Lee","Lee","4207","292","87","5","200","0.0694081293082957",2020-08-26
"Linn","Linn","39688","2789","2305","91","393","0.0702731304172546",2020-08-26
"Louisa","Louisa","2035","383","360","14","9","0.188206388206388",2020-08-26
"Lucas","Lucas","1080","83","36","5","42","0.0768518518518519",2020-08-26
"Lyon","Lyon","1257","136","122","2","12","0.108194112967383",2020-08-26
"Madison","Madison","2691","150","94","2","54","0.0557413600891862",2020-08-26
"Mahaska","Mahaska","3431","195","126","18","51","0.0568347420577091",2020-08-26
"Marion","Marion","4601","348","198","0","150","0.0756357313627472",2020-08-26
"Marshall","Marshall","9334","1585","1347","28","210","0.169809299335762",2020-08-26
"Mills","Mills","3003","119","76","1","42","0.0396270396270396",2020-08-26
"Mitchell","Mitchell","2112","91","76","0","15","0.0430871212121212",2020-08-26
"Monona","Monona","1310","105","89","1","15","0.0801526717557252",2020-08-26
"Monroe","Monroe","981","93","58","8","27","0.0948012232415902",2020-08-26
"Montgomery","Montgomery","1504","69","59","4","6","0.0458776595744681",2020-08-26
"Muscatine","Muscatine","7633","934","752","48","134","0.122363421983493",2020-08-26
"O'Brien","O'Brien","2197","171","125","7","39","0.0778334091943559",2020-08-26
