"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1859","123","64","1","58","0.0661646046261431",2020-10-19
"Adams","Adams","798","67","35","0","32","0.0839598997493734",2020-10-19
"Allamakee","Allamakee","3238","326","242","8","76","0.100679431747993",2020-10-19
"Appanoose","Appanoose","2997","198","133","3","62","0.0660660660660661",2020-10-19
"Audubon","Audubon","1377","128","65","1","62","0.0929557007988381",2020-10-19
"Benton","Benton","6430","500","294","1","205","0.0777604976671851",2020-10-19
"Black Hawk","Black Hawk","39470","5176","4300","96","780","0.131137572840132",2020-10-19
"Boone","Boone","7221","673","480","8","185","0.0932003877579283",2020-10-19
"Bremer","Bremer","6072","611","465","7","139","0.10062582345191",2020-10-19
"Buchanan","Buchanan","5084","391","253","3","135","0.0769079464988198",2020-10-19
"Buena Vista","Buena Vista","10082","2195","1939","12","244","0.21771473913906",2020-10-19
"Butler","Butler","3790","342","304","2","36","0.0902374670184697",2020-10-19
"Calhoun","Calhoun","2940","258","217","3","38","0.0877551020408163",2020-10-19
"Carroll","Carroll","6693","1024","632","8","384","0.152995667114896",2020-10-19
"Cass","Cass","3386","303","222","2","79","0.0894861193148258",2020-10-19
"Cedar","Cedar","4610","383","237","5","141","0.0830802603036876",2020-10-19
"Cerro Gordo","Cerro Gordo","12773","1233","993","23","217","0.0965317466530964",2020-10-19
"Cherokee","Cherokee","3223","362","212","2","148","0.11231771641328",2020-10-19
"Chickasaw","Chickasaw","2879","320","306","1","13","0.111149704758597",2020-10-19
"Clarke","Clarke","2622","308","249","3","56","0.117467581998474",2020-10-19
"Clay","Clay","4416","482","294","4","184","0.109148550724638",2020-10-19
"Clayton","Clayton","3666","350","292","3","55","0.0954719039825423",2020-10-19
"Clinton","Clinton","11260","1346","1055","25","266","0.119538188277087",2020-10-19
"Crawford","Crawford","5860","1306","1004","12","290","0.222866894197952",2020-10-19
"Dallas","Dallas","29036","3288","2673","43","572","0.113238738118198",2020-10-19
"Davis","Davis","1524","155","117","4","34","0.101706036745407",2020-10-19
"Decatur","Decatur","1796","122","58","0","64","0.0679287305122494",2020-10-19
"Delaware","Delaware","4511","677","510","8","159","0.150077588117934",2020-10-19
"Des Moines","Des Moines","10808","1209","744","9","456","0.111861584011843",2020-10-19
"Dickinson","Dickinson","5978","684","479","7","198","0.114419538307126",2020-10-19
"Dubuque","Dubuque","34385","4665","2913","52","1700","0.135669623382289",2020-10-19
"Emmet","Emmet","2628","399","246","14","139","0.151826484018265",2020-10-19
"Fayette","Fayette","4737","339","201","2","136","0.071564281190627",2020-10-19
"Floyd","Floyd","4302","412","368","11","33","0.095769409576941",2020-10-19
"Franklin","Franklin","2778","371","333","18","20","0.133549316054716",2020-10-19
"Fremont","Fremont","1475","178","91","1","86","0.120677966101695",2020-10-19
"Greene","Greene","2405","171","93","0","78","0.0711018711018711",2020-10-19
"Grundy","Grundy","3145","279","212","4","63","0.0887122416534181",2020-10-19
"Guthrie","Guthrie","3079","367","224","14","129","0.119194543683014",2020-10-19
"Hamilton","Hamilton","4168","435","358","3","74","0.10436660268714",2020-10-19
"Hancock","Hancock","2946","277","217","4","56","0.0940257976917855",2020-10-19
"Hardin","Hardin","4382","428","286","5","137","0.0976722957553628",2020-10-19
