"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",1877,76,35,0,41,NA,NA,NA,NA
"2","2020-08-01",1894,77,35,0,42,1,17,0,0.0588235294117647
