"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-02-01,"Adair",3207,706,602,24,19,5,80,0.22014343623324
"Adams",2021-02-01,"Adams",1407,308,273,3,3,0,32,0.218905472636816
"Allamakee",2021-02-01,"Allamakee",5336,1329,1164,37,32,5,128,0.249062968515742
"Appanoose",2021-02-01,"Appanoose",5298,1145,968,43,41,2,134,0.216119290298226
"Audubon",2021-02-01,"Audubon",2278,434,377,8,8,0,49,0.190517998244074
"Benton",2021-02-01,"Benton",11123,2178,1956,51,41,10,171,0.195810482783422
"Black Hawk",2021-02-01,"Black Hawk",63210,14377,12876,259,244,15,1242,0.227448188577757
"Boone",2021-02-01,"Boone",12082,2285,1963,24,22,2,298,0.189124317166032
"Bremer",2021-02-01,"Bremer",10828,2537,2287,51,45,6,199,0.234299963058737
"Buchanan",2021-02-01,"Buchanan",8345,1653,1457,24,22,2,172,0.198082684242061
"Buena Vista",2021-02-01,"Buena Vista",13611,4006,3723,35,32,3,248,0.294320769965469
"Butler",2021-02-01,"Butler",6266,1536,1296,29,26,3,211,0.245132460900096
"Calhoun",2021-02-01,"Calhoun",4806,1248,1173,9,9,0,66,0.259675405742821
"Carroll",2021-02-01,"Carroll",10288,2596,2378,43,37,6,175,0.252332814930016
"Cass",2021-02-01,"Cass",5620,1180,1020,45,43,2,115,0.209964412811388
"Cedar",2021-02-01,"Cedar",7994,1591,1397,20,19,1,174,0.199024268201151
"Cerro Gordo",2021-02-01,"Cerro Gordo",21444,4814,4330,74,62,12,410,0.22449169930983
"Cherokee",2021-02-01,"Cherokee",5349,1409,1240,31,26,5,138,0.263413722191064
"Chickasaw",2021-02-01,"Chickasaw",4777,1150,1060,12,11,1,78,0.240736864140674
"Clarke",2021-02-01,"Clarke",4237,850,697,13,13,0,140,0.200613641727637
"Clay",2021-02-01,"Clay",7413,1755,1545,23,18,5,187,0.236746256576285
"Clayton",2021-02-01,"Clayton",6192,1557,1396,51,43,8,110,0.251453488372093
"Clinton",2021-02-01,"Clinton",19521,4699,4153,72,65,7,474,0.240715127298806
"Crawford",2021-02-01,"Crawford",7946,2389,2127,31,28,3,231,0.300654417316889
"Dallas",2021-02-01,"Dallas",47379,9338,8064,78,67,11,1196,0.197091538445303
"Davis",2021-02-01,"Davis",2858,713,638,23,22,1,52,0.249475157452764
"Decatur",2021-02-01,"Decatur",3048,509,443,5,5,0,61,0.166994750656168
"Delaware",2021-02-01,"Delaware",7053,1790,1615,36,32,4,139,0.253792712320998
"Des Moines",2021-02-01,"Des Moines",18850,4042,3538,53,46,7,451,0.214429708222812
"Dickinson",2021-02-01,"Dickinson",9271,1910,1707,32,29,3,171,0.20601876820192
"Dubuque",2021-02-01,"Dubuque",51502,11830,10595,176,167,9,1059,0.229699817482816
"Emmet",2021-02-01,"Emmet",4508,1114,987,35,34,1,92,0.247116237799468
"Fayette",2021-02-01,"Fayette",8164,1695,1432,26,23,3,237,0.207618814306712
"Floyd",2021-02-01,"Floyd",6835,1434,1277,38,30,8,119,0.209802487198244
"Franklin",2021-02-01,"Franklin",4580,1056,909,19,18,1,128,0.23056768558952
"Fremont",2021-02-01,"Fremont",2391,531,470,8,6,2,53,0.222082810539523
"Greene",2021-02-01,"Greene",3692,702,650,8,8,0,44,0.190140845070423
"Grundy",2021-02-01,"Grundy",5180,1242,1109,28,23,5,105,0.23976833976834
"Guthrie",2021-02-01,"Guthrie",5001,1057,950,27,22,5,80,0.211357728454309
"Hamilton",2021-02-01,"Hamilton",6650,1647,1482,36,35,1,129,0.247669172932331
"Hancock",2021-02-01,"Hancock",5276,1345,1181,25,20,5,139,0.254927975739196
"Hardin",2021-02-01,"Hardin",7398,1606,1455,33,30,3,118,0.217085698837524
"Harrison",2021-02-01,"Harrison",5869,1613,1403,65,61,4,145,0.274833872891464
"Henry",2021-02-01,"Henry",9833,2718,2455,33,33,0,230,0.27641614969999
"Howard",2021-02-01,"Howard",3921,903,730,20,16,4,153,0.230298393267024
"Humboldt",2021-02-01,"Humboldt",4269,1085,973,20,17,3,92,0.254157882408058
"Ida",2021-02-01,"Ida",2880,781,674,30,29,1,77,0.271180555555556
"Iowa",2021-02-01,"Iowa",7218,1313,1144,23,21,2,146,0.181906345247991
"Jackson",2021-02-01,"Jackson",8012,1993,1768,35,32,3,190,0.248751872191712
"Jasper",2021-02-01,"Jasper",15767,3405,2901,63,59,4,441,0.215957379336589
"Jefferson",2021-02-01,"Jefferson",6683,1237,1038,29,26,3,170,0.185096513541823
"Johnson",2021-02-01,"Johnson",70417,12477,11208,62,58,4,1207,0.177187326923896
"Jones",2021-02-01,"Jones",8841,2784,2590,53,50,3,141,0.314896504920258
"Keokuk",2021-02-01,"Keokuk",3621,868,790,28,28,0,50,0.23971278652306
"Kossuth",2021-02-01,"Kossuth",6955,1854,1545,49,44,5,260,0.266570812365205
