"","date","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Active","positivity"
"Adair",2021-01-02,"Adair",2965,611,477,17,13,4,117,0.206070826306914
"Adams",2021-01-02,"Adams",1285,266,193,2,2,0,71,0.207003891050584
"Allamakee",2021-01-02,"Allamakee",4948,1187,921,26,22,4,240,0.239894907033145
"Appanoose",2021-01-02,"Appanoose",4827,976,839,36,36,0,101,0.202195980940543
"Audubon",2021-01-02,"Audubon",2076,384,312,7,7,0,65,0.184971098265896
"Benton",2021-01-02,"Benton",10353,1991,1768,38,34,4,185,0.192311407321549
"Black Hawk",2021-01-02,"Black Hawk",57453,12823,11379,220,207,13,1224,0.223191130141159
"Boone",2021-01-02,"Boone",10920,1924,1526,15,13,2,383,0.176190476190476
"Bremer",2021-01-02,"Bremer",9509,2271,2067,44,40,4,160,0.238826375013145
"Buchanan",2021-01-02,"Buchanan",7654,1447,1261,17,16,1,169,0.189051476352234
"Buena Vista",2021-01-02,"Buena Vista",12890,3730,3217,26,23,3,487,0.289371605896043
"Butler",2021-01-02,"Butler",5646,1290,1101,23,20,3,166,0.228480340063762
"Calhoun",2021-01-02,"Calhoun",4575,1173,1102,9,9,0,62,0.256393442622951
"Carroll",2021-01-02,"Carroll",9623,2392,2054,31,25,6,307,0.248571131663722
"Cass",2021-01-02,"Cass",5167,1056,848,39,37,2,169,0.204373911360557
"Cedar",2021-01-02,"Cedar",7340,1400,1167,19,18,1,214,0.190735694822888
"Cerro Gordo",2021-01-02,"Cerro Gordo",19867,4357,3789,62,51,11,506,0.219308400865757
"Cherokee",2021-01-02,"Cherokee",4939,1246,1005,22,20,2,219,0.252277789026119
"Chickasaw",2021-01-02,"Chickasaw",4367,1043,930,11,10,1,102,0.238836730020609
"Clarke",2021-01-02,"Clarke",3791,691,516,6,6,0,169,0.18227380638354
"Clay",2021-01-02,"Clay",6896,1551,1294,13,10,3,244,0.224912993039443
"Clayton",2021-01-02,"Clayton",5685,1396,1191,46,39,7,159,0.245558487247142
"Clinton",2021-01-02,"Clinton",17873,4152,3545,55,49,6,552,0.232305712527276
"Crawford",2021-01-02,"Crawford",7414,2137,1843,22,19,3,272,0.28823846776369
"Dallas",2021-01-02,"Dallas",43604,7982,6781,67,57,10,1134,0.183056600311898
"Davis",2021-01-02,"Davis",2607,639,533,20,19,1,86,0.245109321058688
"Decatur",2021-01-02,"Decatur",2771,430,356,4,4,0,70,0.155178635871527
