"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Adair",2021-04-18,"Adair",12111,964,804,32,22,10,3634,844,8,2021-04-18
"Adams",2021-04-18,"Adams",5426,338,315,4,4,0,1590,328,9,2021-04-18
"Allamakee",2021-04-18,"Allamakee",20707,1542,1426,51,41,10,6215,1490,13,2021-04-18
"Appanoose",2021-04-18,"Appanoose",17326,1437,1199,47,43,4,6045,1266,20,2021-04-18
"Audubon",2021-04-18,"Audubon",11942,511,466,9,8,1,2651,493,18,2021-04-18
"Benton",2021-04-18,"Benton",36385,2658,2398,55,44,11,12870,2499,46,2021-04-18
"Black Hawk",2021-04-18,"Black Hawk",208720,16983,14855,306,283,23,70670,15532,371,2021-04-18
"Boone",2021-04-18,"Boone",43286,2771,2463,33,31,2,13954,2579,83,2021-04-18
"Bremer",2021-04-18,"Bremer",38282,2930,2681,60,51,9,12370,2791,50,2021-04-18
"Buchanan",2021-04-18,"Buchanan",30188,1988,1784,31,26,5,9542,1885,70,2021-04-18
"Buena Vista",2021-04-18,"Buena Vista",44186,4865,4123,40,36,4,14832,4216,53,2021-04-18
"Butler",2021-04-18,"Butler",28877,1714,1567,34,30,4,7071,1625,24,2021-04-18
"Calhoun",2021-04-18,"Calhoun",17953,1380,1305,11,11,0,5324,1332,16,2021-04-18
"Carroll",2021-04-18,"Carroll",35629,2996,2688,51,43,8,11443,2790,51,2021-04-18
"Cass",2021-04-18,"Cass",20276,1427,1270,54,48,6,6361,1343,19,2021-04-18
"Cedar",2021-04-18,"Cedar",30035,1926,1739,23,21,2,9204,1839,77,2021-04-18
"Cerro Gordo",2021-04-18,"Cerro Gordo",74667,5613,4978,86,72,14,25048,5213,149,2021-04-18
"Cherokee",2021-04-18,"Cherokee",20517,1672,1473,38,30,8,6068,1569,58,2021-04-18
"Chickasaw",2021-04-18,"Chickasaw",17062,1293,1200,15,13,2,5474,1225,10,2021-04-18
"Clarke",2021-04-18,"Clarke",13118,1043,947,23,22,1,4895,981,11,2021-04-18
"Clay",2021-04-18,"Clay",29574,2218,1913,25,20,5,8493,2103,165,2021-04-18
"Clayton",2021-04-18,"Clayton",24372,1758,1568,55,46,9,7144,1668,45,2021-04-18
"Clinton",2021-04-18,"Clinton",61311,5840,5023,90,78,12,22949,5366,253,2021-04-18
"Crawford",2021-04-18,"Crawford",26910,2856,2546,40,35,5,8875,2622,36,2021-04-18
