"","County","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"80","Poweshiek",9676,1601,1559,36,6,0.16546093427036,2021-07-20
"81","Ringgold",2607,575,542,24,9,0.220560030686613,2021-07-20
"82","Sac",5824,1339,1307,20,12,0.229910714285714,2021-07-20
"83","Scott",97194,20698,20117,251,330,0.2129555322345,2021-07-20
"84","Shelby",5948,1332,1275,38,19,0.223940820443847,2021-07-20
"85","Sioux",17380,5219,5116,74,29,0.300287686996548,2021-07-20
"86","Story",60750,11021,10712,48,261,0.181415637860082,2021-07-20
"87","Tama",9188,2152,2059,72,21,0.234218545929473,2021-07-20
"88","Taylor",2749,671,659,12,0,0.244088759548927,2021-07-20
"89","Union",7146,1301,1265,35,1,0.182059893646795,2021-07-20
"90","Van Buren",3058,578,552,18,8,0.189012426422498,2021-07-20
"91","Wapello",20428,4436,4229,124,83,0.217152927354611,2021-07-20
"92","Warren",30946,5990,5806,92,92,0.193562980676016,2021-07-20
"93","Washington",13141,2632,2550,51,31,0.200289171295944,2021-07-20
"94","Wayne",2826,571,537,23,11,0.20205237084218,2021-07-20
"95","Webster",23102,5564,5143,99,322,0.240844948489308,2021-07-20
"96","Winnebago",6951,1479,1423,31,25,0.212775140267587,2021-07-20
"97","Winneshiek",11312,2015,1964,37,14,0.178129420084866,2021-07-20
"98","Woodbury",65369,15528,15030,230,268,0.237543789869816,2021-07-20
"99","Worth",4255,776,749,8,19,0.182373678025852,2021-07-20
"100","Wright",8489,1936,1830,40,66,0.228059842148663,2021-07-20
"101","Totals",1838685,382401,368613,6193,7595,0.207975264931187,2021-08-04
