"","date","Tested","Positive","Recovered","Deaths","Active","New.Pos","New.Test","New.Deaths","Frac.Pos"
"1","2020-07-31",3147,174,144,1,29,NA,NA,NA,NA
"2","2020-08-01",3168,175,144,1,30,1,21,0,0.0476190476190476
